item_id,dataset,is_correct,total_tokens,total_episodes,prop_forward,prop_verification,prop_backtrack,prop_restart,prop_hesitation,prop_subgoal,prop_conclusion,backtrack_count,verification_count,restart_count,vf_ratio,bt_position_mean,first_conclusion_pos,v_clustering,max_forward_run,transition_entropy,cycle_count,wait_ratio,question_mark_count,negation_count,repetition_rate_4gram
arc_0000,arc_challenge,1,683.0,52.0,0.9038461538461539,0.019230769230769232,0.038461538461538464,0.0,0.019230769230769232,0.0,0.019230769230769232,2.0,1.0,0.0,0.02127659574468085,0.36274509803921573,1.0,0.0,22.0,0.17334225676670761,4.0,0.007320644216691069,7.0,16.0,0.010294117647058787
arc_0001,arc_challenge,1,342.0,26.0,0.8461538461538461,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.96,0.0,12.0,0.2332859523423093,0.0,0.0029239766081871343,1.0,7.0,0.014749262536873142
arc_0002,arc_challenge,0,405.0,29.0,0.9310344827586207,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,1.0,0.0,0.0,0.0,0.6071428571428571,1.0,0.0,11.0,0.15605554685077752,0.0,0.007407407407407408,5.0,8.0,0.00995024875621886
arc_0003,arc_challenge,1,414.0,34.0,0.8823529411764706,0.0,0.029411764705882353,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,1.0,0.0,0.0,0.0,0.7878787878787878,0.7575757575757576,0.0,12.0,0.12875873232435303,7.0,0.004830917874396135,2.0,2.0,0.14598540145985406
arc_0004,arc_challenge,1,960.0,88.0,0.9090909090909091,0.0,0.03409090909090909,0.0,0.03409090909090909,0.011363636363636364,0.011363636363636364,3.0,0.0,0.0,0.0,0.7854406130268199,1.0,0.0,20.0,0.16253085150879862,13.0,0.005208333333333333,0.0,6.0,0.06792058516196442
arc_0005,arc_challenge,1,327.0,27.0,0.9629629629629629,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.23519338181924143,0.0,0.0,0.0,3.0,0.024691358024691357
arc_0006,arc_challenge,1,698.0,53.0,0.8113207547169812,0.0,0.03773584905660377,0.05660377358490566,0.07547169811320754,0.018867924528301886,0.0,2.0,0.0,3.0,0.0,0.6730769230769231,1.0,0.0,23.0,0.4071599769247447,13.0,0.004297994269340974,2.0,5.0,0.06474820143884896
arc_0007,arc_challenge,1,338.0,20.0,0.95,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.1547717145751626,0.0,0.0029585798816568047,0.0,5.0,0.011940298507462699
arc_0008,arc_challenge,0,710.0,58.0,0.7931034482758621,0.0,0.10344827586206896,0.034482758620689655,0.05172413793103448,0.017241379310344827,0.0,6.0,0.0,2.0,0.0,0.652046783625731,1.0,0.0,10.0,0.44288834545776395,22.0,0.008450704225352112,3.0,17.0,0.11598302687411599
arc_0009,arc_challenge,1,402.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,3.0,0.05012531328320802
arc_0010,arc_challenge,1,532.0,48.0,0.7291666666666666,0.0,0.125,0.041666666666666664,0.08333333333333333,0.0,0.020833333333333332,6.0,0.0,2.0,0.0,0.5851063829787234,1.0,0.0,9.0,0.7169047298788408,15.0,0.015037593984962405,2.0,12.0,0.060491493383742934
arc_0011,arc_challenge,0,577.0,45.0,0.9333333333333333,0.0,0.022222222222222223,0.0,0.0,0.022222222222222223,0.022222222222222223,1.0,0.0,0.0,0.0,0.9090909090909091,1.0,0.0,30.0,0.1614813112784146,3.0,0.0017331022530329288,1.0,6.0,0.059233449477351874
arc_0012,arc_challenge,1,824.0,61.0,0.6557377049180327,0.0,0.09836065573770492,0.04918032786885246,0.16393442622950818,0.0,0.03278688524590164,6.0,0.0,3.0,0.0,0.6138888888888889,0.9166666666666666,0.0,7.0,1.1039850683068613,17.0,0.00849514563106796,6.0,21.0,0.04141291108404388
arc_0013,arc_challenge,0,376.0,26.0,0.8846153846153846,0.0,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.0,1.0,0.0,0.0,0.0,0.84,1.0,0.0,17.0,0.13260151945765106,2.0,0.005319148936170213,0.0,4.0,0.02680965147453085
arc_0014,arc_challenge,1,421.0,29.0,0.7586206896551724,0.0,0.06896551724137931,0.0,0.13793103448275862,0.0,0.034482758620689655,2.0,0.0,0.0,0.0,0.48214285714285715,1.0,0.0,8.0,0.9653614931015487,3.0,0.009501187648456057,2.0,6.0,0.03588516746411485
arc_0015,arc_challenge,1,81.0,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.4056390622295664,0.0,0.0,1.0,1.0,0.0
arc_0016,arc_challenge,0,352.0,29.0,0.9310344827586207,0.0,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.22751032988973208,0.0,0.002840909090909091,1.0,3.0,0.03151862464183386
arc_0017,arc_challenge,0,4306.0,308.0,0.7305194805194806,0.0,0.12987012987012986,0.045454545454545456,0.09415584415584416,0.0,0.0,40.0,0.0,14.0,0.0,0.528013029315961,1.0,0.0,14.0,1.0396069587456198,288.0,0.008592661402693916,3.0,117.0,0.6769695561236346
arc_0018,arc_challenge,1,378.0,26.0,0.8846153846153846,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.038461538461538464,1.0,0.0,0.0,0.0,0.72,1.0,0.0,11.0,0.25512120422556595,7.0,0.007936507936507936,2.0,9.0,0.03466666666666662
arc_0019,arc_challenge,1,476.0,30.0,0.8666666666666667,0.0,0.0,0.0,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.2833838084826648,0.0,0.0021008403361344537,1.0,5.0,0.016913319238900604
arc_0020,arc_challenge,1,575.0,40.0,0.725,0.0,0.075,0.05,0.1,0.025,0.025,3.0,0.0,2.0,0.0,0.6923076923076924,1.0,0.0,17.0,0.7264794749612985,12.0,0.01391304347826087,4.0,8.0,0.06468531468531469
arc_0021,arc_challenge,1,632.0,57.0,0.8771929824561403,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.017543859649122806,3.0,0.0,0.0,0.0,0.5892857142857143,1.0,0.0,21.0,0.5409181497950412,10.0,0.011075949367088608,4.0,6.0,0.03338632750397452
