item_id,dataset,is_correct,g_n_nodes,g_n_edges,g_edge_density,g_avg_in_degree,g_avg_out_degree,g_avg_clustering,g_approx_diameter,g_betweenness_centralization,g_eigenvector_centralization,g_modularity,g_largest_scc_frac,g_cycles_leq5,g_spectral_radius,g_von_neumann_entropy,g_small_world_sigma
arc_0000,arc_challenge_qwen7b,1,61.0,1359.0,0.37131147540983606,22.278688524590162,22.278688524590162,0.8649490666380049,3.0,0.029829958829283795,0.022155684620558915,0.07068809414579941,0.01639344262295082,0.0,5.803099468551165,0.9850964824334992,1.0
arc_0001,arc_challenge_qwen7b,0,30.0,333.0,0.38275862068965516,11.1,11.1,0.8244801189149017,3.0,0.06462599980797779,0.024334995368858525,0.07548742731110815,0.03333333333333333,0.0,4.77175632702606,0.9754616648421204,1.0
arc_0002,arc_challenge_qwen7b,1,33.0,367.0,0.3475378787878788,11.121212121212121,11.121212121212121,0.7743978243978246,3.0,0.023550732246863812,0.038423214258638996,0.08879218667025117,0.030303030303030304,0.0,4.652122410444019,0.9751234588569033,1.0
arc_0003,arc_challenge_qwen7b,1,36.0,474.0,0.3761904761904762,13.166666666666666,13.166666666666666,0.8270137012906755,4.0,0.10633179380126437,0.023808958443068632,0.07505569800549294,0.027777777777777776,0.0,5.125419363177678,0.9763641067152357,1.0
arc_0004,arc_challenge_qwen7b,1,97.0,3536.0,0.3797250859106529,36.45360824742268,36.45360824742268,0.8783417882462281,3.0,0.018570812248396653,0.01547812413729585,0.06437544102996173,0.010309278350515464,0.0,6.569718656856837,0.9896003819142456,1.0
arc_0005,arc_challenge_qwen7b,0,31.0,436.0,0.46881720430107526,14.064516129032258,14.064516129032258,0.9334739952092562,2.0,0.0001438302013014652,0.005558226896041133,0.026433937815473013,0.03225806451612903,0.0,5.210623185515301,0.9813273799979346,1.0
arc_0006,arc_challenge_qwen7b,1,27.0,227.0,0.32336182336182334,8.407407407407407,8.407407407407407,0.7242148581329867,3.0,0.026375139031009482,0.05060891039456324,0.09693649974294666,0.037037037037037035,0.0,4.154073061946728,0.969026263797875,1.0
arc_0007,arc_challenge_qwen7b,1,36.0,479.0,0.38015873015873014,13.305555555555555,13.305555555555555,0.8394821406501047,3.0,0.05285471824197663,0.028887540628867465,0.06827442668315488,0.027777777777777776,0.0,4.95860368975921,0.9788872190761324,1.0
arc_0008,arc_challenge_qwen7b,0,124.0,2893.0,0.18968004196170993,23.330645161290324,23.330645161290324,0.8631016159627738,4.0,0.020383627300458253,0.052314457582124795,0.18403179800951552,0.008064516129032258,0.0,5.170495609666213,0.9817761449967308,1.0
arc_0009,arc_challenge_qwen7b,1,45.0,724.0,0.3656565656565657,16.08888888888889,16.08888888888889,0.8261668686230089,3.0,0.04072346144227752,0.02776726878989979,0.07196644235810853,0.022222222222222223,0.0,5.299585627118615,0.9813465492356586,1.0
arc_0010,arc_challenge_qwen7b,0,143.0,2997.0,0.14759184477494336,20.958041958041957,20.958041958041957,0.8689509534184788,4.0,0.031072014483424552,0.07475071780975187,0.3039680745558827,0.006993006993006993,0.0,5.165535802900884,0.9821050519629194,1.8590292596480054
arc_0011,arc_challenge_qwen7b,1,36.0,478.0,0.37936507936507935,13.277777777777779,13.277777777777779,0.8238280629270616,3.0,0.05095254259339199,0.022854616492255824,0.06689621920796635,0.027777777777777776,0.0,4.927681140284683,0.978836337698218,1.0
arc_0012,arc_challenge_qwen7b,0,10.0,30.0,0.3333333333333333,3.0,3.0,0.659047619047619,3.0,0.22530864197530867,0.06718229610576598,0.05836134674341242,0.1,0.0,2.947354771395302,0.9225452999358452,1.0
arc_0013,arc_challenge_qwen7b,0,179.0,9879.0,0.3100558659217877,55.18994413407821,55.18994413407821,0.9036797890915563,4.0,0.016120266215354725,0.01922744114209528,0.04072136567654762,0.00558659217877095,0.0,7.01057273623475,0.9897485919466829,1.0
arc_0014,arc_challenge_qwen7b,1,85.0,2124.0,0.29747899159663865,24.988235294117647,24.988235294117647,0.8589296410567445,4.0,0.03597498406752388,0.03176633390622959,0.0669434654393334,0.011764705882352941,0.0,5.841302533457661,0.9840962055402079,1.0
arc_0015,arc_challenge_qwen7b,1,23.0,164.0,0.3241106719367589,7.130434782608695,7.130434782608695,0.7141730605285592,3.0,0.08010273668696127,0.04628252491953044,0.09955015741058598,0.043478260869565216,0.0,4.020196767233357,0.9641307559858685,1.0
arc_0016,arc_challenge_qwen7b,0,30.0,382.0,0.43908045977011495,12.733333333333333,12.733333333333333,0.8958746438746438,2.0,0.032115090616874176,0.011504520536194555,0.0419773587227682,0.03333333333333333,0.0,4.9915307271998515,0.9791008628437611,1.0
arc_0017,arc_challenge_qwen7b,1,32.0,341.0,0.34375,10.65625,10.65625,0.774166124736777,3.0,0.05393866091581336,0.040521160967151276,0.1180820841573679,0.03125,0.0,4.437891458512717,0.9731564492624883,1.0
arc_0018,arc_challenge_qwen7b,1,40.0,545.0,0.34935897435897434,13.625,13.625,0.7891596407624636,3.0,0.04512648240609582,0.033607184579978425,0.08483578663470277,0.025,0.0,5.043368333358165,0.9783598878139251,1.0
