item_id,dataset,is_correct,h0_total_per_step,h0_n_per_step,h1_total_per_step,h1_n_per_step,h0_pi_0_0,h1_pi_0_0,h0_pi_0_1,h1_pi_0_1,h0_pi_0_2,h1_pi_0_2,h0_pi_0_3,h1_pi_0_3,h0_pi_1_0,h1_pi_1_0,h0_pi_1_1,h1_pi_1_1,h0_pi_1_2,h1_pi_1_2,h0_pi_1_3,h1_pi_1_3,h0_pi_2_0,h1_pi_2_0,h0_pi_2_1,h1_pi_2_1,h0_pi_2_2,h1_pi_2_2,h0_pi_2_3,h1_pi_2_3,h0_pi_3_0,h1_pi_3_0,h0_pi_3_1,h1_pi_3_1,h0_pi_3_2,h1_pi_3_2,h0_pi_3_3,h1_pi_3_3
gsm8k_0000,gsm8k_llama8b,1,0.6982037778943777,0.875,0.0,0.0,0.004431748762726784,0.0,0.01857215352356434,0.0,0.027120143175125122,0.0,0.034079696983098984,0.0,6.154788050743987e-14,0.0,2.579290134339246e-13,0.0,3.766430255788128e-13,0.0,4.7329691164541e-13,0.0,1.1871046534240615e-35,0.0,4.974805739106416e-35,0.0,7.264501708699595e-35,0.0,9.128713493099483e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gsm8k_0001,gsm8k_llama8b,1,0.7466229796409607,0.8571428571428571,0.0,0.0,0.004997446667402983,0.0,0.010318341664969921,0.0,2.925292392319534e-05,0.0,0.0043267421424388885,0.0,6.940425339475864e-14,0.0,1.4330055967803207e-13,0.0,4.062629683569517e-16,0.0,6.00895540465475e-14,0.0,1.338634370028449e-35,0.0,2.763909216991602e-35,0.0,7.835796447354313e-38,0.0,1.1589771628664218e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gsm8k_0002,gsm8k_llama8b,0,1.0013560205698013,0.75,0.0,0.0,1.896999561752307e-18,0.0,3.5704728361452e-05,0.0,0.009429260157048702,0.0,0.012202182784676552,0.0,2.6345424645770463e-29,0.0,4.958652634212842e-16,0.0,1.3095304192151797e-13,0.0,1.6946323901437244e-13,0.0,0.0,0.0,9.563999906785766e-38,0.0,2.5257565295939657e-35,0.0,3.2685220225197986e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gsm8k_0003,gsm8k_llama8b,1,0.7178715392947197,0.875,0.0,0.0,0.00588996522128582,0.0,0.04633836820721626,0.0,0.010513276793062687,0.0,0.001995926955714822,0.0,8.179950992818e-14,0.0,6.435446793517929e-13,0.0,1.4600779895020122e-13,0.0,2.7719320911420535e-14,0.0,1.577707708275069e-35,0.0,1.2412366274569087e-34,0.0,2.8161251581914827e-35,0.0,5.346363762223328e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gsm8k_0004,gsm8k_llama8b,0,1.1519531607627869,0.75,0.0,0.0,1.3113877413134998e-17,0.0,7.816698780516163e-05,0.0,0.006494202185422182,0.0,0.02001095935702324,0.0,1.821247948190012e-28,0.0,1.0855788127830295e-15,0.0,9.01911127704734e-14,0.0,2.7791107631326695e-13,0.0,0.0,0.0,2.0938098518374442e-37,0.0,1.7395610260842795e-35,0.0,5.360209469945254e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gsm8k_0005,gsm8k_llama8b,0,0.7951298852761587,0.8333333333333334,0.0,0.0,8.559544767194893e-06,0.0,0.01103405375033617,0.0,0.042027462273836136,0.0,0.0019535108003765345,0.0,1.1887446993713043e-16,0.0,1.5324032190747183e-13,0.0,5.83675089597252e-13,0.0,2.7130248460120743e-14,0.0,2.2927912349928546e-38,0.0,2.9556227028836204e-35,0.0,1.1257631337653313e-34,0.0,5.23274639305277e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gsm8k_0006,gsm8k_llama8b,0,0.6305799670517445,0.875,0.01144368201494217,0.125,0.01210591197013855,2.1469273292495927e-07,0.018197722733020782,2.4979110140625684e-16,5.030205141309807e-10,4.0362170500890133e-36,0.0019304541638121009,0.0,1.6812621444779047e-13,0.011416658759117126,2.527289358691953e-13,1.3283075160630542e-11,6.98592074378035e-21,2.14632831729918e-31,2.6810039512872516e-14,0.0,3.242734328212709e-35,8.431379150408702e-09,4.874509323893019e-35,9.80975656867052e-18,1.348049122680474e-42,1.5850968066452373e-37,5.1709859456893004e-36,0.0,0.0,8.647612188466097e-26,0.0,1.0061339690782347e-34,0.0,0.0,0.0,0.0
gsm8k_0007,gsm8k_llama8b,0,0.6002911594178941,0.8888888888888888,0.0,0.0,0.007600493263453245,0.0,0.05554058030247688,0.0,0.011209430173039436,0.0,0.001980397617444396,0.0,1.0555522656028465e-13,0.0,7.713444683324355e-13,0.0,1.556759278778519e-13,0.0,2.750365107645654e-14,0.0,2.0358965225516993e-35,0.0,1.48773056077902e-34,0.0,3.002599429027688e-35,0.0,5.3047665872526404e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gsm8k_0008,gsm8k_llama8b,0,0.48181605686744056,0.9333333333333333,0.0,0.0,0.023785104975104332,0.0,0.015538530424237251,0.0,0.028388947248458862,0.0,0.0028051191475242376,0.0,3.303262340308838e-13,0.0,2.157982451587992e-13,0.0,3.942641027022964e-13,0.0,3.895733562131465e-14,0.0,6.371166180104226e-35,0.0,4.1622088218879723e-35,0.0,7.604368234796642e-35,0.0,7.51389563479882e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gsm8k_0009,gsm8k_llama8b,0,0.6135912232778289,0.9090909090909091,0.0,0.0,0.017718683928251266,0.0,0.011709489859640598,0.0,0.0002931498165708035,0.0,0.03433917462825775,0.0,2.4607608160344407e-13,0.0,1.6262074423612632e-13,0.0,4.07124819086827e-15,0.0,4.769005286162087e-13,0.0,4.746192176886266e-35,0.0,3.136547239892628e-35,0.0,7.85241921025752e-37,0.0,9.198218614394807e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
