item_id,dataset,is_correct,h0_total_per_step,h0_n_per_step,h1_total_per_step,h1_n_per_step,h0_pi_0_0,h1_pi_0_0,h0_pi_0_1,h1_pi_0_1,h0_pi_0_2,h1_pi_0_2,h0_pi_0_3,h1_pi_0_3,h0_pi_1_0,h1_pi_1_0,h0_pi_1_1,h1_pi_1_1,h0_pi_1_2,h1_pi_1_2,h0_pi_1_3,h1_pi_1_3,h0_pi_2_0,h1_pi_2_0,h0_pi_2_1,h1_pi_2_1,h0_pi_2_2,h1_pi_2_2,h0_pi_2_3,h1_pi_2_3,h0_pi_3_0,h1_pi_3_0,h0_pi_3_1,h1_pi_3_1,h0_pi_3_2,h1_pi_3_2,h0_pi_3_3,h1_pi_3_3
gsm8k_0000,gsm8k_qwen7b,1,0.9359985828399658,0.8,0.0,0.0,2.470995075221083e-10,0.0,0.011086855083703995,0.0,0.02480814792215824,0.0,0.04019404202699661,0.0,3.431703770121502e-21,0.0,1.5397360849430525e-13,0.0,3.4453413429516577e-13,0.0,5.582126557865386e-13,0.0,6.6141287516131366e-43,0.0,2.969765943263802e-35,0.0,6.645201578724118e-35,0.0,1.0766524950736628e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gsm8k_0001,gsm8k_qwen7b,1,1.0973920027414958,0.6666666666666666,0.0,0.0,3.014901049863576e-28,0.0,6.418052200807267e-10,0.0,0.018974544480443,0.0,0.001938244909979403,0.0,4.187077008805625e-39,0.0,8.913354968605474e-21,0.0,2.635173980067296e-13,0.0,2.691823611342299e-14,0.0,0.0,0.0,1.7193932157265505e-42,0.0,5.082591339031498e-35,0.0,5.1918541272615765e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gsm8k_0002,gsm8k_qwen7b,0,0.6439458909961913,0.8888888888888888,0.0,0.0,0.008768090978264809,0.0,0.01468643732368946,0.0,0.056811098009347916,0.0,0.001964609371498227,0.0,1.217707575398852e-13,0.0,2.0396440883908157e-13,0.0,7.889893165885509e-13,0.0,2.7284384739598502e-14,0.0,2.348653210182907e-35,0.0,3.9339634626102304e-35,0.0,1.5217630737396185e-34,0.0,5.262475265074665e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gsm8k_0003,gsm8k_qwen7b,1,0.5879650563001633,0.875,0.011151492595672607,0.125,0.0025652579497545958,7.895429682395789e-16,0.029927482828497887,6.470199279299288e-24,0.026094963774085045,7.35681693770529e-43,0.0019304673187434673,0.0,3.5626158327670826e-14,0.00043883934267796576,4.1563120675193466e-13,3.5962298677166826e-12,3.624053910699504e-13,4.09286397235972e-31,2.681022077792323e-14,0.0,6.871394414662729e-36,0.0033874530345201492,8.016485763524137e-35,2.775972507418345e-11,6.989893486172417e-35,3.15933008732651e-30,5.1710211014651734e-36,0.0,0.0,3.6314405801006477e-13,0.0,2.975917155185197e-21,0.0,3.38688233633451e-40,0.0,0.0
gsm8k_0004,gsm8k_qwen7b,0,0.9007813215255738,0.8,0.0,0.0,0.0002710858825594187,0.0,0.0324278250336647,0.0,8.02332237981318e-07,0.0,0.0019304541638121009,0.0,3.764825551869555e-15,0.0,4.503557899868116e-13,0.0,1.1142744890909923e-17,0.0,2.6810039512872516e-14,0.0,7.261406673112867e-37,0.0,8.686236297285857e-35,0.0,2.1491560404518644e-39,0.0,5.1709859456893004e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gsm8k_0005,gsm8k_qwen7b,1,0.5791534419570651,0.8571428571428571,0.0,0.0,0.020276658236980438,0.0,9.257278179575223e-07,0.0,2.6810039512872516e-14,0.0,0.0019304541638121009,0.0,2.8160110419721274e-13,0.0,1.2856456324966658e-17,0.0,3.7233633219991526e-25,0.0,2.6810039512872516e-14,0.0,5.431380831523995e-35,0.0,2.4796873157244806e-39,0.0,0.0,0.0,5.1709859456893004e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gsm8k_0006,gsm8k_qwen7b,1,0.8157078102231026,0.75,0.0,0.0,0.0008019363158382475,0.0,0.00043360423296689987,0.0,0.0039274077862501144,0.0,0.0019304541638121009,0.0,1.1137246588291058e-14,0.0,6.021871047737779e-15,0.0,5.454361937692713e-14,0.0,2.6810039512872516e-14,0.0,2.1480962888700402e-36,0.0,1.1614682724461887e-36,0.0,1.0520099750543672e-35,0.0,5.1709859456893004e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gsm8k_0007,gsm8k_qwen7b,0,0.5671284666115587,0.9090909090909091,0.006346084854819558,0.09090909090909091,0.010226347483694553,3.774323391864121e-18,0.008365299552679062,5.968264304661605e-27,0.005547261331230402,0.0,0.039631281048059464,0.0,1.42022922285448e-13,3.4547338145785034e-05,1.1617680287841908e-13,5.4629030791196465e-14,7.704005212634882e-14,1.1996937387438875e-33,5.503970217958509e-13,0.0,2.7392671704990834e-35,0.004391652997583151,2.2407599905357656e-35,6.944435044370367e-12,1.4859099507662803e-35,1.5250489900364797e-31,1.0615781575568093e-34,0.0,0.0,7.753171368807266e-12,0.0,1.2259938703300359e-20,0.0,2.692370791445844e-40,0.0,0.0
gsm8k_0008,gsm8k_qwen7b,1,0.3285614635908242,0.9924242424242424,0.019638712546139053,0.3409090909090909,0.32168975472450256,0.007977510802447796,0.03689657524228096,9.023264448994317e-13,0.12677767872810364,3.087778275164415e-33,0.03498741239309311,0.0,4.467609442115883e-12,0.0012115905992686749,5.12417528113901e-13,6.867700310352054e-13,1.760681010709586e-12,3.994045278037505e-29,4.859032013554421e-13,0.0,8.616901645630276e-34,0.03261731192469597,9.88325229663277e-35,2.8867414584965445e-05,3.3959129511506134e-34,3.395273004681494e-17,9.371857726699231e-35,5.546059062104761e-40,0.0,0.3883051574230194,0.0,0.0003436094557400793,0.0,4.009043997046046e-16,0.0,6.548632061390595e-39
gsm8k_0009,gsm8k_qwen7b,0,0.8118890225887299,0.8,0.0,0.0,0.0042487941682338715,0.0,9.769027383299544e-05,0.0,0.013381963595747948,0.0,0.0019304542802274227,0.0,5.900701205863862e-14,0.0,1.3567170238144464e-15,0.0,1.8584795974298934e-13,0.0,2.681004120693841e-14,0.0,1.1380977170965701e-35,0.0,2.616767712490837e-37,0.0,3.584542314095721e-35,0.0,5.170986304421707e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
