item_id,dataset,is_correct,h0_total_per_step,h0_n_per_step,h1_total_per_step,h1_n_per_step,h0_pi_0_0,h1_pi_0_0,h0_pi_0_1,h1_pi_0_1,h0_pi_0_2,h1_pi_0_2,h0_pi_0_3,h1_pi_0_3,h0_pi_1_0,h1_pi_1_0,h0_pi_1_1,h1_pi_1_1,h0_pi_1_2,h1_pi_1_2,h0_pi_1_3,h1_pi_1_3,h0_pi_2_0,h1_pi_2_0,h0_pi_2_1,h1_pi_2_1,h0_pi_2_2,h1_pi_2_2,h0_pi_2_3,h1_pi_2_3,h0_pi_3_0,h1_pi_3_0,h0_pi_3_1,h1_pi_3_1,h0_pi_3_2,h1_pi_3_2,h0_pi_3_3,h1_pi_3_3
math500_0000,math500_deepseek_r1,0,0.7001299850642682,0.95,0.0,0.0,0.020051395520567894,0.0,0.03500142693519592,0.0,0.041058026254177094,0.0,0.07536252588033676,0.0,2.7847266593356013e-13,0.0,4.860978156454032e-13,0.0,5.702115754395443e-13,0.0,1.0466305556608435e-12,0.0,5.371041466717089e-35,0.0,9.375612650548391e-35,0.0,1.0997954992829573e-34,0.0,2.0186886168703553e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
math500_0001,math500_deepseek_r1,1,0.5818929330342346,0.9777777777777777,0.019848557975557117,0.2222222222222222,0.08476457744836807,6.78756259731017e-05,0.044475190341472626,3.2867480862197292e-15,0.10347757488489151,2.2991333941333177e-36,0.05643080919981003,0.0,1.1772055769423972e-12,8.84913097252138e-05,6.17668947672928e-13,4.192744479240059e-15,1.4370907892510831e-12,3.660535693550667e-33,7.837078967558309e-13,0.0,2.270535067291665e-34,0.013373644091188908,1.1913288566585887e-34,7.674882454011822e-07,2.7717881285901065e-34,3.5341559858792334e-20,1.5115764509170337e-34,2.5223372357846707e-44,0.0,0.06094428896903992,0.0,0.00010694534284994006,0.0,4.750326204324627e-18,0.0,3.3673202097725354e-42
math500_0002,math500_deepseek_r1,0,0.754844781011343,0.875,0.0,0.0,0.007899350486695766,0.0,0.0014782624784857035,0.0,0.02012682892382145,0.0,0.029926734045147896,0.0,1.0970573543567577e-13,0.0,2.05300237395142e-14,0.0,2.7952027628272424e-13,0.0,4.156207984110788e-13,0.0,2.1159492375666947e-35,0.0,3.959728485029206e-36,0.0,5.3912469977874e-35,0.0,8.016285447348143e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
math500_0003,math500_deepseek_r1,1,1.1856883615255356,0.9,0.038777399063110354,0.2,0.0034421421587467194,1.401298464324817e-45,0.002163143130019307,0.0,0.09748974442481995,0.0,0.04546160623431206,0.0,4.780427627099765e-14,3.098576892475587e-20,3.004160573191923e-14,4.795896044939698e-24,1.353932048940576e-12,1.031000440582359e-38,6.313682215930427e-13,0.0,9.220248658486445e-36,1.4427164387598168e-05,5.794274893043214e-36,2.2309030178746525e-09,2.611396286606473e-34,4.795896044939698e-24,1.2177513064356852e-34,0.0,0.0,0.09410777688026428,0.0,1.4412175005418248e-05,0.0,3.098265407276173e-20,0.0,1.401298464324817e-45
math500_0004,math500_deepseek_r1,0,0.4466371788926747,0.9782608695652174,0.018464481053145035,0.2391304347826087,0.05742816627025604,0.004298766143620014,0.057515837252140045,3.578721520514083e-13,0.03259886056184769,5.063082380199545e-34,0.01941785030066967,0.0,7.975591216104194e-13,0.009363077580928802,7.987766806501206e-13,2.1195001309592953e-08,4.527311956315644e-13,2.629708343450335e-22,2.696740129381342e-13,0.0,1.5382922003099848e-34,0.06987069547176361,1.5406405487411148e-34,5.785970279248431e-05,8.732051304403526e-35,7.180166048374272e-19,5.201336931451184e-35,1.233142648605839e-43,0.0,0.04429708421230316,0.0,1.2231040500410018e-06,0.0,4.690436685731466e-22,0.0,0.0
math500_0005,math500_deepseek_r1,1,0.6027774207759649,0.96875,0.02817705273628235,0.21875,0.05443640053272247,6.616570984107059e-18,0.04088659957051277,3.4346942183564634e-27,0.05423932895064354,0.0,0.0023005034308880568,0.0,7.560096212250178e-13,3.1311468774219975e-05,5.678306674687661e-13,3.453423121470636e-14,7.532727696810126e-13,5.181824654492553e-29,3.1949262842539267e-14,0.0,1.4581535617088965e-34,0.07458541542291641,1.0952033800919472e-34,1.436494494555518e-05,1.452874742595365e-34,5.001809945152426e-20,6.162213449667799e-36,1.401298464324817e-45,0.0,0.0009195563034154475,0.0,2.5724853003339376e-07,0.0,1.0560593271986589e-21,0.0,0.0
math500_0006,math500_deepseek_r1,1,0.45960186708431977,0.9743589743589743,0.0053488367643111795,0.15384615384615385,0.0968046560883522,0.003116675652563572,0.012226905673742294,6.326184151181358e-13,0.05199761688709259,1.783323010507307e-33,0.06206556037068367,0.0,1.344417849616364e-12,3.4201229937025346e-07,1.6980656518481713e-13,1.0591313869102062e-16,7.221401211385259e-13,2.2081025347639295e-36,8.619630616907292e-13,0.0,2.5930454881754427e-34,0.02072482369840145,3.275143935764641e-35,7.52361645206534e-11,1.3928275294606114e-34,3.929005796267525e-30,1.6625111883006876e-34,0.0,0.0,0.0002735408197622746,0.0,1.3749863809922429e-14,0.0,1.1492350238452417e-34,0.0,0.0
math500_0007,math500_deepseek_r1,0,0.4345800122246146,0.9878048780487805,0.019928819159182105,0.2073170731707317,0.14711864292621613,0.0039946394972503185,0.017687484622001648,3.2697637457855533e-13,0.16698555648326874,4.060811356472826e-34,0.024362096562981606,0.0,2.043175524601981e-12,8.940690167946741e-05,2.4564283441531887e-13,3.5813723948258103e-13,2.3190861123817408e-12,2.2610034287047216e-27,3.383394367624526e-13,0.0,3.94077547533212e-34,0.09828749299049377,4.7378351467358887e-35,2.7606023650150746e-05,4.472936920806235e-34,1.92381272470579e-19,6.525721302335168e-35,1.961817850054744e-44,0.0,0.03897548094391823,0.0,8.475732465740293e-05,0.0,2.781331323597542e-18,0.0,1.2681751102139594e-42
math500_0008,math500_deepseek_r1,0,0.7533673230144713,0.8888888888888888,0.0,0.0,0.00507399020716548,0.0,0.01448974758386612,0.0,0.017680637538433075,0.0,0.039451856166124344,0.0,7.046728651982637e-14,0.0,2.012328021230858e-13,0.0,2.4554769567468326e-13,0.0,5.479051999428275e-13,0.0,1.3591376489964598e-35,0.0,3.881277438464391e-35,0.0,4.736000732700133e-35,0.0,1.056772061659751e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
math500_0009,math500_deepseek_r1,1,0.19531368607567856,0.99609375,0.013151782855857164,0.3046875,0.3849141299724579,0.1289372742176056,0.062335096299648285,5.570968686363642e-10,0.1032879427075386,5.183160166538364e-29,0.07734706252813339,0.0,5.3456648829719455e-12,0.006538004148751497,8.657063781114527e-13,3.0313390686487196e-12,1.4344572621741158e-12,5.099753406861644e-31,1.0741916254067285e-12,0.0,1.031045013218437e-33,0.10513097047805786,1.669730835831148e-34,2.0782156298082555e-06,2.7667089368863484e-34,6.888944964509732e-20,2.0718469050551873e-34,3.5032461608120427e-44,0.0,0.14959898591041565,0.0,6.089750604587607e-05,0.0,1.490894516236362e-18,0.0,7.258726045202552e-43
