item_id,is_correct,dataset,h0_total_per_step,h0_n_per_step,h1_total_per_step,h1_n_per_step,h0_pi_0_0,h1_pi_0_0,h0_pi_0_1,h1_pi_0_1,h0_pi_0_2,h1_pi_0_2,h0_pi_0_3,h1_pi_0_3,h0_pi_1_0,h1_pi_1_0,h0_pi_1_1,h1_pi_1_1,h0_pi_1_2,h1_pi_1_2,h0_pi_1_3,h1_pi_1_3,h0_pi_2_0,h1_pi_2_0,h0_pi_2_1,h1_pi_2_1,h0_pi_2_2,h1_pi_2_2,h0_pi_2_3,h1_pi_2_3,h0_pi_3_0,h1_pi_3_0,h0_pi_3_1,h1_pi_3_1,h0_pi_3_2,h1_pi_3_2,h0_pi_3_3,h1_pi_3_3
arc_0000,1,arc_challenge_qwen7b,0.7859301063858095,0.9836065573770492,0.018482472075790655,0.4426229508196721,0.0025342339649796486,4.019400880650361e-15,0.0944591760635376,2.7409075689897865e-25,0.3384000062942505,0.0,0.2126491367816925,0.0,3.5195296384325087e-14,0.00011558020923985168,1.311844296386644e-12,2.637674827903405e-14,4.699679881370322e-12,6.489136713078762e-32,2.953259381835438e-12,0.0,6.788292617682326e-36,0.14423508942127228,2.5302187589550974e-34,7.829823545080217e-08,9.064506017194402e-34,1.092046282114932e-24,5.696098026731847e-34,0.0,0.0,0.06554002314805984,0.0,5.943371905736683e-10,0.0,3.7027584850811437e-28,0.0,0.0
arc_0001,0,arc_challenge_qwen7b,0.7914965629577637,0.9666666666666667,0.011186416943868,0.3,1.8254396605410506e-10,4.753314394287475e-18,0.02806699275970459,1.4006041445889376e-28,0.30501607060432434,0.0,0.12407291680574417,0.0,2.535160347355495e-21,4.939778591506183e-06,3.8979277162780324e-13,1.6567988800491348e-15,4.23604510843556e-12,3.1559300397117335e-34,1.723117633821436e-12,0.0,4.8905316404936116e-43,0.07132580131292343,7.518128390213927e-35,7.248561195716263e-10,8.170272567035348e-34,1.3544003629993586e-28,3.3234630098766125e-34,0.0,0.0,0.0015642601065337658,0.0,1.1558535704080108e-13,0.0,1.2047382625478459e-33,0.0,0.0
arc_0002,1,arc_challenge_qwen7b,0.7701626429052064,0.9696969696969697,0.018319550788763798,0.42424242424242425,2.883498018491082e-05,8.247321062410824e-19,0.05032162740826607,2.380034132618365e-28,0.22385643422603607,0.0,0.11614654958248138,0.0,4.004585692067732e-16,8.197190254577436e-06,6.988640352187381e-13,1.6002117979221214e-13,3.108905710993981e-12,8.671277993918399e-32,1.6130368525255068e-12,0.0,7.72384447096186e-38,0.08033280074596405,1.3479334027806668e-34,1.7798508222810483e-09,5.996301376010109e-34,9.113138422010855e-28,3.111144623300366e-34,0.0,0.0,0.02257947064936161,0.0,3.9793991019054786e-11,0.0,1.2162014380726191e-30,0.0,0.0
arc_0003,1,arc_challenge_qwen7b,0.8330756202588326,0.9722222222222222,0.0236550552977456,0.3888888888888889,1.136541860624618e-09,9.04769070026871e-27,0.012565329670906067,1.4695536722315149e-36,0.37649005651474,0.0,0.15088525414466858,0.0,1.5784226521407062e-20,1.409716343658829e-09,1.7450656805001463e-13,5.603775178000195e-18,5.228672529666856e-12,1.534725080050468e-34,2.0954861110200618e-12,0.0,3.0450215629778275e-42,0.027827860787510872,3.3657956149799704e-35,3.339348708664147e-08,1.008480205292953e-33,9.506680111878065e-25,4.041668247298693e-34,0.0,0.0,0.10686854273080826,0.0,2.409007606729574e-07,0.0,1.1857991466492153e-23,0.0,0.0
arc_0004,1,arc_challenge_qwen7b,0.6988020104011393,0.9896907216494846,0.01872023294881447,0.5360824742268041,0.006169352680444717,2.0155629942841813e-10,0.2872246503829956,4.826002890615572e-18,0.6290045380592346,1.6048816163487746e-36,0.3617202341556549,0.0,8.567961200548965e-14,0.021978016942739487,3.9889584690921964e-12,5.238547373664915e-10,8.735579967722451e-12,1.8450802479162104e-28,5.023550585930847e-12,0.0,1.6525457455308808e-35,0.34844911098480225,7.693704198337953e-34,8.719792532474457e-08,1.6848749912839557e-33,5.6300539349841795e-25,9.689172898770981e-34,0.0,0.0,0.05071553215384483,0.0,1.4739247322648197e-10,0.0,8.885803667583296e-30,0.0,0.0
arc_0005,0,arc_challenge_qwen7b,0.7439857586737602,0.967741935483871,0.01338238485397831,0.3225806451612903,1.0282034963893238e-05,6.687283286379358e-27,0.07559291273355484,7.93261168741823e-36,0.3142378032207489,0.0,0.10292837768793106,0.0,1.4279633472881698e-16,9.02273034064649e-10,1.0498302531122827e-12,5.347859641264763e-17,4.364116706900845e-12,8.611855285116394e-35,1.4294635353878649e-12,0.0,2.754183748265369e-38,0.06276737153530121,2.0248595030346915e-34,6.629695459281493e-09,8.417290766246151e-34,1.0372240545429277e-26,2.7570774596380387e-34,0.0,0.0,0.0025815495755523443,0.0,2.2466082813532573e-11,0.0,3.095539375523205e-29,0.0,0.0
arc_0006,1,arc_challenge_qwen7b,0.8811290793948703,0.9629629629629629,0.01737226380242242,0.37037037037037035,6.423134246702489e-10,8.196007031560319e-30,0.013628960587084293,2.97604965256376e-40,0.27523913979530334,0.0,0.24426892399787903,0.0,8.920412660999884e-21,1.1144162849474615e-11,1.8927826699651623e-13,2.7522483253444254e-20,3.822506113720925e-12,4.316517750552237e-39,3.3923931372359384e-12,0.0,1.7207945141908754e-42,0.008778931573033333,3.6507037623731183e-35,1.003947966426999e-10,7.372657864851674e-34,1.6400787576796982e-29,6.543077522342807e-34,0.0,0.0,0.06215599179267883,0.0,4.129927066998107e-09,0.0,4.780790982548845e-27,0.0,0.0
arc_0007,1,arc_challenge_qwen7b,0.8568302070101103,0.9722222222222222,0.020278472039434645,0.4444444444444444,6.887779679942696e-09,2.6608005702775884e-22,0.016432933509349823,2.051675631380008e-31,0.3223680555820465,0.0,0.3153490722179413,0.0,9.565709827784426e-20,4.1022678942681523e-07,2.282196783984225e-13,3.8109296081281655e-16,4.477029424271306e-12,1.0537687682987555e-35,4.379550975347479e-12,0.0,1.8449495581300542e-41,0.03711465373635292,4.401785820433834e-35,6.160111865050055e-10,8.635069461835211e-34,1.9614818407886465e-26,8.447059242325764e-34,0.0,0.0,0.09027814120054245,0.0,1.9733646183794917e-07,0.0,9.619796652014743e-24,0.0,0.0
arc_0008,0,arc_challenge_qwen7b,0.6271533235924635,0.9758064516129032,0.014130979536041137,0.4112903225806452,0.00558820366859436,1.901856627739562e-08,0.6160218715667725,4.775082065697114e-18,0.5738474726676941,2.1106843720227515e-38,0.21465615928173065,0.0,7.760862129812737e-14,0.01636642776429653,8.55527367699116e-12,1.7822479603246677e-11,7.969560775200613e-12,2.699502576968459e-29,2.981132701806999e-12,0.0,1.496876543937172e-35,0.1504208743572235,1.65009890926984e-33,8.77746302307969e-08,1.537128667532537e-33,1.901144131960418e-24,5.749858985360216e-34,0.0,0.0,0.1093573346734047,0.0,6.378854111588339e-10,0.0,4.83051618259699e-27,0.0,0.0
arc_0009,1,arc_challenge_qwen7b,0.6528823422061072,0.9777777777777777,0.015738552146487766,0.4444444444444444,0.005765795242041349,5.740190224187702e-13,0.1296057105064392,1.7385563368985195e-21,0.29620370268821716,2.8760670071341843e-40,0.039951395243406296,0.0,8.007503216273318e-14,0.0037087665405124426,1.7999566680887424e-12,3.655445390826628e-11,4.113660367205396e-12,1.5562592772344276e-29,5.548427385940191e-13,0.0,1.5444471874540486e-35,0.15051890909671783,3.471666215221417e-34,6.87991388303999e-08,7.934223199485655e-34,6.645533870676426e-25,1.070152837833081e-34,0.0,0.0,0.00011969006300205365,0.0,7.540611201856812e-14,0.0,6.584375970678995e-31,0.0,0.0
