item_id,is_correct,dataset,h0_total_per_step,h0_n_per_step,h1_total_per_step,h1_n_per_step,h0_pi_0_0,h1_pi_0_0,h0_pi_0_1,h1_pi_0_1,h0_pi_0_2,h1_pi_0_2,h0_pi_0_3,h1_pi_0_3,h0_pi_1_0,h1_pi_1_0,h0_pi_1_1,h1_pi_1_1,h0_pi_1_2,h1_pi_1_2,h0_pi_1_3,h1_pi_1_3,h0_pi_2_0,h1_pi_2_0,h0_pi_2_1,h1_pi_2_1,h0_pi_2_2,h1_pi_2_2,h0_pi_2_3,h1_pi_2_3,h0_pi_3_0,h1_pi_3_0,h0_pi_3_1,h1_pi_3_1,h0_pi_3_2,h1_pi_3_2,h0_pi_3_3,h1_pi_3_3
math500_0000,1,math500_qwen7b,0.7760930687797313,0.9795918367346939,0.015043685630876191,0.42857142857142855,1.5637187971151434e-05,5.769200123979982e-24,0.08281464874744415,3.0647962585798855e-33,0.51307213306427,0.0,0.22426508367061615,0.0,2.171683950663659e-16,8.642872728614748e-08,1.1501249171791406e-12,1.6031296019616815e-15,7.12551675649542e-12,1.8174190323052735e-32,3.114580858845639e-12,0.0,4.188635532957647e-38,0.10251997411251068,2.2183031696743265e-34,5.529753011046523e-08,1.3743339957096777e-33,6.490549819894114e-25,6.00724724879718e-34,0.0,0.0,0.030405528843402863,0.0,1.4841938789089681e-10,0.0,3.29833101161181e-28,0.0,0.0
math500_0001,1,math500_qwen7b,0.7874576506160554,0.9841269841269841,0.023885740174187556,0.5238095238095238,0.0003776727244257927,3.945899918399778e-22,0.059440962970256805,1.9452027855260297e-29,0.5621663331985474,0.0,0.40284091234207153,0.0,5.2450973658758546e-15,9.67482947089593e-07,8.255128351730701e-13,1.8697529960941262e-13,7.807336374621165e-12,7.502585641157145e-31,5.594631962563268e-12,0.0,1.011648166873208e-36,0.22957122325897217,1.5922077869550096e-34,9.411508017365122e-08,1.5058393956365479e-33,1.2509964297058557e-24,1.0790644166270082e-33,0.0,0.0,0.16537371277809143,0.0,7.858525385984194e-09,0.0,1.370723014093679e-26,0.0,0.0
math500_0002,0,math500_qwen7b,0.6463891289736096,0.9789473684210527,0.01873871401736611,0.47368421052631576,0.018805909901857376,6.964657131902641e-06,0.3577309846878052,6.661811808575044e-14,0.4179655611515045,4.5357046089861006e-32,0.20638373494148254,0.0,2.611753857888893e-13,0.1239091008901596,4.9681469875551e-12,8.518170346860643e-08,5.8046818220136576e-12,1.4757014864057979e-24,2.866245869120876e-12,0.0,5.037419180386935e-35,0.1815412938594818,9.582315870506427e-34,1.4478102272619253e-08,1.1195780130990906e-33,3.367989865844205e-26,5.528270953390522e-34,0.0,0.0,0.008955491706728935,0.0,6.335853282996018e-12,0.0,5.9634601062695685e-31,0.0,0.0
math500_0003,1,math500_qwen7b,0.6805395455057941,0.9850746268656716,0.01560133028386244,0.417910447761194,0.016716087237000465,8.061373932832794e-07,0.14577406644821167,4.810678307668121e-15,0.35784095525741577,4.024169911860749e-34,0.23199480772018433,0.0,2.321520796780274e-13,0.02952471375465393,2.0245018769043943e-12,1.473753202807515e-10,4.9696748452565664e-12,1.2224057160641688e-29,3.221931185390381e-12,0.0,4.477632756710719e-35,0.13777941465377808,3.904758971271398e-34,3.504831624923099e-08,9.585260116513253e-34,2.2203456532054273e-25,6.214299099257506e-34,0.0,0.0,0.03653721883893013,0.0,8.321537209310392e-11,0.0,3.092621892584012e-29,0.0,0.0
math500_0004,1,math500_qwen7b,0.6613330369194349,0.9927536231884058,0.03755122423171997,0.717391304347826,0.016531039029359818,3.579003392246386e-20,0.15705043077468872,1.998791263820107e-26,1.1986488103866577,8.934679008535034e-42,0.22782468795776367,0.0,2.2958222237363934e-13,1.4931089935998898e-05,2.1811088091877595e-12,7.143675928578119e-11,1.664676035906254e-11,1.0633291222023774e-23,3.1640165747831572e-12,0.0,4.428066269574996e-35,0.3920581340789795,4.206812805797243e-34,0.001060535665601492,3.2107438004680576e-33,2.243388466022288e-16,6.102596371038176e-34,6.603941311777495e-40,0.0,0.5213430523872375,0.0,9.750899607752217e-07,0.0,7.957875573429917e-20,0.0,2.312142466135948e-43
math500_0005,1,math500_qwen7b,0.6579947149753571,0.96,0.010958974361419677,0.28,3.688929609779734e-06,6.683575221044791e-11,0.1660299301147461,2.8991198168788274e-21,0.1230170950293541,2.8152086148285575e-42,0.07055667787790298,0.0,5.123164630543103e-17,0.0023340992629528046,2.3058141767479112e-12,1.1111298513222234e-12,1.7084545583800903e-12,2.708896462490428e-32,9.798871783428531e-13,0.0,9.881303765334235e-39,0.06830759346485138,4.447338235429676e-34,3.398081460659341e-08,3.2951813504797976e-34,2.3584917144848295e-25,1.8899570621871891e-34,0.0,0.0,0.0003475547127891332,0.0,8.467449831572882e-12,0.0,5.866454832976435e-29,0.0,0.0
math500_0006,1,math500_qwen7b,0.7555368977288405,0.9833333333333333,0.015425603588422139,0.4166666666666667,0.005143764894455671,5.5463075494056245e-17,0.07547563314437866,6.101381192780949e-26,0.5501505136489868,2.802596928649634e-45,0.20179405808448792,0.0,7.14363193165396e-14,0.00012674950994551182,1.0482013477683405e-12,2.7638411307859267e-13,7.640460313040887e-12,2.0589773908642933e-32,2.8025045391982806e-12,0.0,1.3778280378731267e-35,0.1625233292579651,2.021718729066088e-34,6.018384013373179e-09,1.4736537174625605e-33,6.219423673151178e-27,5.405328937973896e-34,0.0,0.0,0.004018202889710665,0.0,1.927240485255499e-12,0.0,8.354150776964861e-32,0.0,0.0
math500_0007,0,math500_qwen7b,0.6668327262466268,0.9922480620155039,0.026138781115066175,0.5116279069767442,0.03171233832836151,1.868684762484918e-09,0.2986762225627899,6.941684811293982e-18,0.7915359139442444,7.983031885935815e-37,0.2513727843761444,0.0,4.404192397063078e-13,0.01952863112092018,4.147997483688881e-12,6.572887123468263e-09,1.09928073588339e-11,2.971444033412542e-25,3.4910511981234293e-12,0.0,8.494584226381894e-35,0.8755001425743103,8.000452204249914e-34,1.70997573150089e-05,2.1202373238682368e-33,3.2251936873330206e-20,6.733364343802011e-34,1.401298464324817e-45,0.0,0.033673547208309174,0.0,2.978076951709596e-10,0.0,4.713735294192412e-25,0.0,0.0
math500_0008,1,math500_qwen7b,0.7808330649776118,0.9821428571428571,0.01738478456224714,0.4642857142857143,0.0006161307683214545,8.767515110235419e-21,0.06767251342535019,4.2779595630185036e-27,0.5278626084327698,2.942726775082116e-44,0.20178833603858948,0.0,8.556787819535144e-15,7.082835509208962e-06,9.398320880218969e-13,3.4406076078463688e-12,7.330925796966703e-12,2.3319197382459878e-29,2.8024251755992546e-12,0.0,1.6503904094839416e-36,0.14486069977283478,1.81270102501613e-34,3.9205303892231314e-08,1.4139522879297159e-33,2.6062872229186565e-25,5.405176950227755e-34,0.0,0.0,0.014786058105528355,0.0,2.812550019271054e-11,0.0,2.2475976728400344e-30,0.0,0.0
math500_0009,0,math500_qwen7b,0.47419206387057067,0.98828125,0.017958095656450193,0.453125,0.09146246314048767,8.653593249619007e-05,1.0261540412902832,6.465407907402937e-14,0.9364230632781982,1.2349502908495904e-30,0.25604549050331116,0.0,1.2702250275914428e-12,0.20046405494213104,1.4251164484613277e-11,6.770231379960023e-07,1.3004991181175818e-11,8.963487571381474e-23,3.5559454686362457e-12,0.0,2.449945810940878e-34,0.4910880923271179,2.7486937053582795e-33,1.3100632713758387e-05,2.5083376203807617e-33,1.187879568746223e-19,6.858529237403141e-34,1.5414283107572988e-44,0.0,0.11181322485208511,0.0,4.322316158322792e-07,0.0,3.874746229848879e-21,0.0,0.0
