slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7467520497951597,0.7968637469348575,-0.050111697139697764,2.8989460864954133e-05,-9.307199904744744,1.3124671073386268e-20,-0.060664508146573856,-0.03955888613282167,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6110269170976856,0.6731588398825411,-0.062131922784855464,0.00023625229204883135,-4.0422835898911025,5.293315869750096e-05,-0.09225755059906354,-0.032006294970647386,769,399,,***
group,arc_challenge_qwen7b,1165,0.6660819964349376,0.7344313725490196,-0.06834937611408198,0.0002631983337651421,-4.2130148211245855,2.5198452154602637e-05,-0.10014663324160952,-0.03655211898655444,825,340,,***
group,gpqa_diamond_llama8b,189,0.660891660891661,0.6889581889581889,-0.028066528066527985,0.002159566192830225,-0.6039561834674511,0.545872773817753,-0.11914827486752262,0.06301521873446665,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7234532689776217,0.7806055287406758,-0.05715225976305405,0.0012895469365928366,-1.5915300012808553,0.11149034916170517,-0.127535080495628,0.013230560969519897,86,106,,ns
group,gsm8k_llama8b,1319,0.7295454650790929,0.7516140694015081,-0.022068604322415197,9.686637549789474e-05,-2.2422722550714154,0.02494378177303706,-0.041358710402607114,-0.0027784982422232804,601,718,,*
group,gsm8k_qwen7b,1318,0.8077097126056444,0.8483456579570334,-0.040635945351389036,9.254080169812526e-05,-4.224192866502939,2.3979862955214962e-05,-0.059490432322860026,-0.02178145837991805,887,431,,***
group,math500_llama8b,494,0.7929362880886427,0.8583708448753463,-0.06543455678670362,0.0004157708248868055,-3.209077160201682,0.0013316175109727617,-0.10539912237484297,-0.02546999119856428,304,190,,**
group,math500_qwen7b,499,0.8137219478903206,0.9292424424906662,-0.11552049460034564,0.0005965882130290132,-4.7295705196784406,2.2499529382620413e-06,-0.16339291936933398,-0.0676480698313573,361,138,,***
model_family,llama8b,3170,0.7167653650713913,0.7553746755672341,-0.03860931049584282,5.800742969696105e-05,-5.0693261609421265,3.992265824777442e-07,-0.05353690750524742,-0.023681713486438213,1752,1418,,***
model_family,qwen7b,3174,0.7636271125338542,0.83072166689103,-0.06709455435717582,6.407112023002693e-05,-8.382163233294087,5.19637013256129e-17,-0.08278297588259993,-0.0514061328317517,2159,1015,,***
dataset_family,arc_challenge,2333,0.6415057820004991,0.706185068159862,-0.06467928615936291,0.00012058574815484318,-5.89002620516462,3.861343838486504e-09,-0.08620195295275594,-0.04315661936596989,1594,739,,***
dataset_family,gpqa_diamond,381,0.6900921658986175,0.735837922895358,-0.04574575699674044,0.0008341195897863624,-1.58393245688219,0.11320909036956618,-0.10235172890517592,0.010860214911695046,164,217,,ns
dataset_family,gsm8k,2637,0.7823744583883134,0.8034821069279505,-0.02110764853963709,4.282716797789612e-05,-3.2253747056750224,0.0012580789015762817,-0.03393413684291161,-0.008281160236362573,1488,1149,,**
dataset_family,math500,993,0.810182468366037,0.8984572712268476,-0.08827480286081058,0.00023712176960103153,-5.732592123945578,9.890728194193078e-09,-0.11845581532581054,-0.05809379039581062,665,328,,***
