slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7521807399177528,0.7854773855985779,-0.03329664568082513,2.5745341380934858e-05,-6.562225607536734,5.301052873027193e-11,-0.043241476938296206,-0.02335181442335406,3911,2433,,***
group,arc_challenge_llama8b,1168,0.586515052260039,0.6429891373427066,-0.0564740850826676,0.0002347623621930302,-3.6858271810732472,0.00022796100980720075,-0.08650456871203004,-0.026443601453305172,769,399,,***
group,arc_challenge_qwen7b,1165,0.6472549019607843,0.7159019607843138,-0.0686470588235295,0.0002661610944124162,-4.207747279378173,2.579290895131898e-05,-0.10062278217510012,-0.036671335471958895,825,340,,***
group,gpqa_diamond_llama8b,189,0.7207207207207207,0.7019519519519519,0.018768768768768762,0.0009686505701751711,0.6030484625996516,0.5464764500504276,-0.04223148759929747,0.079769025136835,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7298157086441422,0.7944273804300129,-0.06461167178587068,0.0006780984851645856,-2.48121610373049,0.013093496471662395,-0.11564976939084438,-0.013573574180896983,86,106,,*
group,gsm8k_llama8b,1319,0.7193210943691805,0.7532258214025834,-0.03390472703340297,0.00012232874954664974,-3.0654623327130697,0.0021733375126075302,-0.05558238497817321,-0.012227069088632733,601,718,,**
group,gsm8k_qwen7b,1318,0.8030248733314675,0.8363628278537367,-0.033337954522269175,8.273230743501426e-05,-3.665231254347304,0.00024711518701258257,-0.0511652580803683,-0.01551065096417005,887,431,,***
group,math500_llama8b,494,0.8121191135734073,0.8430574792243767,-0.030938365650969413,0.0002932843003379414,-1.806562371433753,0.07083054098412518,-0.06450381756963558,0.0026270862676967474,304,190,,ns
group,math500_qwen7b,499,0.8751053835962905,0.9200489782809427,-0.044943594684652144,0.00020114266833443268,-3.168952297053542,0.0015298950265309524,-0.0727407398166843,-0.017146449552619982,361,138,,**
model_family,llama8b,3170,0.7200938198375743,0.7438671741664575,-0.023773354328883278,5.859969269294746e-05,-3.1055805212364698,0.0018990590777500935,-0.03877696410737619,-0.008769744550390366,1752,1418,,**
model_family,qwen7b,3174,0.7697976393924392,0.8211749646912798,-0.05137732529884065,4.701182166268737e-05,-7.493210813206069,6.720881910728394e-14,-0.06481585114816764,-0.037938799449513665,2159,1015,,***
dataset_family,arc_challenge,2333,0.6201418377100867,0.6811958070097099,-0.061053969299623256,0.00012162488746219157,-5.53608409087531,3.093091040304053e-08,-0.08266917220770548,-0.039438766391541036,1594,739,,***
dataset_family,gpqa_diamond,381,0.7250196695515343,0.750323142632348,-0.02530347308081371,0.0003896236756736229,-1.2819097941958337,0.19987429179900715,-0.0639909814739334,0.013384035312305968,164,217,,ns
dataset_family,gsm8k,2637,0.7788931703117251,0.79636716593204,-0.01747399562031493,5.080760672147234e-05,-2.4514771720653843,0.014227121042788535,-0.031444512038778426,-0.003503479201851437,1488,1149,,*
dataset_family,math500,993,0.847391344214194,0.8863973959288466,-0.039006051714652545,0.00012210669746710463,-3.5298987587773905,0.00041571871378257605,-0.06066402599783144,-0.017348077431473655,665,328,,***
