slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7476893662452367,0.8032865032421439,-0.05559713699690716,2.039820565792615e-05,-12.30995442051909,8.006839352049654e-35,-0.06444919139410633,-0.046745082599707985,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6130182413119925,0.6430152103275093,-0.02999696901551685,0.0001944898963397257,-2.150942754093845,0.03148071839064819,-0.057330555092541674,-0.002663382938492026,769,399,,*
group,arc_challenge_qwen7b,1165,0.6679180035650624,0.7286524064171123,-0.060734402852049896,0.00020699232097515122,-4.221411108951817,2.4277769330178645e-05,-0.08893285098711479,-0.03253595471698501,825,340,,***
group,gpqa_diamond_llama8b,189,0.6621621621621623,0.7105567105567105,-0.048394548394548265,0.0013948929402844863,-1.2957642790070212,0.1950567081995484,-0.1215958037757219,0.024806706986625376,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7266344888108819,0.7569109258446688,-0.030276437033786907,0.0010788290451345442,-0.9217824820937865,0.356642046753739,-0.09465249897806177,0.03409962491048796,86,106,,ns
group,gsm8k_llama8b,1319,0.7301201803864497,0.7599173151525546,-0.029797134766104905,6.810211600341914e-05,-3.610723247197415,0.00030534434612287714,-0.045971542768541006,-0.013622726763668803,601,718,,***
group,gsm8k_qwen7b,1318,0.8073879732250058,0.845361067442329,-0.0379730942173232,5.447379618149498e-05,-5.1449619360206365,2.6757505927431817e-07,-0.05243887607791054,-0.02350731235673586,887,431,,***
group,math500_llama8b,494,0.7946849030470915,0.8618247922437674,-0.0671398891966759,0.0003369007446409171,-3.657881522619811,0.0002543085448043597,-0.10311474621097508,-0.03116503218237674,304,190,,***
group,math500_qwen7b,499,0.8137420209562808,0.933497932474206,-0.1197559115179252,0.0004874356175919816,-5.424232924087653,5.820394396755324e-08,-0.16302788689136066,-0.07648393614448971,361,138,,***
model_family,llama8b,3170,0.7177704626105326,0.7621875623909166,-0.044417099780383995,4.1771939698871915e-05,-6.8723912566528185,6.3134505156850345e-12,-0.057084585174641794,-0.031749614386126196,1752,1418,,***
model_family,qwen7b,3174,0.7643857651667781,0.8300275852942318,-0.06564182012745368,4.5866733585145874e-05,-9.692408467444341,3.247779247886765e-22,-0.07891567293314224,-0.052367967321765116,2159,1015,,***
dataset_family,arc_challenge,2333,0.6435508325367625,0.6912567934897951,-0.04770596095303259,9.731567167774036e-05,-4.835943922156349,1.3251527960813282e-06,-0.06704075201366289,-0.028371169892402293,1594,739,,***
dataset_family,gpqa_diamond,381,0.6922558165673823,0.733618073507924,-0.04136225694054163,0.0006080984358739941,-1.6773252506041774,0.0934788974952287,-0.08969428669657872,0.006969772815495469,164,217,,ns
dataset_family,gsm8k,2637,0.7825873597424596,0.8181705456825477,-0.035583185940088025,2.6460186001815784e-05,-6.9174875101162305,4.597239024174552e-12,-0.0456651358960183,-0.025501235984157752,1488,1149,,***
dataset_family,math500,993,0.8110168714469098,0.9042362002567393,-0.09321932880982953,0.00018731003668446286,-6.811228455089635,9.676881510289484e-12,-0.12004364227030918,-0.06639501534934987,665,328,,***
