slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.73942639470092,0.7854773855985779,-0.04605099089765796,3.2379448604721726e-05,-8.092901510494249,5.82599720407568e-16,-0.05720376268102287,-0.034898219114293055,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6236527599883974,0.6429891373427066,-0.019336377354309153,0.00023632868353111718,-1.257815363195152,0.20845853824007343,-0.04946687529134366,0.010794120582725351,769,399,,ns
group,arc_challenge_qwen7b,1165,0.6738003565062388,0.7159019607843138,-0.04210160427807497,0.00026787934481308407,-2.5723439079970016,0.0101012494613536,-0.07418037408014164,-0.01002283447600829,825,340,,*
group,gpqa_diamond_llama8b,189,0.6680526680526679,0.7019519519519519,-0.03389928389928398,0.001380483778266176,-0.9123781377717537,0.36156969408084794,-0.10672147548156029,0.03892290768299232,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.752632733655112,0.7944273804300129,-0.04179464677490097,0.0006714339981858186,-1.612942907412262,0.10675691210501798,-0.09258131879468226,0.008992025244880332,86,106,,ns
group,gsm8k_llama8b,1319,0.7047678196506287,0.7532258214025834,-0.048458001751954694,0.0001453992429663819,-4.018689282257591,5.852278552218915e-05,-0.07209156272814819,-0.024824440775761198,601,718,,***
group,gsm8k_qwen7b,1318,0.7803304760434949,0.8363628278537367,-0.0560323518102418,0.0001079969104927042,-5.391792687670984,6.975822097494914e-08,-0.07640060368466423,-0.03566409993581938,887,431,,***
group,math500_llama8b,494,0.7598164819944598,0.8430574792243767,-0.08324099722991685,0.0005102947505238179,-3.68490863340146,0.00022878469620140092,-0.12751600452018874,-0.038965989939644965,304,190,,***
group,math500_qwen7b,499,0.8222530009233608,0.9200489782809427,-0.09779597735758183,0.00042361420508516456,-4.751554706863969,2.0185852757358625e-06,-0.13813574092525455,-0.05745621378990911,361,138,,***
model_family,llama8b,3170,0.7114919237977472,0.7438671741664575,-0.03237525036871036,7.39208519160791e-05,-3.7655607107953366,0.00016617573784105796,-0.04922647906653078,-0.015524021670889947,1752,1418,,***
model_family,qwen7b,3174,0.7511582857416657,0.8211749646912798,-0.07001667894961416,5.999766055682331e-05,-9.039290610227548,1.5769181289138227e-19,-0.08519819871434856,-0.05483515918487977,2159,1015,,***
dataset_family,arc_challenge,2333,0.6527794520385137,0.6811958070097099,-0.02841635497119621,0.00012296517524924594,-2.5625792352642325,0.010389787731815722,-0.05015032969050181,-0.006682380251890614,1594,739,,*
dataset_family,gpqa_diamond,381,0.7151005957064179,0.750323142632348,-0.035222546925930076,0.0004824590965939948,-1.6035795410586597,0.10880676337473189,-0.07827306088610389,0.007827967034243738,164,217,,ns
dataset_family,gsm8k,2637,0.7619359283902786,0.79636716593204,-0.03443123754176147,6.169471763078311e-05,-4.383577025880043,1.1674634383880385e-05,-0.049825967719098294,-0.019036507364424648,1488,1149,,***
dataset_family,math500,993,0.7961580781221347,0.8863973959288466,-0.0902393178067119,0.00022275426325676798,-6.046203928453462,1.4829836928835163e-09,-0.11949169086318259,-0.06098694475024121,665,328,,***
