slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.754184215733906,0.8032865032421439,-0.04910228750823786,1.5832620213050704e-05,-12.340288918682582,5.495831561717989e-35,-0.05690102834071356,-0.041303546675762165,3911,2433,,***
group,arc_challenge_llama8b,1168,0.5964944871932758,0.6430152103275093,-0.0465207231342335,0.00020967759488247332,-3.212702000741117,0.001314926448874174,-0.0749014885637142,-0.018139957704752803,769,399,,**
group,arc_challenge_qwen7b,1165,0.6557433155080215,0.7286524064171123,-0.07290909090909081,0.00022158524589720044,-4.897915217103242,9.685880728451653e-07,-0.10208460457016416,-0.04373357724801746,825,340,,***
group,gpqa_diamond_llama8b,189,0.725109725109725,0.7105567105567105,0.014553014553014498,0.0006079524790543499,0.5902257419420989,0.5550393162289692,-0.03377321448698192,0.06287924359301092,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7165423431329532,0.7569109258446688,-0.04036858271171562,0.0005092683205884425,-1.788834538059986,0.07364146683958422,-0.08459903921201138,0.0038618737885801474,86,106,,ns
group,gsm8k_llama8b,1319,0.7187278398583605,0.7599173151525546,-0.04118947529419403,8.124377462380596e-05,-4.569737075635208,4.883364712774672e-06,-0.058855675073861,-0.023523275514527073,601,718,,***
group,gsm8k_qwen7b,1318,0.7989102713335444,0.845361067442329,-0.04645079610878455,5.623587961923695e-05,-6.194216993990982,5.857548369605903e-10,-0.061148680847848566,-0.03175291136972054,887,431,,***
group,math500_llama8b,494,0.8077216066481995,0.8618247922437674,-0.054103185595567926,0.00017814027584953356,-4.053608265930487,5.043364275759922e-05,-0.08026266827361558,-0.027943702917520272,304,190,,***
group,math500_qwen7b,499,0.8800032116905536,0.933497932474206,-0.05349472078365236,0.00011138070050256525,-5.0688093021269465,4.0031204927269774e-07,-0.07417960353412184,-0.03280983803318288,361,138,,***
model_family,llama8b,3170,0.7223435155309105,0.7621875623909166,-0.03984404686000609,3.4692721698919877e-05,-6.764633251727728,1.3364730646801677e-11,-0.05138833816715016,-0.028299755552862016,1752,1418,,***
model_family,qwen7b,3174,0.7713966281598167,0.8300275852942318,-0.05863095713441513,3.373386741385862e-05,-10.0947116286234,5.830217880918343e-24,-0.07001459726106589,-0.04724731700776437,2159,1015,,***
dataset_family,arc_challenge,2333,0.629047867255931,0.6912567934897951,-0.06220892623386409,0.00010525326622133209,-6.063661014655499,1.3305744475120732e-09,-0.0823167875804321,-0.0421010648872961,1594,739,,***
dataset_family,gpqa_diamond,381,0.7204956726986624,0.733618073507924,-0.013122400809261525,0.00028248851037709064,-0.7807516386721374,0.43494858279538173,-0.04606428873228164,0.01981948711375859,164,217,,ns
dataset_family,gsm8k,2637,0.7768840600054278,0.8181705456825477,-0.0412864856771199,2.7973368230971077e-05,-7.806125621948581,5.8972801373767245e-15,-0.051652706885225996,-0.030920264469013803,1488,1149,,***
dataset_family,math500,993,0.8490463964790024,0.9042362002567393,-0.05518980377773697,6.967399669987337e-05,-6.611857548085883,3.7952713447520264e-11,-0.0715498095600019,-0.03882979799547204,665,328,,***
