slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.6562282360826793,0.7854773855985779,-0.1292491495158986,5.9146501434173235e-05,-16.805953734005193,2.2073353628112243e-63,-0.14432259801474925,-0.11417570101704798,3911,2433,,***
group,arc_challenge_llama8b,1168,0.5658424344345909,0.6429891373427066,-0.07714670290811565,0.00039812828052369377,-3.8663917534070835,0.0001104574567882711,-0.11625416249047063,-0.03803924332576067,769,399,,***
group,arc_challenge_qwen7b,1165,0.6356613190730839,0.7159019607843138,-0.08024064171122991,0.00038209126083462564,-4.104978065911988,4.0435324449697965e-05,-0.11855236112244026,-0.04192892230001956,825,340,,***
group,gpqa_diamond_llama8b,189,0.6237006237006236,0.7019519519519519,-0.0782513282513283,0.0021468164572807664,-1.6888623737135993,0.09124580732112218,-0.1690638109628615,0.01256115446020488,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.6869240895129444,0.7944273804300129,-0.10750329091706856,0.0016299949216353588,-2.662739210086559,0.007750745776887665,-0.1866333002018069,-0.028373281632330202,86,106,,**
group,gsm8k_llama8b,1319,0.5996041880060623,0.7532258214025834,-0.15362163339652113,0.00031101582337044647,-8.710862048817527,3.0157249348059184e-18,-0.18818685403897975,-0.11905641275406251,601,718,,***
group,gsm8k_qwen7b,1318,0.6727675079846297,0.8363628278537367,-0.16359531986910703,0.00024396183773844833,-10.473936271876548,1.1380986351059244e-25,-0.19420854174288424,-0.1329820979953298,887,431,,***
group,math500_llama8b,494,0.6108206371191136,0.8430574792243767,-0.23223684210526307,0.0010100666987686749,-7.30728575492823,2.725924603187939e-13,-0.2945275286440573,-0.16994615556646883,304,190,,***
group,math500_qwen7b,499,0.5990405074471075,0.9200489782809427,-0.3210084708338352,0.0010738943686100268,-9.795705282870982,1.1747468692788667e-22,-0.38523713261960446,-0.25677980904806597,361,138,,***
model_family,llama8b,3170,0.6298427426885896,0.7438671741664575,-0.1140244314778679,0.0001255417465531505,-10.176626428262516,2.521518720205657e-24,-0.13598492895998215,-0.09206393399575365,1752,1418,,***
model_family,qwen7b,3174,0.6593889252687228,0.8211749646912798,-0.16178603942255698,0.00011788834994279958,-14.900663216931763,3.263241876540676e-50,-0.18306662310216604,-0.14050545574294793,2159,1015,,***
dataset_family,arc_challenge,2333,0.6042109874138982,0.6811958070097099,-0.07698481959581172,0.000190343193111932,-5.580028551537803,2.4047910692350536e-08,-0.1040254471428735,-0.04994419204874993,1594,739,,***
dataset_family,gpqa_diamond,381,0.6551365628863661,0.750323142632348,-0.09518657974598188,0.0009371105613732854,-3.1094265733632778,0.0018745086982087443,-0.15518551000272088,-0.03518764948924288,164,217,,**
dataset_family,gsm8k,2637,0.6689331302581956,0.79636716593204,-0.12743403567384448,0.00013305235771911804,-11.047757923723797,2.2475807550148353e-28,-0.15004189167953985,-0.10482617966814911,1488,1149,,***
dataset_family,math500,993,0.6181047130020173,0.8863973959288466,-0.2682926829268293,0.0004981170986866517,-12.021069374587862,2.7538421201073784e-33,-0.3120362118481269,-0.22454915400553163,665,328,,***
