slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7058720631880971,0.7854773855985779,-0.0796053224104808,4.061554774432174e-05,-12.490963760540094,8.363433134651566e-36,-0.09209623727448288,-0.06711440754647871,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6103343534388637,0.6429891373427066,-0.03265478390384291,0.000321530655069838,-1.821107661430057,0.06859049290381125,-0.06779943884654493,0.002489871038859108,769,399,,ns
group,arc_challenge_qwen7b,1165,0.6598859180035652,0.7159019607843138,-0.056016042780748565,0.00031929575603422853,-3.1348434099358413,0.0017194586849410551,-0.09103834279699374,-0.020993742764503394,825,340,,**
group,gpqa_diamond_llama8b,189,0.6701316701316702,0.7019519519519519,-0.03182028182028174,0.0012481368683724884,-0.900684970344874,0.3677558420468843,-0.10106381135512736,0.03742324771456389,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7549363756033347,0.7944273804300129,-0.03949100482667822,0.0007349176550031616,-1.456729261216626,0.14519112921895494,-0.09262438330288408,0.013642373649527646,86,106,,ns
group,gsm8k_llama8b,1319,0.6665052211031752,0.7532258214025834,-0.0867206002994082,0.00020551775244743967,-6.04919527944413,1.4557112269370453e-09,-0.11481842909361308,-0.05862277150520333,601,718,,***
group,gsm8k_qwen7b,1318,0.741826381059752,0.8363628278537367,-0.09453644679398476,0.00014982478705009316,-7.723380663749531,1.1328420881724577e-14,-0.1185269813810297,-0.07054591220693983,887,431,,***
group,math500_llama8b,494,0.6977146814404432,0.8430574792243767,-0.14534279778393344,0.0006667468204041216,-5.628763988400616,1.8150554719882626e-08,-0.19595189236594682,-0.09473370320192007,304,190,,***
group,math500_qwen7b,499,0.7547472800995624,0.9200489782809427,-0.1653016981813803,0.0006008713920309848,-6.743518472451119,1.54596310701765e-11,-0.21334566459778043,-0.11725773176498017,361,138,,***
model_family,llama8b,3170,0.6842486282048804,0.7438671741664575,-0.05961854596157712,9.064900008362788e-05,-6.261809784012686,3.8053495068436876e-10,-0.07827931767547885,-0.04095777424767539,1752,1418,,***
model_family,qwen7b,3174,0.7166084462565911,0.8211749646912798,-0.10456651843468867,7.806170591301517e-05,-11.835146261227543,2.5689529586353116e-32,-0.12188329725576226,-0.08724973961361508,2159,1015,,***
dataset_family,arc_challenge,2333,0.6389450119952528,0.6811958070097099,-0.042250795014457165,0.00015683800263161632,-3.37372153933304,0.0007415934517487416,-0.06679640009213392,-0.01770518993678041,1594,739,,***
dataset_family,gpqa_diamond,381,0.7171799482971788,0.750323142632348,-0.03314319433516921,0.0004734091067938811,-1.523267090006314,0.12769189718437352,-0.07578802507806562,0.009501636407727186,164,217,,ns
dataset_family,gsm8k,2637,0.7082964850220389,0.79636716593204,-0.08807068091000114,8.371393112407708e-05,-9.62570362939272,6.227920607901592e-22,-0.10600343360253461,-0.07013792821746767,1488,1149,,***
dataset_family,math500,993,0.7330276911791674,0.8863973959288466,-0.15336970474967915,0.00030081602851169287,-8.842785590943233,9.336127906618141e-19,-0.18736341572880613,-0.11937599377055216,665,328,,***
