slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7062588021202961,0.8032865032421439,-0.09702770112184778,3.239485916259259e-05,-17.047382026639372,3.6554316214882776e-65,-0.10818312659447253,-0.08587227564922302,3911,2433,,***
group,arc_challenge_llama8b,1168,0.5828126884180542,0.6430152103275093,-0.060202521909455076,0.00032952451307556287,-3.316429892141572,0.0009117546012011183,-0.09578137584531222,-0.024623667973597926,769,399,,***
group,arc_challenge_qwen7b,1165,0.625126559714795,0.7286524064171123,-0.10352584670231724,0.0002863458830066353,-6.117913319369662,9.480861035509778e-10,-0.13669188231173682,-0.07035981109289766,825,340,,***
group,gpqa_diamond_llama8b,189,0.6402171402171403,0.7105567105567105,-0.07033957033957028,0.0011193908283305372,-2.1023684912730984,0.035521009082971886,-0.13591467057810935,-0.004764470101031218,78,111,,*
group,gpqa_diamond_qwen7b,192,0.7272926722246599,0.7569109258446688,-0.029618253620008916,0.0004925341876470782,-1.3345696899165658,0.18201722376974225,-0.0731159524054652,0.013879445165447361,86,106,,ns
group,gsm8k_llama8b,1319,0.6829680337784286,0.7599173151525546,-0.07694928137412593,0.0001741608611158993,-5.830815326284222,5.515720170926517e-09,-0.10281492994811989,-0.05108363280013197,601,718,,***
group,gsm8k_qwen7b,1318,0.7378033309181081,0.845361067442329,-0.10755773652422085,0.0001445861995768593,-8.944956501427024,3.72096271697834e-19,-0.13112512780359598,-0.08399034524484571,887,431,,***
group,math500_llama8b,494,0.7495498614958449,0.8618247922437674,-0.1122749307479225,0.0004632056278916294,-5.216700239900063,1.8213865973299803e-07,-0.15445769197877912,-0.07009216951706587,304,190,,***
group,math500_qwen7b,499,0.8030029306676302,0.933497932474206,-0.1304950018065758,0.00042006740615962074,-6.366993187526582,1.9276973353813544e-10,-0.17066553382543231,-0.0903244697877193,361,138,,***
model_family,llama8b,3170,0.6842295084078804,0.7621875623909166,-0.07795805398303612,6.987332157065884e-05,-9.32621225135542,1.0972203808241263e-20,-0.09434144458079716,-0.06157466338527509,1752,1418,,***
model_family,qwen7b,3174,0.7203483185291495,0.8300275852942318,-0.10967926676508233,6.616693676752095e-05,-13.483542979029517,1.9548925149099243e-41,-0.12562221388548336,-0.09373631964468129,2159,1015,,***
dataset_family,arc_challenge,2333,0.6075446999319166,0.6912567934897951,-0.08371209355787845,0.0001493531097042342,-6.849850114865787,7.392740444603093e-12,-0.10766483495988562,-0.05975935215587129,1594,739,,***
dataset_family,gpqa_diamond,381,0.6882376081825334,0.733618073507924,-0.04538046532539053,0.0003753819648066889,-2.3422445829151206,0.019168148925777853,-0.08335432949321189,-0.007406601157569172,164,217,,*
dataset_family,gsm8k,2637,0.7114584210674078,0.8181705456825477,-0.1067121246151399,7.697329602697699e-05,-12.163084527586864,4.887763379900527e-34,-0.12390775624008264,-0.08951649299019716,1488,1149,,***
dataset_family,math500,993,0.7834036310287915,0.9042362002567393,-0.12083256922794783,0.0002060713330666513,-8.417346777530124,3.8510646097887505e-17,-0.14896821459287743,-0.09269692386301823,665,328,,***
