slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.6644509048062085,0.7854773855985779,-0.12102648079236944,5.3689024268277e-05,-16.517246472150802,2.7570087388237013e-61,-0.13538768463640125,-0.10666527694833765,3911,2433,,***
group,arc_challenge_llama8b,1168,0.5990105302267371,0.6429891373427066,-0.04397860711596946,0.0003643082315790449,-2.304129998245822,0.021215347254437494,-0.08138816564919463,-0.006569048582744291,769,399,,*
group,arc_challenge_qwen7b,1165,0.6565133689839572,0.7159019607843138,-0.059388591800356605,0.0003504746212732534,-3.172303570470399,0.001512348292919533,-0.096081013706243,-0.0226961698944702,825,340,,**
group,gpqa_diamond_llama8b,189,0.6615846615846616,0.7019519519519519,-0.040367290367290365,0.001420404902733383,-1.0710839641525158,0.2841316778453228,-0.11423492159073176,0.03350034085615103,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7523036419482231,0.7944273804300129,-0.04212373848178985,0.0008052399573498948,-1.4844454718281157,0.13769077896791576,-0.09774114705983414,0.013493670096254441,86,106,,ns
group,gsm8k_llama8b,1319,0.5857275942139145,0.7532258214025834,-0.1674982271886689,0.0003280299444206817,-9.248120282485527,2.284751433815482e-20,-0.2029963049316486,-0.13200014944568922,601,718,,***
group,gsm8k_qwen7b,1318,0.6720324773670733,0.8363628278537367,-0.16433035048666345,0.00023079051175733278,-10.817049234649188,2.8583213714743875e-27,-0.1941057135763508,-0.13455498739697608,887,431,,***
group,math500_llama8b,494,0.600657894736842,0.8430574792243767,-0.24239958448753474,0.0009282714097213226,-7.955992842328897,1.777006746165373e-15,-0.3021148789678615,-0.18268429000720796,304,190,,***
group,math500_qwen7b,499,0.6328435505239071,0.9200489782809427,-0.2872054277570356,0.000933060491397383,-9.402378778601765,5.334319176836874e-21,-0.3470745638366524,-0.22733629167741884,361,138,,***
model_family,llama8b,3170,0.6407808766608059,0.7438671741664575,-0.10308629750565168,0.00012077786628450078,-9.380095610684412,6.591293109464093e-21,-0.12462610251366443,-0.08154649249763893,1752,1418,,***
model_family,qwen7b,3174,0.6744816634229038,0.8211749646912798,-0.146693301268376,0.00010163156939754469,-14.551104722286665,5.746744321156304e-48,-0.16645218506081694,-0.12693441747593504,2159,1015,,***
dataset_family,arc_challenge,2333,0.6312593062957674,0.6811958070097099,-0.04993650071394251,0.00017480452560877807,-3.776954647238655,0.00015875762619176309,-0.07584990239718535,-0.024023099030699675,1594,739,,***
dataset_family,gpqa_diamond,381,0.7104642014162078,0.750323142632348,-0.0398589412161402,0.0005296960705160085,-1.731858408941575,0.08329877550484951,-0.08496776122255068,0.005249878790270279,164,217,,ns
dataset_family,gsm8k,2637,0.6382297135423978,0.79636716593204,-0.15813745238964227,0.0001336732773245642,-13.677680036216353,1.3802655883291979e-42,-0.18079799938810504,-0.13547690539117951,1488,1149,,***
dataset_family,math500,993,0.6285439207775536,0.8863973959288466,-0.257853475151293,0.0004530848122558761,-12.113879145534462,8.917484300428702e-34,-0.2995728549233231,-0.21613409537926284,665,328,,***
