slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.6644509048062085,0.8032865032421439,-0.1388355984359354,4.1551224687778104e-05,-21.538176035357715,6.834536101223421e-103,-0.1514695732098341,-0.12620162366203672,3911,2433,,***
group,arc_challenge_llama8b,1168,0.5990105302267371,0.6430152103275093,-0.04400468010077219,0.000295214813885238,-2.5611192172438737,0.01043355461631526,-0.07768042138138874,-0.010328938820155634,769,399,,*
group,arc_challenge_qwen7b,1165,0.6565133689839572,0.7286524064171123,-0.07213903743315508,0.00028719693940676384,-4.256772491878469,2.0739921569488702e-05,-0.10535432331421396,-0.03892375155209621,825,340,,***
group,gpqa_diamond_llama8b,189,0.6615846615846616,0.7105567105567105,-0.04897204897204899,0.000997885578620158,-1.5502719957783857,0.12107624588150227,-0.1108859921353936,0.012941894191295628,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7523036419482231,0.7569109258446688,-0.004607283896445713,0.0005833260858729556,-0.19076086137391451,0.8487129536226468,-0.051944617343922916,0.04273004955103149,86,106,,ns
group,gsm8k_llama8b,1319,0.5857275942139145,0.7599173151525546,-0.17418972093864005,0.00030074694082667607,-10.044351773627522,9.728518667956758e-24,-0.20817952806718093,-0.14019991381009916,601,718,,***
group,gsm8k_qwen7b,1318,0.6720324773670733,0.845361067442329,-0.1733285900752557,0.00021802114879333423,-11.738724022142678,8.069470167089451e-32,-0.20226851518106792,-0.14438866496944347,887,431,,***
group,math500_llama8b,494,0.600657894736842,0.8618247922437674,-0.26116689750692546,0.0008030772987534822,-9.215936107253965,3.085739123393861e-20,-0.31670956914770787,-0.20562422586614304,304,190,,***
group,math500_qwen7b,499,0.6328435505239071,0.933497932474206,-0.3006543819502989,0.0008075609140248604,-10.579859308972559,3.695126602626217e-26,-0.3563518863506633,-0.24495687754993453,361,138,,***
model_family,llama8b,3170,0.6407808766608059,0.7621875623909166,-0.12140668573011071,8.71079748366348e-05,-13.008093353650533,1.1005380261010378e-38,-0.1396993536134183,-0.10311401784680313,1752,1418,,***
model_family,qwen7b,3174,0.6744816634229038,0.8300275852942318,-0.15554592187132799,8.930915448143807e-05,-16.459272682645352,7.195989499014886e-61,-0.17406827159406713,-0.13702357214858885,2159,1015,,***
dataset_family,arc_challenge,2333,0.6312593062957674,0.6912567934897951,-0.05999748719402764,0.000139880062728067,-5.072886580871274,3.918260582216171e-07,-0.08317815803863395,-0.03681681634942134,1594,739,,***
dataset_family,gpqa_diamond,381,0.7104642014162078,0.733618073507924,-0.023153872091716154,0.00036689322020541323,-1.2087981496310385,0.22674040266376516,-0.06069591781395879,0.014388173630526482,164,217,,ns
dataset_family,gsm8k,2637,0.6382297135423978,0.8181705456825477,-0.1799408321401499,0.00011999540073549892,-16.426590258890833,1.2340566200648045e-60,-0.20141075041195775,-0.15847091386834203,1488,1149,,***
dataset_family,math500,993,0.6285439207775536,0.9042362002567393,-0.27569227947918573,0.00038990514607241915,-13.961919210209077,2.661685127917401e-44,-0.31439375958801263,-0.23699079937035883,665,328,,***
