slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.6540784720617379,0.8042374291193188,-0.15015895705758098,4.990228130249425e-05,-21.25646505782229,2.8725565300717825e-100,-0.16400444580598658,-0.13631346830917537,3911,2433,,***
group,arc_challenge_llama8b,1168,0.5746192529438029,0.6527860613823245,-0.07816680843852164,0.0003804224848794252,-4.007645429633302,6.132709834556997e-05,-0.11639477346584745,-0.03993884341119583,769,399,,***
group,arc_challenge_qwen7b,1165,0.6274367201426024,0.7338752228163994,-0.10643850267379695,0.0003715890159625738,-5.521630266480936,3.3586866667760514e-08,-0.14422003126969257,-0.06865697407790133,825,340,,***
group,gpqa_diamond_llama8b,189,0.6379071379071379,0.6873411873411873,-0.04943404943404939,0.0017726729438441154,-1.1741183604812586,0.24034762022997447,-0.1319546536267951,0.033086554758696304,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7148968845985081,0.7741333918385258,-0.05923650724001772,0.000941573770506549,-1.930466490332882,0.05354906335364052,-0.11937814727457788,0.0009051327945424278,86,106,,ns
group,gsm8k_llama8b,1319,0.5978105200710051,0.7770220477477185,-0.17921152767671344,0.000306693534507891,-10.233251119763612,1.4071450862129393e-24,-0.21353572589582986,-0.14488732945759702,601,718,,***
group,gsm8k_qwen7b,1318,0.6692754586094058,0.8491800877328359,-0.17990462912343008,0.0002299330555721997,-11.86428670324358,1.8144222600506087e-32,-0.20962462852613833,-0.15018462972072183,887,431,,***
group,math500_llama8b,494,0.6097299168975069,0.8517659279778393,-0.24203601108033246,0.0008697217762943237,-8.207101693450543,2.2659164220127637e-16,-0.29983739851260427,-0.18423462364806062,304,190,,***
group,math500_qwen7b,499,0.6068288570396242,0.9333975671444058,-0.3265687101047816,0.0010060559784134857,-10.29588060702529,7.354354781497257e-25,-0.38873560332286466,-0.26440181688669856,361,138,,***
model_family,llama8b,3170,0.6305531940929086,0.7652841644608458,-0.13473097036793724,0.00010650897072288186,-13.054923876974648,5.956954653827882e-39,-0.15495842263129622,-0.11450351810457825,1752,1418,,***
model_family,qwen7b,3174,0.6626975634130927,0.8316995872473345,-0.1690020238342418,0.00010716995069293107,-16.325082698062275,6.54519552082488e-60,-0.18929214341010223,-0.14871190425838135,2159,1015,,***
dataset_family,arc_challenge,2333,0.6044172752014914,0.6967824198661082,-0.09236514466461687,0.00018152592833435574,-6.85549441793282,7.106629714507366e-12,-0.11877204487241674,-0.065958244456817,1594,739,,***
dataset_family,gpqa_diamond,381,0.6797797010228167,0.7289254804990445,-0.04914577947622778,0.000661992201153619,-1.9101162136865397,0.05611825184871989,-0.09957410267214903,0.0012825437196934755,164,217,,ns
dataset_family,gsm8k,2637,0.641994090232741,0.8260917628232123,-0.18409767259047127,0.00012392884450565942,-16.537204535236015,1.9799983070392356e-61,-0.20591664490505787,-0.16227870027588467,1488,1149,,***
dataset_family,math500,993,0.6245690445626261,0.8985695947185035,-0.27400055015587743,0.0004373748584462147,-13.10160577228834,3.2236438017797375e-39,-0.31499027457466383,-0.233010825737091,665,328,,***
