slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7906076666999808,0.7854773855985779,0.0051302811014029,1.916435687522556e-05,1.1719093980738562,0.24123343346141396,-0.0034498755266118425,0.013710437729417643,3911,2433,,ns
group,arc_challenge_llama8b,1168,0.6573846840769022,0.6429891373427066,0.01439554673419563,0.00015617264085263707,1.1519289332081688,0.24935027768082224,-0.010097937475986848,0.03888903094437811,769,399,,ns
group,arc_challenge_qwen7b,1165,0.7210409982174687,0.7159019607843138,0.005139037433154914,0.00019557764962698182,0.367470237293654,0.7132682885044862,-0.022270878423888398,0.032548953290198225,825,340,,ns
group,gpqa_diamond_llama8b,189,0.6570801570801571,0.7019519519519519,-0.04487179487179482,0.0017944997154976353,-1.0592579806740028,0.2894823058160598,-0.1278988793733687,0.03815528962977906,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7361781483106625,0.7944273804300129,-0.0582492321193504,0.0012814901654603957,-1.627168640544836,0.10370128602611398,-0.1284118411054807,0.011913376866779887,86,106,,ns
group,gsm8k_llama8b,1319,0.7690316510551124,0.7532258214025834,0.01580582965252897,5.500654849351468e-05,2.1311307693828256,0.03307837046345634,0.0012694824185657157,0.030342176886492222,601,718,,*
group,gsm8k_qwen7b,1318,0.848016071274428,0.8363628278537367,0.011653243420691295,5.401441909206616e-05,1.5855938895978243,0.11283146324931714,-0.0027514143907906123,0.026057901232173202,887,431,,ns
group,math500_llama8b,494,0.8556613573407202,0.8430574792243767,0.012603878116343559,0.0002472381205769619,0.8015792714447596,0.42279637212467436,-0.018214218176292818,0.043421974408979935,304,190,,ns
group,math500_qwen7b,499,0.8784977317435466,0.9200489782809427,-0.04155124653739606,0.0003467745986137705,-2.2313126022180456,0.02566042948520916,-0.07804947033852827,-0.005053022736263853,361,138,,*
model_family,llama8b,3170,0.757800474653992,0.7438671741664575,0.013933300487534495,3.917757045743813e-05,2.226051733370349,0.026010716405826764,0.001665496136017828,0.02620110483905116,1752,1418,,*
model_family,qwen7b,3174,0.812404940254679,0.8211749646912798,-0.008770024436600798,4.078959255181654e-05,-1.373175733005063,0.16969772182669546,-0.021287673580936767,0.0037476247077351706,2159,1015,,ns
dataset_family,arc_challenge,2333,0.6914045057327631,0.6811958070097099,0.010208698723053189,8.47075905631986e-05,1.1091983702920354,0.2673446155063909,-0.007830168229966496,0.028247565676072874,1594,739,,ns
dataset_family,gpqa_diamond,381,0.6991963583230302,0.750323142632348,-0.05112678430931783,0.0007376495549728627,-1.8824499392453358,0.05977495082381776,-0.10435882719263764,0.0021052585740019836,164,217,,ns
dataset_family,gsm8k,2637,0.8213862919602832,0.79636716593204,0.025019126028243188,2.755430576476373e-05,4.7662563632764146,1.8768043105549685e-06,0.014730844785579057,0.03530740727090732,1488,1149,,***
dataset_family,math500,993,0.8718916192921329,0.8863973959288466,-0.014505776636713708,0.00012959169251974505,-1.2742434352386667,0.2025771561260223,-0.036817682658357304,0.007806129384929885,665,328,,ns
