slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7906076666999808,0.7968637469348575,-0.006256080234876671,1.6367857323330818e-05,-1.5463450006854718,0.12202126933652979,-0.01418554742319217,0.0016733869534388286,3911,2433,,ns
group,arc_challenge_llama8b,1168,0.6573846840769022,0.6731588398825411,-0.0157741558056389,0.00013305270673228135,-1.3675218343817412,0.17146179819819493,-0.03838204146294774,0.00683372985166994,769,399,,ns
group,arc_challenge_qwen7b,1165,0.7210409982174687,0.7344313725490196,-0.01339037433155088,0.00018386483563588964,-0.9875142677072821,0.32339059192420705,-0.03996685255325971,0.013186103890157948,825,340,,ns
group,gpqa_diamond_llama8b,189,0.6570801570801571,0.6889581889581889,-0.03187803187803184,0.0017481542429567361,-0.7624328962411903,0.4458016788303364,-0.1138259576390907,0.05006989388302702,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7361781483106625,0.7806055287406758,-0.044427380430013264,0.0010915803175035842,-1.3446921160120755,0.17872468170801797,-0.10918277278594173,0.0203280119259152,86,106,,ns
group,gsm8k_llama8b,1319,0.7690316510551124,0.7516140694015081,0.017417581653604297,3.626906055354337e-05,2.8921425961573375,0.0038262424214440763,0.005613933802973606,0.02922122950423499,601,718,,**
group,gsm8k_qwen7b,1318,0.848016071274428,0.8483456579570334,-0.00032958668260540946,4.5571181562846085e-05,-0.04882300549104379,0.9610603483038025,-0.013560603929364956,0.012901430564154137,887,431,,ns
group,math500_llama8b,494,0.8556613573407202,0.8583708448753463,-0.002709487534626076,0.00019659577608337496,-0.19324135140219664,0.8467699552735681,-0.03019065523446532,0.024771680165213167,304,190,,ns
group,math500_qwen7b,499,0.8784977317435466,0.9292424424906662,-0.050744710747119615,0.00034441330957784915,-2.7343293129220148,0.006250749393296232,-0.08711845878113839,-0.014370962713100836,361,138,,**
model_family,llama8b,3170,0.757800474653992,0.7553746755672341,0.002425799086757885,3.09087320081727e-05,0.43632915569744535,0.6625979311524559,-0.008470742621934183,0.013322340795449953,1752,1418,,ns
model_family,qwen7b,3174,0.812404940254679,0.83072166689103,-0.018316726636350977,3.879134212925808e-05,-2.9409013790091336,0.0032725870834595565,-0.030523910725607686,-0.00610954254709427,2159,1015,,**
dataset_family,arc_challenge,2333,0.6914045057327631,0.706185068159862,-0.014780562427098909,7.594707723656327e-05,-1.6960374106035767,0.08987879546486767,-0.0318611821394025,0.0023000572852046805,1594,739,,ns
dataset_family,gpqa_diamond,381,0.6991963583230302,0.735837922895358,-0.03664156457232781,0.0006767041444862632,-1.4085575354178104,0.15896604281958174,-0.08762716160557857,0.014344032460922938,164,217,,ns
dataset_family,gsm8k,2637,0.8213862919602832,0.8034821069279505,0.01790418503233271,1.9815979526529006e-05,4.022043700692166,5.7695349852164554e-05,0.009179377335719618,0.0266289927289458,1488,1149,,***
dataset_family,math500,993,0.8718916192921329,0.8984572712268476,-0.026565651934714718,0.00012200466743863097,-2.405095110759263,0.016168257210187807,-0.048214575831712056,-0.0049167280377173835,665,328,,*
