slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7906076666999808,0.8042374291193188,-0.013629762419337998,1.4596892799303827e-05,-3.5674514909701465,0.000360470083754764,-0.02111797733336205,-0.006141547505313947,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6573846840769022,0.6527860613823245,0.00459862269457767,0.00013811985674789347,0.39129087362987697,0.6955822439954249,-0.01843573733597678,0.027632982725132118,769,399,,ns
group,arc_challenge_qwen7b,1165,0.7210409982174687,0.7338752228163994,-0.012834224598930688,0.00015665455093648003,-1.0254113664325417,0.30516912722137257,-0.03736547011351511,0.011697020915653732,825,340,,ns
group,gpqa_diamond_llama8b,189,0.6570801570801571,0.6873411873411873,-0.03026103026103022,0.0016642374923733203,-0.7417816044622242,0.458219667798691,-0.11021789234807915,0.04969583182601871,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7361781483106625,0.7741333918385258,-0.03795524352786328,0.0012548637675188854,-1.071453905913133,0.28396538577998387,-0.10738511813890435,0.03147463108317779,86,106,,ns
group,gsm8k_llama8b,1319,0.7690316510551124,0.7770220477477185,-0.00799039669260615,3.145071083469954e-05,-1.4247973808137357,0.15421577966639177,-0.018982057647760148,0.0030012642625478463,601,718,,ns
group,gsm8k_qwen7b,1318,0.848016071274428,0.8491800877328359,-0.0011640164584079127,3.878197935008666e-05,-0.18691499161773648,0.8517272847391348,-0.013369727279919611,0.011041694363103786,887,431,,ns
group,math500_llama8b,494,0.8556613573407202,0.8517659279778393,0.003895429362880898,0.00022277213769734776,0.2609906189860701,0.7940997415818062,-0.02535811731717762,0.03314897604293941,304,190,,ns
group,math500_qwen7b,499,0.8784977317435466,0.9333975671444058,-0.05489983540085919,0.0003022034575502113,-3.1580669155573813,0.001588190976714285,-0.08897184939549299,-0.02082782140622539,361,138,,**
model_family,llama8b,3170,0.757800474653992,0.7652841644608458,-0.007483689806853766,2.81597936846711e-05,-1.410266026235864,0.1584611462070634,-0.01788439592898348,0.002917016315275949,1752,1418,,ns
model_family,qwen7b,3174,0.812404940254679,0.8316995872473345,-0.019294646992655484,3.39648122168996e-05,-3.3107182923357885,0.0009305683894710885,-0.03071718731798717,-0.007872106667323795,2159,1015,,***
dataset_family,arc_challenge,2333,0.6914045057327631,0.6967824198661082,-0.005377914133345096,7.241042133235553e-05,-0.6319945403211951,0.5273904448067855,-0.022056093042847034,0.011300264776156841,1594,739,,ns
dataset_family,gpqa_diamond,381,0.6991963583230302,0.7289254804990445,-0.02972912217601431,0.0007013250999484003,-1.122593167605656,0.26161031847230043,-0.08163395327458327,0.022175708922554646,164,217,,ns
dataset_family,gsm8k,2637,0.8213862919602832,0.8260917628232123,-0.004705470862929051,1.4856061105954167e-05,-1.2208189164294154,0.22215458994312073,-0.012259870043290025,0.0028489283174319233,1488,1149,,ns
dataset_family,math500,993,0.8718916192921329,0.8985695947185035,-0.026677975426370626,0.00011552325892857217,-2.4820935854991006,0.013061296692070089,-0.04774401069659874,-0.005611940156142511,665,328,,*
