slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7906076666999808,0.8032865032421439,-0.012678836542163063,1.5469192565992663e-05,-3.2236329038977183,0.0012657554713427807,-0.020387550198256957,-0.004970122886069169,3911,2433,,**
group,arc_challenge_llama8b,1168,0.6573846840769022,0.6430152103275093,0.014369473749392903,0.00016205485470892946,1.1287813893708032,0.2589900653643936,-0.010581018250924886,0.039319965749710695,769,399,,ns
group,arc_challenge_qwen7b,1165,0.7210409982174687,0.7286524064171123,-0.007611408199643566,0.00017295974982515144,-0.5787519796482397,0.5627565371184525,-0.03338771042845205,0.018164894029164918,825,340,,ns
group,gpqa_diamond_llama8b,189,0.6570801570801571,0.7105567105567105,-0.053476553476553446,0.0015147815217115286,-1.3740053071400584,0.16944003482077294,-0.129758732509426,0.022805625556319098,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7361781483106625,0.7569109258446688,-0.020732777534006264,0.00120290555873467,-0.5977804694507165,0.549986424035367,-0.08871006910305375,0.04724451403504122,86,106,,ns
group,gsm8k_llama8b,1319,0.7690316510551124,0.7599173151525546,0.009114335902557835,4.166768953167078e-05,1.4119695155497844,0.15795893736681516,-0.0035373325047859568,0.021766004309901627,601,718,,ns
group,gsm8k_qwen7b,1318,0.848016071274428,0.845361067442329,0.0026550038320990454,4.5011043693514566e-05,0.3957360463897072,0.6922997606145227,-0.010494447518626588,0.01580445518282468,887,431,,ns
group,math500_llama8b,494,0.8556613573407202,0.8618247922437674,-0.00616343490304716,0.0001983806814832726,-0.4375957793092576,0.6616793313470424,-0.033769072347946516,0.021442202541852192,304,190,,ns
group,math500_qwen7b,499,0.8784977317435466,0.933497932474206,-0.055000200730659365,0.00031195784217505763,-3.1139835977935593,0.0018457975053244031,-0.08961772814825639,-0.02038267331306235,361,138,,**
model_family,llama8b,3170,0.757800474653992,0.7621875623909166,-0.004387087736924533,3.129167068812306e-05,-0.7842633937152172,0.43288557427023877,-0.015350922119983507,0.006576746646134441,1752,1418,,ns
model_family,qwen7b,3174,0.812404940254679,0.8300275852942318,-0.017622645039552798,3.560280466655046e-05,-2.953445681107544,0.003142479072767184,-0.029317374964940995,-0.0059279151141646,2159,1015,,**
dataset_family,arc_challenge,2333,0.6914045057327631,0.6912567934897951,0.00014771224296805663,8.15010401156513e-05,0.016361944575933814,0.986945639511585,-0.017546436209218457,0.01784186069515457,1594,739,,ns
dataset_family,gpqa_diamond,381,0.6991963583230302,0.733618073507924,-0.034421715184893786,0.0006592821305964586,-1.3405927132939552,0.18005272435892497,-0.08474671052424561,0.015903280154458035,164,217,,ns
dataset_family,gsm8k,2637,0.8213862919602832,0.8181705456825477,0.003215746277735576,1.811339078615991e-05,0.7555825112596208,0.4498995447208484,-0.00512582700361691,0.011557319559088062,1488,1149,,ns
dataset_family,math500,993,0.8718916192921329,0.9042362002567393,-0.03234458096460646,0.0001101775578238291,-3.0814488154002633,0.002059958895295711,-0.052917440545736286,-0.011771721383476635,665,328,,**
