slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.8022232864548997,0.8042374291193188,-0.0020141426644191274,8.177465173910472e-06,-0.7043376067838975,0.48122255170664946,-0.0076189081120750235,0.0035906227832367688,3911,2433,,ns
group,arc_challenge_llama8b,1168,0.6636910872760574,0.6527860613823245,0.010905025893732878,9.866665267355265e-05,1.0978462019761128,0.2722716528620942,-0.008563509829869514,0.03037356161733527,769,399,,ns
group,arc_challenge_qwen7b,1165,0.7291586452762923,0.7338752228163994,-0.004716577540107125,0.00010781096976231636,-0.4542505923651431,0.6496484728407983,-0.025067287620127377,0.015634132539913127,825,340,,ns
group,gpqa_diamond_llama8b,189,0.6904596904596904,0.6873411873411873,0.0031185031185030354,0.0011333236904962482,0.09263374009915767,0.9261945382593748,-0.06286343598272702,0.06910044221973309,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7707327775340062,0.7741333918385258,-0.0034006143045196557,0.0004320026106206284,-0.16361163765010892,0.8700368826479051,-0.04413782382028671,0.0373365952112474,86,106,,ns
group,gsm8k_llama8b,1319,0.7662206443300164,0.7770220477477185,-0.010801403417702193,3.182381638738488e-05,-1.9147146343770933,0.05552890622621828,-0.02185807019252497,0.00025526335712058347,601,718,,ns
group,gsm8k_qwen7b,1318,0.8482044065216311,0.8491800877328359,-0.0009756812112048374,2.7093307453981077e-05,-0.18744632452173687,0.8513107044978159,-0.011177535204517695,0.00922617278210802,887,431,,ns
group,math500_llama8b,494,0.8659106648199447,0.8517659279778393,0.014144736842105377,8.535872200885462e-05,1.5309849442953698,0.12577311366623597,-0.003963328089965426,0.03225280177417618,304,190,,ns
group,math500_qwen7b,499,0.9229997189770766,0.9333975671444058,-0.010397848167329249,8.746095807127019e-05,-1.111824797925003,0.2662134875418588,-0.0287275418049556,0.007931845470297103,361,138,,ns
model_family,llama8b,3170,0.7677190202935512,0.7652841644608458,0.002434855832705418,1.6638881644853395e-05,0.5969132036709884,0.5505653314079109,-0.005559991174030086,0.010429702839440922,1752,1418,,ns
model_family,qwen7b,3174,0.826323078783509,0.8316995872473345,-0.005376508463825536,1.71539393212416e-05,-1.2981306349020332,0.19424244886569755,-0.01349415291989993,0.002741135992248858,2159,1015,,ns
dataset_family,arc_challenge,2333,0.6988053984580201,0.6967824198661082,0.002022978591911917,5.1224247217756e-05,0.28265293178430206,0.7774429003921577,-0.012004702481881615,0.01605065966570545,1594,739,,ns
dataset_family,gpqa_diamond,381,0.7335056760705856,0.7289254804990445,0.004580195571541101,0.0003699589026632833,0.23812625462020698,0.8117831721005266,-0.03311837058063754,0.04227876172371974,164,217,,ns
dataset_family,gsm8k,2637,0.8185027653780286,0.8260917628232123,-0.0075889974451837094,1.3651551916757192e-05,-2.0539666801101855,0.039978916730811075,-0.014830673668737943,-0.00034732122162947545,1488,1149,,*
dataset_family,math500,993,0.8993443975793142,0.8985695947185035,0.0007748028608106639,3.751494888632472e-05,0.126499566159468,0.8993364924426819,-0.011229868367809525,0.012779474089430852,665,328,,ns
