slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7801770654775285,0.8042374291193188,-0.024060363641790317,1.6604195833842095e-05,-5.904637813111697,3.5342232698011906e-09,-0.032046873176402126,-0.016073854107178508,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6454693300220643,0.6527860613823245,-0.007316731360260231,0.0001485431426242604,-0.6003310495805468,0.5482856296843106,-0.031204434587812073,0.01657097186729161,769,399,,ns
group,arc_challenge_qwen7b,1165,0.6963565062388591,0.7338752228163994,-0.037518716577540245,0.0001950972513077928,-2.6861013706066816,0.0072291152514938305,-0.06489494818325069,-0.010142484971829808,825,340,,**
group,gpqa_diamond_llama8b,189,0.6605451605451607,0.6873411873411873,-0.026796026796026662,0.0018216641570764926,-0.6278215904553562,0.5301208207609495,-0.11044916687184103,0.05685711327978771,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.747367266344888,0.7741333918385258,-0.02676612549363777,0.0012051912464558453,-0.7710055876784798,0.4407036196012287,-0.09480796956271893,0.04127571857544339,86,106,,ns
group,gsm8k_llama8b,1319,0.7521957369101636,0.7770220477477185,-0.024826310837554932,4.479868543658363e-05,-3.7091940418753535,0.00020792004061273675,-0.037944706521702655,-0.011707915153407208,601,718,,***
group,gsm8k_qwen7b,1318,0.844631268359417,0.8491800877328359,-0.004548819373418889,4.71819884153629e-05,-0.6622326244807433,0.5078221488386191,-0.018011644692648272,0.008914005945810497,887,431,,ns
group,math500_llama8b,494,0.8429882271468143,0.8517659279778393,-0.008777700831025026,0.0002587132798785455,-0.5457219393810369,0.5852570885908598,-0.04030287190145931,0.022747470239409255,304,190,,ns
group,math500_qwen7b,499,0.8745232646834478,0.9333975671444058,-0.05887430246095804,0.00031936412038769134,-3.2944484268842045,0.0009861503901703852,-0.09390035158552412,-0.02384825333639195,361,138,,***
model_family,llama8b,3170,0.7439987988742263,0.7652841644608458,-0.02128536558661953,3.251764439035111e-05,-3.732687007863806,0.00018944794656573213,-0.03246191209578367,-0.01010881907745539,1752,1418,,***
model_family,qwen7b,3174,0.804942992673583,0.8316995872473345,-0.026756594573751458,3.8025631409657905e-05,-4.339029681905027,1.4311319458490325e-05,-0.03884269804803522,-0.014670491099467699,2159,1015,,***
dataset_family,arc_challenge,2333,0.674114533017082,0.6967824198661082,-0.02266788684902621,8.33707297586049e-05,-2.482585615152427,0.013043271997478663,-0.040563842403812854,-0.004771931294239563,1594,739,,*
dataset_family,gpqa_diamond,381,0.7038327526132405,0.7289254804990445,-0.025092727885803967,0.0007310684094820327,-0.9280446427856418,0.35338441281501376,-0.07808677651520743,0.027901320743599495,164,217,,ns
dataset_family,gsm8k,2637,0.8105733597237429,0.8260917628232123,-0.015518403099469391,1.9583619670913993e-05,-3.5067156020959707,0.00045367374307551505,-0.024191906920068743,-0.006844899278870041,1488,1149,,***
dataset_family,math500,993,0.8638501742160277,0.8985695947185035,-0.034719420502475784,0.00012886762810831396,-3.0584441215400195,0.002224895683379183,-0.05696890783811147,-0.012469933166840096,665,328,,**
