slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7864604696587018,0.8032865032421439,-0.016826033583442146,1.2415961631602956e-05,-4.775200050525656,1.7952869619922654e-06,-0.02373221960230386,-0.009919847564580433,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6315414674527672,0.6430152103275093,-0.011473742874742121,0.00018145372428380165,-0.8517696668794638,0.3943419450809051,-0.03787539073425668,0.014927904984772436,769,399,,ns
group,arc_challenge_qwen7b,1165,0.6870802139037433,0.7286524064171123,-0.041572192513368966,0.00018721919053908968,-3.038279673554982,0.0023793302259460815,-0.06839000023323302,-0.01475438479350491,825,340,,**
group,gpqa_diamond_llama8b,189,0.7371217371217371,0.7105567105567105,0.026565026565026573,0.0009306687754366202,0.8707884959234417,0.38386964777685084,-0.03322732893754252,0.08635738206759566,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7388108819657744,0.7569109258446688,-0.018100043878894412,0.00035291586044821537,-0.9634829627913535,0.3353052100487869,-0.05492003498537967,0.01871994722759085,86,106,,ns
group,gsm8k_llama8b,1319,0.7397698357890052,0.7599173151525546,-0.020147479363549325,6.495669447568195e-05,-2.499820132873667,0.012425637599506318,-0.035943949442549306,-0.004351009284549342,601,718,,*
group,gsm8k_qwen7b,1318,0.8326981378352432,0.845361067442329,-0.012662929607085815,4.935182492643827e-05,-1.802530343728045,0.07146200507607335,-0.0264318439862596,0.0011059847720879656,887,431,,ns
group,math500_llama8b,494,0.8636599722991689,0.8618247922437674,0.0018351800554015085,0.00010020332711964408,0.18333171863357015,0.8545377482676975,-0.01778437536327849,0.021454735474081506,304,190,,ns
group,math500_qwen7b,499,0.932413986912361,0.933497932474206,-0.00108394556184499,5.472119771032972e-05,-0.14653105426669416,0.8835021767255875,-0.01558253954965268,0.0134146484259627,361,138,,ns
model_family,llama8b,3170,0.7489576691719639,0.7621875623909166,-0.013229893218952626,2.8536913818849095e-05,-2.4765827126725064,0.01326468858582344,-0.0237000116187037,-0.002759774819201555,1752,1418,,*
model_family,qwen7b,3174,0.8112864695158541,0.8300275852942318,-0.01874111577837767,2.5285586238160432e-05,-3.7269960297647797,0.0001937755097288882,-0.028596750628097065,-0.008885480928658278,2159,1015,,***
dataset_family,arc_challenge,2333,0.6620203808938459,0.6912567934897951,-0.029236412595949224,8.984327655945208e-05,-3.084475259450645,0.002039115688967901,-0.04781406710935239,-0.010658758082546058,1594,739,,**
dataset_family,gpqa_diamond,381,0.7358660222546927,0.733618073507924,0.002247948746768702,0.000290813148186163,0.131819416883365,0.895127128119212,-0.031175796304819453,0.03567169379835686,164,217,,ns
dataset_family,gsm8k,2637,0.8021081913211114,0.8181705456825477,-0.016062354361436215,2.359111769443342e-05,-3.307005706130373,0.0009429897113090315,-0.025582034353815924,-0.006542674369056508,1488,1149,,***
dataset_family,math500,993,0.9031267192371173,0.9042362002567393,-0.0011094810196220495,3.751401885452762e-05,-0.18114363597187777,0.8562548345499326,-0.013114003443625882,0.010895041404381783,665,328,,ns
