slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.8113237369532098,0.7854773855985779,0.02584635135463187,1.1066921197240761e-05,7.769370549978593,7.887710681081349e-15,0.01932614261172591,0.03236656009753783,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6823365305330948,0.6429891373427066,0.03934739319038827,9.533359666995315e-05,4.029887998790282,5.5803435279660556e-05,0.020210515549657856,0.05848427083111868,769,399,,***
group,arc_challenge_qwen7b,1165,0.7397754010695188,0.7159019607843138,0.023873440285204994,0.00011662746083059564,2.2106225577682994,0.027061985326786945,0.0027069670753655656,0.04503991349504442,825,340,,*
group,gpqa_diamond_llama8b,189,0.7136752136752136,0.7019519519519519,0.011723261723261658,0.0012708585127157537,0.3288515245616451,0.742267915988607,-0.05814769535853413,0.08159421880505745,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7881746379991224,0.7944273804300129,-0.006252742430890579,0.0005913459408397545,-0.25712821157211363,0.7970797998356551,-0.053914373545661934,0.041408888683880776,86,106,,ns
group,gsm8k_llama8b,1319,0.7725656867152703,0.7532258214025834,0.019339865312686833,5.038340311913343e-05,2.7246435629986845,0.006437093827246268,0.005427792558112012,0.03325193806726165,601,718,,**
group,gsm8k_qwen7b,1318,0.8544116223773665,0.8363628278537367,0.01804879452362973,4.288181021366757e-05,2.756205820708103,0.00584761877928482,0.005214126312389334,0.030883462734870124,887,431,,**
group,math500_llama8b,494,0.8656336565096953,0.8430574792243767,0.022576177285318577,0.00012274569026337928,2.0377330089359535,0.04157664115907573,0.0008616081078182472,0.04429074646281891,304,190,,*
group,math500_qwen7b,499,0.9279979124011403,0.9200489782809427,0.007948934120197593,9.446505658300704e-05,0.8178493316284561,0.4134432253108191,-0.011100570462813535,0.02699843870320872,361,138,,ns
model_family,llama8b,3170,0.7754711923024906,0.7438671741664575,0.031604018136033085,2.4703786303549328e-05,6.358585881471347,2.0361953233239863e-10,0.021862428029674048,0.041345608242392126,1752,1418,,***
model_family,qwen7b,3174,0.8365180011727743,0.8211749646912798,0.015343036481494488,2.0153237415599023e-05,3.4177391015721743,0.000631436039341059,0.00654429613780348,0.024141776825185493,2159,1015,,***
dataset_family,arc_challenge,2333,0.7132845939526268,0.6811958070097099,0.032088786942916836,5.199454078521902e-05,4.450147708753083,8.581124953807563e-06,0.01795602757585337,0.0462215463099803,1594,739,,***
dataset_family,gpqa_diamond,381,0.7539901090255143,0.750323142632348,0.0036669663931663266,0.00042155206629281505,0.17859994408284502,0.8582518383980818,-0.0365744911281806,0.04390842391451325,164,217,,ns
dataset_family,gsm8k,2637,0.8259531429854852,0.79636716593204,0.029585977053445123,2.404301929911763e-05,6.0338069866000055,1.6014132741827956e-09,0.019975552059579633,0.03919640204731061,1488,1149,,***
dataset_family,math500,993,0.9013570511644966,0.8863973959288466,0.014959655235650016,4.887275776122446e-05,2.1398738023126667,0.032364966801284104,0.0012577325094957417,0.02866157796180429,665,328,,*
