slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.8113237369532098,0.7968637469348575,0.014459990018352298,7.951759754357387e-06,5.12786246046389,2.9305040316533117e-07,0.008933114079051983,0.019986865957652613,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6823365305330948,0.6731588398825411,0.009177690650553738,7.725975479482716e-05,1.0441352366904955,0.2964228252236847,-0.008049908327285686,0.026405289628393162,769,399,,ns
group,arc_challenge_qwen7b,1165,0.7397754010695188,0.7344313725490196,0.0053440285204992,0.00010861127386478138,0.5127802780937255,0.6081050269224905,-0.015082075758454477,0.025770132799452877,825,340,,ns
group,gpqa_diamond_llama8b,189,0.7136752136752136,0.6889581889581889,0.024717024717024638,0.0008717047871587024,0.8371657965042405,0.4024993803221789,-0.033150220281092324,0.0825842697151416,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7881746379991224,0.7806055287406758,0.00756910925844656,0.0003829627878734936,0.386782206134136,0.6989174514017402,-0.030786278622192124,0.045924497139085245,86,106,,ns
group,gsm8k_llama8b,1319,0.7725656867152703,0.7516140694015081,0.02095161731376216,3.213600549074804e-05,3.695911867706874,0.00021909897332699394,0.00984085038459346,0.03206238424293086,601,718,,***
group,gsm8k_qwen7b,1318,0.8544116223773665,0.8483456579570334,0.006065964420333025,2.8572516380040083e-05,1.134816426164055,0.25645224232835856,-0.004410683186489128,0.01654261202715518,887,431,,ns
group,math500_llama8b,494,0.8656336565096953,0.8583708448753463,0.007262811634348942,8.689204734331767e-05,0.7791386805050907,0.43589802676853506,-0.011007169802838102,0.025532793071535987,304,190,,ns
group,math500_qwen7b,499,0.9279979124011403,0.9292424424906662,-0.0012445300895259637,8.128378356527685e-05,-0.13803952169655534,0.890209182720495,-0.018915079242176114,0.016426019063124186,361,138,,ns
model_family,llama8b,3170,0.7754711923024906,0.7553746755672341,0.020096516735256476,1.671166110368606e-05,4.915989867526743,8.833496651646953e-07,0.012084203838520245,0.028108829631992707,1752,1418,,***
model_family,qwen7b,3174,0.8365180011727743,0.83072166689103,0.005796334281744309,1.611762385439415e-05,1.4437862974089477,0.14879909760462293,-0.0020722862024379375,0.013664954765926555,2159,1015,,ns
dataset_family,arc_challenge,2333,0.7132845939526268,0.706185068159862,0.007099525792764738,4.523542740349004e-05,1.0555771786446204,0.29116143181002896,-0.006082660353963943,0.02028171193949342,1594,739,,ns
dataset_family,gpqa_diamond,381,0.7539901090255143,0.735837922895358,0.018152186130156345,0.0002833942953205141,1.0782845541968928,0.28090678789123014,-0.014842472763267368,0.05114684502358006,164,217,,ns
dataset_family,gsm8k,2637,0.8259531429854852,0.8034821069279505,0.022471036057534644,1.543310982412103e-05,5.7200045370009205,1.0652120877381539e-08,0.014771318149415485,0.0301707539656538,1488,1149,,***
dataset_family,math500,993,0.9013570511644966,0.8984572712268476,0.002899779937649005,4.060308581464263e-05,0.45507766424024193,0.6490533662749058,-0.009589218506984553,0.015388778382282564,665,328,,ns
