slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.8113237369532098,0.8042374291193188,0.00708630783389097,6.655859550272311e-06,2.7467424530693396,0.006019037939773004,0.0020298060412783344,0.012142809626503607,3911,2433,,**
group,arc_challenge_llama8b,1168,0.6823365305330948,0.6527860613823245,0.02955046915077031,8.064091118518003e-05,3.2906876937597,0.0009994280303107744,0.01194993678435817,0.04715100151718245,769,399,,***
group,arc_challenge_qwen7b,1165,0.7397754010695188,0.7338752228163994,0.0059001782531193925,7.828798015852489e-05,0.6668337745431174,0.5048783164855094,-0.011441680122910903,0.023242036629149688,825,340,,ns
group,gpqa_diamond_llama8b,189,0.7136752136752136,0.6873411873411873,0.02633402633402626,0.001166661561671958,0.7709830334129784,0.44071698830905853,-0.04061134204086227,0.09327939470891479,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7881746379991224,0.7741333918385258,0.014041246160596543,0.0005762872058746231,0.5849061182038385,0.5586108444924244,-0.03300961536456835,0.06109210768576143,86,106,,ns
group,gsm8k_llama8b,1319,0.7725656867152703,0.7770220477477185,-0.004456361032448286,2.652530058784252e-05,-0.8652671400047284,0.3868921820881512,-0.014550708456364837,0.005637986391468265,601,718,,ns
group,gsm8k_qwen7b,1318,0.8544116223773665,0.8491800877328359,0.005231534644530522,2.6664960884790803e-05,1.013114731050881,0.31100536276252844,-0.004889352134519201,0.015352421423580245,887,431,,ns
group,math500_llama8b,494,0.8656336565096953,0.8517659279778393,0.013867728531855916,8.780804110301578e-05,1.479919822173775,0.13889464504143995,-0.004498299183005355,0.03223375624671719,304,190,,ns
group,math500_qwen7b,499,0.9279979124011403,0.9333975671444058,-0.005399654743265536,5.8710173948066846e-05,-0.704708172657303,0.48099186429027085,-0.02041740143101093,0.00961809194447986,361,138,,ns
model_family,llama8b,3170,0.7754711923024906,0.7652841644608458,0.010187027841644825,1.4178206274127376e-05,2.7054334034561967,0.0068215324665455365,0.002806987492610993,0.017567068190678655,1752,1418,,**
model_family,qwen7b,3174,0.8365180011727743,0.8316995872473345,0.004818413925439802,1.3110523447387033e-05,1.330742690968171,0.18327369074129385,-0.0022783132033768385,0.011915141054256442,2159,1015,,ns
dataset_family,arc_challenge,2333,0.7132845939526268,0.6967824198661082,0.01650217408651855,3.9935867547627544e-05,2.6113170397284686,0.009019423498027953,0.004116214670594967,0.028888133502442133,1594,739,,**
dataset_family,gpqa_diamond,381,0.7539901090255143,0.7289254804990445,0.025064628526469845,0.000401322332322581,1.251165062672511,0.21087426191961328,-0.014199390797105749,0.06432864785004544,164,217,,ns
dataset_family,gsm8k,2637,0.8259531429854852,0.8260917628232123,-0.0001386198377271164,1.1676979471227853e-05,-0.04056580771767219,0.9676420431956069,-0.006836129508404155,0.006558889832949923,1488,1149,,ns
dataset_family,math500,993,0.9013570511644966,0.8985695947185035,0.0027874564459930973,3.347174174642275e-05,0.4818023725137051,0.6299463438345609,-0.008551869705758226,0.01412678259774442,665,328,,ns
