slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.8113237369532098,0.8032865032421439,0.008037233711065905,8.204376348066295e-06,2.8059750830424197,0.005016457125728128,0.0024232534928451885,0.013651213929286622,3911,2433,,**
group,arc_challenge_llama8b,1168,0.6823365305330948,0.6430152103275093,0.03932132020558554,0.0001041269635727148,3.8534212558216434,0.00011647873522022629,0.019321334138377864,0.05932130627279322,769,399,,***
group,arc_challenge_qwen7b,1165,0.7397754010695188,0.7286524064171123,0.011122994652406515,0.00010663843296021872,1.0771218878861455,0.2814258158386786,-0.009116747167093833,0.03136273647190686,825,340,,ns
group,gpqa_diamond_llama8b,189,0.7136752136752136,0.7105567105567105,0.0031185031185030354,0.0009436421078832722,0.1015178769276301,0.9191393671335295,-0.05708915668410508,0.06332616292111115,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7881746379991224,0.7569109258446688,0.03126371215445356,0.0005189982650194952,1.3723269446565507,0.16996168125613395,-0.013387272863618405,0.07591469717252552,86,106,,ns
group,gsm8k_llama8b,1319,0.7725656867152703,0.7599173151525546,0.012648371562715699,3.824672201861357e-05,2.045208106315702,0.040834345646426184,0.0005271831861150232,0.024769559939316375,601,718,,*
group,gsm8k_qwen7b,1318,0.8544116223773665,0.845361067442329,0.00905055493503748,3.2848784820746106e-05,1.5791215294161107,0.114308184327719,-0.002182755093566663,0.020283864963641624,887,431,,ns
group,math500_llama8b,494,0.8656336565096953,0.8618247922437674,0.003808864265927858,8.761169649034546e-05,0.406925074128771,0.684063019303134,-0.014536618128351504,0.02215434666020722,304,190,,ns
group,math500_qwen7b,499,0.9279979124011403,0.933497932474206,-0.0055000200730657145,6.17710103781211e-05,-0.6997967512498436,0.4840542439185356,-0.02090426600333512,0.009904225857203694,361,138,,ns
model_family,llama8b,3170,0.7754711923024906,0.7621875623909166,0.013283629911574057,1.878850112791355e-05,3.064578143241779,0.0021797722161143703,0.004788027909040921,0.021779231914107196,1752,1418,,**
model_family,qwen7b,3174,0.8365180011727743,0.8300275852942318,0.006490415878542488,1.5968978392836475e-05,1.6241792539030442,0.10433755721910842,-0.001341836218053713,0.01432266797513869,2159,1015,,ns
dataset_family,arc_challenge,2333,0.7132845939526268,0.6912567934897951,0.022027800462831704,5.1714691911789975e-05,3.0631210719775415,0.0021904141890913345,0.007933125603012313,0.036122475322651094,1594,739,,**
dataset_family,gpqa_diamond,381,0.7539901090255143,0.733618073507924,0.02037203551759037,0.00033654256612975853,1.1104894161436656,0.26678818636343876,-0.015583692943924587,0.05632776397910533,164,217,,ns
dataset_family,gsm8k,2637,0.8259531429854852,0.8181705456825477,0.007782597302937511,1.520745149788791e-05,1.9957049715421877,0.04596604562429435,0.0001393781711292643,0.015425816434745757,1488,1149,,*
dataset_family,math500,993,0.9013570511644966,0.9042362002567393,-0.0028791490922427387,3.3658088977786465e-05,-0.4962716056841496,0.6197027966254015,-0.01424999614914336,0.008491697964657883,665,328,,ns
