slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7954588231807532,0.7968637469348575,-0.0014049237541042814,1.2753317160746767e-05,-0.39340617767976566,0.6940195076257114,-0.008404305348235325,0.005594457840026762,3911,2433,,ns
group,arc_challenge_llama8b,1168,0.6461863371041388,0.6731588398825411,-0.026972502778402352,0.00014998617498281975,-2.202397126028628,0.027637268720260347,-0.050975954923248634,-0.002969050633556073,769,399,,*
group,arc_challenge_qwen7b,1165,0.7045062388591801,0.7344313725490196,-0.02992513368983951,0.00015557539856498546,-2.399195499849971,0.01643113945974033,-0.05437173850728742,-0.005478528872391596,825,340,,*
group,gpqa_diamond_llama8b,189,0.7076692076692076,0.6889581889581889,0.018711018711018657,0.001172931214511255,0.5463376887089203,0.584833833815811,-0.04841399123350003,0.08583602865553734,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7812637121544537,0.7806055287406758,0.0006581834137778797,0.0004905745298022346,0.029716279584624087,0.9762933284243889,-0.04275289644743574,0.0440692632749915,86,106,,ns
group,gsm8k_llama8b,1319,0.7569626296006192,0.7516140694015081,0.005348560199111119,7.63863928227551e-05,0.6119682450916193,0.5405587674612016,-0.011781389669174514,0.02247851006739675,601,718,,ns
group,gsm8k_qwen7b,1318,0.8384162052017149,0.8483456579570334,-0.009929452755318535,3.562919012974229e-05,-1.663498211983909,0.09621274846862521,-0.021628515397175217,0.001769609886538145,887,431,,ns
group,math500_llama8b,494,0.8655470914127423,0.8583708448753463,0.007176246537396014,7.45486816690114e-05,0.8311460906029494,0.40589110492190567,-0.009746391872986166,0.024098884947778194,304,190,,ns
group,math500_qwen7b,499,0.9303866072503915,0.9292424424906662,0.0011441647597252302,5.9124748945523436e-05,0.14880033622741823,0.8817111853220022,-0.013926511680239458,0.016214841199689918,361,138,,ns
model_family,llama8b,3170,0.7593079197016828,0.7553746755672341,0.003933244134448621,3.269367875048573e-05,0.6878900192605606,0.49152204221268236,-0.007273513675774347,0.01514000194467159,1752,1418,,ns
model_family,qwen7b,3174,0.8195985643782356,0.83072166689103,-0.011123102512794358,1.990455866870361e-05,-2.4931572039468395,0.012661277533395772,-0.01986738878840972,-0.002378816237178996,2159,1015,,*
dataset_family,arc_challenge,2333,0.6779618427017419,0.706185068159862,-0.02822322545812017,7.546520492723562e-05,-3.24887698227397,0.0011586157244783445,-0.045249572016416786,-0.011196878899823556,1594,739,,**
dataset_family,gpqa_diamond,381,0.7448016185230978,0.735837922895358,0.008963695627739798,0.0003814110582265744,0.45897651176363463,0.6462510333175081,-0.029313907143786462,0.04724129839926606,164,217,,ns
dataset_family,gsm8k,2637,0.8126093751462236,0.8034821069279505,0.009127268218273032,2.835888060963338e-05,1.7139425908748531,0.08653926993200295,-0.0013101391256456537,0.01956467556219172,1488,1149,,ns
dataset_family,math500,993,0.9026865945351182,0.8984572712268476,0.004229323308270638,2.99915571697901e-05,0.7722739369162195,0.4399521985265093,-0.00650433086150036,0.014962977478041636,665,328,,ns
