slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7887838458307284,0.7968637469348575,-0.00807990110412915,1.5989942440367532e-05,-2.0206104511811884,0.04332010620041761,-0.015917292598111137,-0.00024250961014716382,3911,2433,,*
group,arc_challenge_llama8b,1168,0.6580234722045687,0.6731588398825411,-0.015135367677972411,0.00012896234788161917,-1.3327893383605367,0.1826009454849204,-0.037393030376631275,0.007122295020686457,769,399,,ns
group,arc_challenge_qwen7b,1165,0.7229376114081996,0.7344313725490196,-0.011493761140820014,0.00017653609488407556,-0.8650583645440612,0.3870067553748213,-0.03753519233926468,0.01454767005762465,825,340,,ns
group,gpqa_diamond_llama8b,189,0.6636636636636637,0.6889581889581889,-0.02529452529452525,0.0016487597568678647,-0.6229423316316073,0.5333224188011046,-0.10487871160829967,0.054289661019249175,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7380430013163669,0.7806055287406758,-0.04256252742430888,0.0010401309531647134,-1.3197248631745166,0.1869268957243218,-0.10577344598045371,0.020648391131835947,86,106,,ns
group,gsm8k_llama8b,1319,0.7698230433029445,0.7516140694015081,0.018208973901436387,3.734905353412716e-05,2.9795156646507976,0.002887044679581438,0.006230875089719652,0.030187072713153122,601,718,,**
group,gsm8k_qwen7b,1318,0.8475661592949985,0.8483456579570334,-0.000779498662034972,4.5037761647656155e-05,-0.11615207562318956,0.9075320176951447,-0.013932852103104984,0.01237385477903504,887,431,,ns
group,math500_llama8b,494,0.8555228531855955,0.8583708448753463,-0.002847991689750806,0.00019881350744695587,-0.20198344451456102,0.8399296668017296,-0.030483727646212065,0.024787744266710453,304,190,,ns
group,math500_qwen7b,499,0.880103577020354,0.9292424424906662,-0.04913886547031221,0.0003457279987814656,-2.642760755630828,0.008223311816434823,-0.08558197003729427,-0.012695760903330147,361,138,,**
model_family,llama8b,3170,0.756800006118335,0.7553746755672341,0.001425330551100834,2.990763658097764e-05,0.26063008563000545,0.7943777863401706,-0.009293295963061828,0.012143957065263496,1752,1418,,ns
model_family,qwen7b,3174,0.8119057125972844,0.83072166689103,-0.018815954293745607,3.8478886591393874e-05,-3.0332974565536213,0.002418970328278417,-0.030973875921515664,-0.00665803266597555,2159,1015,,**
dataset_family,arc_challenge,2333,0.6929919878842004,0.706185068159862,-0.013193080275661684,7.335054653769332e-05,-1.5404390801564598,0.12345336158813436,-0.02997917880986423,0.0035930182585408622,1594,739,,ns
dataset_family,gpqa_diamond,381,0.7028773743958637,0.735837922895358,-0.03296054849949426,0.0006427556593450122,-1.3000841859200691,0.19357211710490813,-0.08265078292379503,0.016729685924806517,164,217,,ns
dataset_family,gsm8k,2637,0.8164535898443716,0.8034821069279505,0.012971482916421029,1.8449867818382597e-05,3.019903034416799,0.0025285562336668206,0.004552788987338768,0.02139017684550329,1488,1149,,**
dataset_family,math500,993,0.8721987896570695,0.8984572712268476,-0.026258481569778058,0.00012286432401030408,-2.3689544545834655,0.017838450016945465,-0.0479835417818466,-0.0045334213577095175,665,328,,*
