slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7887838458307284,0.8042374291193188,-0.015453583288590478,1.5187481077530238e-05,-3.965393791006738,7.327487439803436e-05,-0.02309178223529275,-0.007815384341888209,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6580234722045687,0.6527860613823245,0.0052374108222441595,0.0001342020819190007,0.4521026104419304,0.651195063199858,-0.017467913913228373,0.027942735557716692,769,399,,ns
group,arc_challenge_qwen7b,1165,0.7229376114081996,0.7338752228163994,-0.010937611408199821,0.00014893599337462854,-0.896236560921872,0.37012643286393443,-0.03485688157824909,0.012981658761849445,825,340,,ns
group,gpqa_diamond_llama8b,189,0.6636636636636637,0.6873411873411873,-0.023677523677523626,0.0015559143071270588,-0.6002655818871397,0.5483292527658701,-0.10098845912237145,0.053633411767324196,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7380430013163669,0.7741333918385258,-0.0360903905221589,0.0012281877660078383,-1.029814963396415,0.3030968751294353,-0.10477832779792387,0.03259754675360607,86,106,,ns
group,gsm8k_llama8b,1319,0.7698230433029445,0.7770220477477185,-0.00719900444477406,3.15189262006356e-05,-1.28229141609992,0.19974043801916266,-0.01820257918538626,0.003804570295838139,601,718,,ns
group,gsm8k_qwen7b,1318,0.8475661592949985,0.8491800877328359,-0.0016139284378374752,3.9024134153686896e-05,-0.25835545515089503,0.7961325914632886,-0.013857686209233944,0.010629829333558993,887,431,,ns
group,math500_llama8b,494,0.8555228531855955,0.8517659279778393,0.0037569252077561677,0.00022806581580370395,0.24877254656435968,0.8035367282700816,-0.025842153153198592,0.03335600356871093,304,190,,ns
group,math500_qwen7b,499,0.880103577020354,0.9333975671444058,-0.05329399012405178,0.0003001805502724507,-3.0760044712480723,0.0020979469904432646,-0.08725177601543349,-0.01933620423267008,361,138,,**
model_family,llama8b,3170,0.756800006118335,0.7652841644608458,-0.008484158342510817,2.850946600410082e-05,-1.5889646075238137,0.1120683833864987,-0.01894924026549319,0.0019809235804715553,1752,1418,,ns
model_family,qwen7b,3174,0.8119057125972844,0.8316995872473345,-0.019793874650050114,3.439026304757744e-05,-3.3753053423673425,0.0007373383295971488,-0.031287732980920024,-0.008300016319180205,2159,1015,,***
dataset_family,arc_challenge,2333,0.6929919878842004,0.6967824198661082,-0.0037904319819078713,6.944806645753303e-05,-0.45483997644190133,0.6492243678764567,-0.020123891121766827,0.012543027157951084,1594,739,,ns
dataset_family,gpqa_diamond,381,0.7028773743958637,0.7289254804990445,-0.026048106103180757,0.0006725085153503216,-1.0044475374370634,0.31516294645871756,-0.07687539964006312,0.024779187433701604,164,217,,ns
dataset_family,gsm8k,2637,0.8164535898443716,0.8260917628232123,-0.009638172978840731,1.8162508020220827e-05,-2.2615531921666947,0.023725022757148766,-0.017991048330490908,-0.0012852976271905524,1488,1149,,*
dataset_family,math500,993,0.8721987896570695,0.8985695947185035,-0.026370805061433966,0.00011695448712358983,-2.43845611492466,0.01475014955280523,-0.04756693315551454,-0.005174676967353398,665,328,,*
