slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7960647842359325,0.8042374291193188,-0.008172644883386315,1.16815949822518e-05,-2.39117607196235,0.01679449660745729,-0.01487147807166227,-0.0014738116951103592,3911,2433,,*
group,arc_challenge_llama8b,1168,0.6456746547773856,0.6527860613823245,-0.007111406604938919,0.00016723946871456896,-0.5499030407346688,0.5823858785183122,-0.03245787642347144,0.018235063213593604,769,399,,ns
group,arc_challenge_qwen7b,1165,0.7185169340463458,0.7338752228163994,-0.01535828877005363,0.0001496207598346237,-1.2555872618738388,0.209265652100324,-0.03933248297185471,0.00861590543174745,825,340,,ns
group,gpqa_diamond_llama8b,189,0.6912681912681912,0.6873411873411873,0.003927003927003847,0.0011600064268116933,0.11530048600015072,0.908206953160351,-0.06282714890514327,0.07068115675915096,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7641509433962266,0.7741333918385258,-0.00998244844229923,0.000382654865524716,-0.5103092680447069,0.6098348107160356,-0.04832241334123263,0.028357516456634167,86,106,,ns
group,gsm8k_llama8b,1319,0.7615696216612052,0.7770220477477185,-0.015452426086513316,4.561064374754398e-05,-2.2880397963357,0.022135203672450116,-0.028689170767194447,-0.002215681405832186,601,718,,*
group,gsm8k_qwen7b,1318,0.8415760521270111,0.8491800877328359,-0.007604035605824788,4.030462791135247e-05,-1.1977513904830144,0.2310138162117223,-0.020047048440538878,0.004838977228889301,887,431,,ns
group,math500_llama8b,494,0.8698753462603878,0.8517659279778393,0.018109418282548417,9.57380682665692e-05,1.8508114167757908,0.0641966880417019,-0.0010680123800515286,0.03728684894514836,304,190,,ns
group,math500_qwen7b,499,0.9341201975189691,0.9333975671444058,0.0007226303745633267,5.4801879201288697e-05,0.09761543342281238,0.9222376689378358,-0.013786648113645671,0.015231908862772325,361,138,,ns
model_family,llama8b,3170,0.761399424232471,0.7652841644608458,-0.0038847402283748167,2.4793955655658047e-05,-0.7801696884603071,0.4352910014468538,-0.013644092648147688,0.005874612191398055,1752,1418,,ns
model_family,qwen7b,3174,0.8221531132137895,0.8316995872473345,-0.009546474033545027,2.2617452931223333e-05,-2.007340966955417,0.04471336988578343,-0.01886763351422564,-0.00022531455286441474,2159,1015,,*
dataset_family,arc_challenge,2333,0.6847897137947954,0.6967824198661082,-0.011992706071312864,7.833603044208099e-05,-1.3549909963724958,0.17542042564530497,-0.02933988552850116,0.005354473385875431,1594,739,,ns
dataset_family,gpqa_diamond,381,0.7303866471844441,0.7289254804990445,0.0014611666853996397,0.00034079179242219775,0.07915077988110714,0.936912693666702,-0.03472084040404211,0.03764317377484139,164,217,,ns
dataset_family,gsm8k,2637,0.8091356906894261,0.8260917628232123,-0.016956072133786138,2.172075839566104e-05,-3.638209998217847,0.0002745395342946566,-0.026090589030216847,-0.00782155523735543,1488,1149,,***
dataset_family,math500,993,0.9055382358334862,0.8985695947185035,0.006968641114982743,3.664518628296907e-05,1.1511704476763671,0.24966212042455527,-0.0048960533219882686,0.018833335551953753,665,328,,ns
