slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7541111767236128,0.7854773855985779,-0.03136620887496511,3.5693822830082206e-05,-5.25007488886469,1.520373871829762e-07,-0.04307587798023502,-0.019656539769695197,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6219873480841245,0.6429891373427066,-0.021001789258582093,0.0003115207868183822,-1.1899063460206398,0.23408320395092508,-0.055595058464499136,0.01359147994733495,769,399,,ns
group,arc_challenge_qwen7b,1165,0.6980641711229948,0.7159019607843138,-0.017837789661318992,0.0002969006058664703,-1.0352267764140408,0.30056301669284957,-0.051609544890729005,0.01593396556809102,825,340,,ns
group,gpqa_diamond_llama8b,189,0.630977130977131,0.7019519519519519,-0.07097482097482088,0.001978024136721294,-1.5958369348124326,0.11052520469977838,-0.15814418639383665,0.016194544444194867,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.6887889425186485,0.7944273804300129,-0.1056384379113644,0.0015828635891477407,-2.6552182601097463,0.007925710913135589,-0.18361603274787594,-0.027660843074852864,86,106,,**
group,gsm8k_llama8b,1319,0.7481843167608303,0.7532258214025834,-0.005041504641753125,0.0001320927012998912,-0.43865265323915703,0.6609132388602088,-0.027567682137231167,0.017484672853724917,601,718,,ns
group,gsm8k_qwen7b,1318,0.8029751737523445,0.8363628278537367,-0.03338765410139222,0.00010956381315153316,-3.18971834551564,0.0014241151396026173,-0.0539031330492462,-0.01287217515353823,887,431,,**
group,math500_llama8b,494,0.8090547091412743,0.8430574792243767,-0.034002770083102374,0.0005160945016578248,-1.4967514335521581,0.13445794765234095,-0.07852867013807252,0.010523129971867766,304,190,,ns
group,math500_qwen7b,499,0.8149062587819664,0.9200489782809427,-0.10514271949897624,0.000563685034647266,-4.428543891710227,9.48714136986815e-06,-0.1516762863990003,-0.05860915259895219,361,138,,***
model_family,llama8b,3170,0.7306326519440204,0.7438671741664575,-0.01323452222243715,7.541303698168665e-05,-1.5240002987719303,0.12750863655739217,-0.03025498273643713,0.0037859382915628285,1752,1418,,ns
model_family,qwen7b,3174,0.7663829039625626,0.8211749646912798,-0.05479206072871723,7.183203856636856e-05,-6.464851280615754,1.0139848314059214e-10,-0.07140349709524547,-0.038180624362188983,2159,1015,,***
dataset_family,arc_challenge,2333,0.6620700427686368,0.6811958070097099,-0.01912576424107315,0.00014965975483149504,-1.563386233052839,0.11796177630079388,-0.04310308238344193,0.0048515539012956264,1594,739,,ns
dataset_family,gpqa_diamond,381,0.6616275148926606,0.750323142632348,-0.08869562773968742,0.0008668125906040875,-3.0125870599091362,0.002590311245724143,-0.146400262493447,-0.030990992985927848,164,217,,**
dataset_family,gsm8k,2637,0.7902535631732128,0.79636716593204,-0.006113602758827219,5.891166033425908e-05,-0.7965198162976068,0.4257299622568841,-0.02115709694178803,0.008929891424133593,1488,1149,,ns
dataset_family,math500,993,0.8139143590684027,0.8863973959288466,-0.07248303686044388,0.0002557932508489192,-4.532020234626223,5.842225205965541e-06,-0.10382979490250632,-0.04113627881838145,665,328,,***
