slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7541111767236128,0.8032865032421439,-0.04917532651853107,2.6257077753798506e-05,-9.596747255218,8.250712496341317e-22,-0.05921850743609801,-0.03913214560096413,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6219873480841245,0.6430152103275093,-0.02102786224338482,0.0002772271314333331,-1.2629241197599017,0.20661645083912528,-0.05366153518070995,0.011605810693940309,769,399,,ns
group,arc_challenge_qwen7b,1165,0.6980641711229948,0.7286524064171123,-0.030588235294117472,0.0002110532917415292,-2.1055150846110116,0.03524649564777283,-0.05906195175679631,-0.0021145188314386325,825,340,,*
group,gpqa_diamond_llama8b,189,0.630977130977131,0.7105567105567105,-0.0795795795795795,0.0016959874201731445,-1.9323701809964957,0.053313831791090116,-0.160295537326548,0.0011363781673889711,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.6887889425186485,0.7569109258446688,-0.06812198332602026,0.001538000173926106,-1.737037088325486,0.08238062460804409,-0.14498656772194046,0.008742601069899936,86,106,,ns
group,gsm8k_llama8b,1319,0.7481843167608303,0.7599173151525546,-0.011732998391724259,9.220464326869065e-05,-1.2218914198057464,0.22174869058337693,-0.030553209341484276,0.007087212558035759,601,718,,ns
group,gsm8k_qwen7b,1318,0.8029751737523445,0.845361067442329,-0.042385893689984466,8.707761066192608e-05,-4.542219240480746,5.566510520236119e-06,-0.06067537305825038,-0.024096414321718548,887,431,,***
group,math500_llama8b,494,0.8090547091412743,0.8618247922437674,-0.05277008310249309,0.0004464737989293544,-2.497409671775437,0.012510433316712442,-0.09418397827194055,-0.01135618793304563,304,190,,*
group,math500_qwen7b,499,0.8149062587819664,0.933497932474206,-0.11859167369223955,0.0005002956374244264,-5.302013636804027,1.1453228363175798e-07,-0.1624307554497177,-0.07475259193476141,361,138,,***
model_family,llama8b,3170,0.7306326519440204,0.7621875623909166,-0.03155491044689618,5.3725587115867796e-05,-4.305031830569694,1.6696172739610492e-05,-0.04592100353176866,-0.017188817362023698,1752,1418,,***
model_family,qwen7b,3174,0.7663829039625626,0.8300275852942318,-0.06364468133166923,5.7853496843615e-05,-8.36753059972691,5.883824689011104e-17,-0.07855245868974325,-0.0487369039735952,2159,1015,,***
dataset_family,arc_challenge,2333,0.6620700427686368,0.6912567934897951,-0.029186750721158283,0.00011907402154303121,-2.674713305589269,0.007479317972910869,-0.05057408226045976,-0.007799419181856809,1594,739,,**
dataset_family,gpqa_diamond,381,0.6616275148926606,0.733618073507924,-0.07199055861526338,0.000792977845592509,-2.5564954050661304,0.010573246749416293,-0.12718287456201785,-0.016798242668508906,164,217,,*
dataset_family,gsm8k,2637,0.7902535631732128,0.8181705456825477,-0.02791698250933483,3.761239408163704e-05,-4.552007674500631,5.313639680193887e-06,-0.039937234711860704,-0.015896730306808958,1488,1149,,***
dataset_family,math500,993,0.8139143590684027,0.9042362002567393,-0.09032184118833664,0.0002222861062671543,-6.058102578856814,1.3773655537139214e-09,-0.11954345859117235,-0.061100223785500916,665,328,,***
