slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7605366128794783,0.7968637469348575,-0.03632713405537924,2.9614838578944807e-05,-6.675387046791157,2.46580519452105e-11,-0.046993163442293574,-0.025661104668464906,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6388207188973735,0.6731588398825411,-0.03433812098516764,0.0002415857681817967,-2.2092295992105457,0.027158675091215504,-0.06480189915098498,-0.0038743428193503023,769,399,,*
group,arc_challenge_qwen7b,1165,0.7018039215686275,0.7344313725490196,-0.0326274509803921,0.0002579149865108629,-2.03163112074445,0.042191013712035944,-0.0641039469721851,-0.001150954988599108,825,340,,*
group,gpqa_diamond_llama8b,189,0.673943173943174,0.6889581889581889,-0.015015015015014899,0.0011990040749569498,-0.4336261266903051,0.6645599591384456,-0.0828819788471444,0.05285194881711461,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7664545853444493,0.7806055287406758,-0.014150943396226467,0.0006180598158019674,-0.5692068786504914,0.5692157531146942,-0.06287723333429844,0.034575346541845506,86,106,,ns
group,gsm8k_llama8b,1319,0.7270009594037792,0.7516140694015081,-0.02461310999772892,0.00016027301688999185,-1.9441791738462144,0.05187384829743269,-0.04942605408849167,0.00019983409303382313,601,718,,ns
group,gsm8k_qwen7b,1318,0.7930300263930924,0.8483456579570334,-0.05531563156394104,0.00011470945852079244,-5.164737585967233,2.4077647091771787e-07,-0.076307336145793,-0.03432392698208907,887,431,,***
group,math500_llama8b,494,0.7863919667590028,0.8583708448753463,-0.07197887811634351,0.00039548466387335634,-3.6194305670009266,0.0002952520178486678,-0.11095628247432451,-0.03300147375836252,304,190,,***
group,math500_qwen7b,499,0.8521819422698623,0.9292424424906662,-0.0770605002208039,0.0003100407535223101,-4.376454643920163,1.2062527760231263e-05,-0.11157149538745958,-0.04254950505414823,361,138,,***
model_family,llama8b,3170,0.7312980208796234,0.7553746755672341,-0.024076654687610777,6.962049240660048e-05,-2.885543320685806,0.003907386822941592,-0.04043037764773223,-0.007722931727489318,1752,1418,,**
model_family,qwen7b,3174,0.7762237124010615,0.83072166689103,-0.054497954489968525,5.4087322548353104e-05,-7.410243177979512,1.260680342093075e-13,-0.06891233003284583,-0.04008357894709123,2159,1015,,***
dataset_family,arc_challenge,2333,0.6728929357893183,0.706185068159862,-0.03329213237054374,0.00012175579676486695,-3.017149216409573,0.002551641736084948,-0.05491896476581234,-0.011665299975275135,1594,739,,**
dataset_family,gpqa_diamond,381,0.7238675958188153,0.735837922895358,-0.011970327076542664,0.0004314116447167555,-0.5763152152150152,0.5644021404135945,-0.0526796634497549,0.028739009296669574,164,217,,ns
dataset_family,gsm8k,2637,0.777406370195682,0.8034821069279505,-0.026075736732268484,6.5268995761659e-05,-3.227625383687813,0.0012482232391739484,-0.041910134715345465,-0.0102413387491915,1488,1149,,**
dataset_family,math500,993,0.8248257839721256,0.8984572712268476,-0.07363148725472202,0.00016837839995092693,-5.6744057066020455,1.3917094862879994e-08,-0.09906411766736026,-0.048198856842083776,665,328,,***
