slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7615835403910456,0.8032865032421439,-0.04170296285109831,2.005182961900939e-05,-9.313006548181436,1.2426399847604642e-20,-0.0504795383655572,-0.032926387336639426,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6118775482268741,0.6430152103275093,-0.031137662100635177,0.00028020189998147297,-1.8601606950738134,0.06286279409347245,-0.06394595465387669,0.0016706304526063337,769,399,,ns
group,arc_challenge_qwen7b,1165,0.6889732620320855,0.7286524064171123,-0.03967914438502673,0.00018402073285612275,-2.9250205444223223,0.003444334831670866,-0.06626688718919779,-0.013091401580855675,825,340,,**
group,gpqa_diamond_llama8b,189,0.6287826287826288,0.7105567105567105,-0.08177408177408174,0.0011791404722797667,-2.3814030369565744,0.01724683056567975,-0.14907653022936862,-0.014471633318794863,78,111,,*
group,gpqa_diamond_qwen7b,192,0.7329969284774024,0.7569109258446688,-0.023913997367266404,0.0007071597590569403,-0.8992768374851179,0.3685052216818249,-0.07603429182220224,0.028206297087669432,86,106,,ns
group,gsm8k_llama8b,1319,0.7315337946505128,0.7599173151525546,-0.028383520502041737,0.00010441254451084677,-2.777729311573508,0.00547401994706146,-0.04841091399451375,-0.008356127009569725,601,718,,**
group,gsm8k_qwen7b,1318,0.7905215055310401,0.845361067442329,-0.054839561911288914,9.276116273589772e-05,-5.693913757741246,1.2415981690745033e-08,-0.07371648398056857,-0.03596263984200926,887,431,,***
group,math500_llama8b,494,0.8198580332409973,0.8618247922437674,-0.04196675900277014,0.00027555384078270534,-2.528146266477698,0.01146665700658117,-0.07450179753434204,-0.009431720471198238,304,190,,*
group,math500_qwen7b,499,0.8856638162913002,0.933497932474206,-0.047834116182905784,0.00015420621788462814,-3.8520047254199232,0.00011715476164913018,-0.07217290900216419,-0.02349532336364737,361,138,,***
model_family,llama8b,3170,0.73172147406792,0.7621875623909166,-0.030466088322996576,4.580894460908685e-05,-4.501337262979385,6.752725698780073e-06,-0.043731576415609874,-0.017200600230383275,1752,1418,,***
model_family,qwen7b,3174,0.7800701382915369,0.8300275852942318,-0.04995744700269489,3.919604370303465e-05,-7.979563216943775,1.4685201879750818e-15,-0.06222814330809398,-0.037686750697295796,2159,1015,,***
dataset_family,arc_challenge,2333,0.6524789340269584,0.6912567934897951,-0.03877785946283663,0.00011361326208698277,-3.6380554786908648,0.00027470425963843637,-0.05966902189559449,-0.017886697030078766,1594,739,,***
dataset_family,gpqa_diamond,381,0.6851466786557265,0.733618073507924,-0.048471394852197425,0.0004519594928422677,-2.280004799430645,0.02260740382841644,-0.09013893354091015,-0.006803856163484688,164,217,,*
dataset_family,gsm8k,2637,0.7784001048129743,0.8181705456825477,-0.039770440869573376,4.14506907698923e-05,-6.177240627473075,6.523161560627486e-10,-0.052389122325330446,-0.027151759413816305,1488,1149,,***
dataset_family,math500,993,0.8544975242985513,0.9042362002567393,-0.04973867595818804,9.991876569090272e-05,-4.975889070989191,6.494883591856726e-07,-0.06933035337019612,-0.030146998546179957,665,328,,***
