slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7902682717593459,0.7854773855985779,0.004790886160767949,1.9252916165926372e-05,1.0918615978124355,0.27489393926894223,-0.0038090722478339428,0.01339084456936984,3911,2433,,ns
group,arc_challenge_llama8b,1168,0.6556345349720204,0.6429891373427066,0.012645397629313826,0.00015781200877683138,1.0066128407365902,0.3141208613557163,-0.011976306883721366,0.03726710214234902,769,399,,ns
group,arc_challenge_qwen7b,1165,0.719711229946524,0.7159019607843138,0.0038092691622102492,0.00019508886713646035,0.27272529330685374,0.7850643902396282,-0.023566374199737974,0.031184912524158472,825,340,,ns
group,gpqa_diamond_llama8b,189,0.6583506583506584,0.7019519519519519,-0.0436012936012935,0.001812640291503769,-1.0241028148439288,0.30578671502498733,-0.12704698274424878,0.039844395541661776,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7359587538394033,0.7944273804300129,-0.058468626590609585,0.0012642090449646276,-1.644422634314292,0.10008893291994209,-0.12815655228065048,0.011219299099431326,86,106,,ns
group,gsm8k_llama8b,1319,0.7686678191871487,0.7532258214025834,0.015441997784565231,5.565452294976214e-05,2.0699185356509355,0.0384599738492938,0.0008202824919982411,0.030063713077132223,601,718,,*
group,gsm8k_qwen7b,1318,0.8479009775122484,0.8363628278537367,0.011538149658511632,5.429272551554353e-05,1.5659047655497622,0.1173709140398551,-0.002903570091269198,0.02597986940829246,887,431,,ns
group,math500_llama8b,494,0.8560249307479224,0.8430574792243767,0.012967451523545726,0.00024885917467694694,0.8220113324949276,0.41107044718825986,-0.0179515114550766,0.043886414502168056,304,190,,ns
group,math500_qwen7b,499,0.8788590469308283,0.9200489782809427,-0.041189931350114395,0.0003475499987354778,-2.2094410695321747,0.027143977082690635,-0.0777289380179842,-0.004650924682244602,361,138,,*
model_family,llama8b,3170,0.7574309594193379,0.7438671741664575,0.013563785252880378,3.949886735632421e-05,2.158184574463766,0.030913484229909676,0.0012457792286336422,0.025881791277127114,1752,1418,,*
model_family,qwen7b,3174,0.8121694727307158,0.8211749646912798,-0.009005491960563994,4.075384906579374e-05,-1.4106625161631963,0.1583441484738379,-0.021517655361472342,0.003506671440344356,2159,1015,,ns
dataset_family,arc_challenge,2333,0.6899834120848989,0.6811958070097099,0.008787605075188942,8.514124000733964e-05,0.952358682420699,0.3409151062197677,-0.009297376744846996,0.02687258689522488,1594,739,,ns
dataset_family,gpqa_diamond,381,0.6992244576823649,0.750323142632348,-0.05109868494998315,0.0007383360062938551,-1.8805405366504282,0.06003444715450646,-0.10435549074993329,0.002158120849966985,164,217,,ns
dataset_family,gsm8k,2637,0.8209370934987881,0.79636716593204,0.02456992756674803,2.7777056052123733e-05,4.661876546496536,3.133391385494291e-06,0.014240144559136211,0.034899710574359845,1488,1149,,***
dataset_family,math500,993,0.8722950669356319,0.8863973959288466,-0.01410232899321473,0.0001303789428036029,-1.2350573214407508,0.21680917155945179,-0.03648190315953155,0.00827724517310209,665,328,,ns
