slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7902682717593459,0.8042374291193188,-0.01396915735997295,1.466841804365523e-05,-3.6473594904825895,0.00026494911351869526,-0.021475696101592036,-0.0064626186183538645,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6556345349720204,0.6527860613823245,0.0028484735896958657,0.00013964470872994275,0.24104601434132428,0.8095194534532262,-0.020312687825783726,0.026009635005175457,769,399,,ns
group,arc_challenge_qwen7b,1165,0.719711229946524,0.7338752228163994,-0.014163992869875353,0.00015489524883222593,-1.1380639095000806,0.25509379688970996,-0.0385571009110858,0.010229115171335092,825,340,,ns
group,gpqa_diamond_llama8b,189,0.6583506583506584,0.6873411873411873,-0.028990528990528897,0.0016967813918610873,-0.7037901651077082,0.4815634593472162,-0.10972537799982865,0.051744320018770856,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7359587538394033,0.7741333918385258,-0.03817463799912246,0.0012532298833753822,-1.0783495374425176,0.28087779779394395,-0.10755929761383724,0.031210021615592318,86,106,,ns
group,gsm8k_llama8b,1319,0.7686678191871487,0.7770220477477185,-0.008354228560569887,3.17006943116386e-05,-1.4837883800146434,0.1378650707667387,-0.019389486227954562,0.002681029106814786,601,718,,ns
group,gsm8k_qwen7b,1318,0.8479009775122484,0.8491800877328359,-0.001279110220587576,3.936900009582932e-05,-0.20385941650811387,0.8384633599776435,-0.013576849552677494,0.011018629111502342,887,431,,ns
group,math500_llama8b,494,0.8560249307479224,0.8517659279778393,0.004259002770083065,0.0002276552281569766,0.28227285009481407,0.7777343019388053,-0.02531341992878879,0.033831425468954915,304,190,,ns
group,math500_qwen7b,499,0.8788590469308283,0.9333975671444058,-0.054538520213577524,0.0003023160463946168,-3.136698313556958,0.0017086184086650424,-0.088616880547666,-0.020460159879489043,361,138,,**
model_family,llama8b,3170,0.7574309594193379,0.7652841644608458,-0.007853205041507882,2.847602787754797e-05,-1.4716591398621708,0.14111294670986627,-0.018312148031530272,0.002605737948514507,1752,1418,,ns
model_family,qwen7b,3174,0.8121694727307158,0.8316995872473345,-0.01953011451661868,3.3915101610648325e-05,-3.3535765838278038,0.000797743341899159,-0.03094429281542594,-0.00811593621781142,2159,1015,,***
dataset_family,arc_challenge,2333,0.6899834120848989,0.6967824198661082,-0.006799007781209343,7.233678173858927e-05,-0.7994033182696747,0.42405658698422266,-0.02346870388732746,0.009870688324908772,1594,739,,ns
dataset_family,gpqa_diamond,381,0.6992244576823649,0.7289254804990445,-0.029701022816679634,0.000710654463265555,-1.114146143693269,0.2652164955468476,-0.08194994487615484,0.02254789924279558,164,217,,ns
dataset_family,gsm8k,2637,0.8209370934987881,0.8260917628232123,-0.00515466932442421,1.5046532991316438e-05,-1.3288702823663574,0.18389076971810536,-0.01275734233333086,0.0024480036844824393,1488,1149,,ns
dataset_family,math500,993,0.8722950669356319,0.8985695947185035,-0.02627452778287165,0.00011655338372693287,-2.4337304523357,0.01494411907724593,-0.04743427787590378,-0.005114777689839516,665,328,,*
