slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.8038412844440674,0.7854773855985779,0.0183638988454895,1.1879354456348237e-05,5.328052203708929,9.927159458809846e-08,0.011608600853506394,0.02511919683747261,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6642125469721116,0.6429891373427066,0.021223409629405054,9.958834073278076e-05,2.1267229032165873,0.033443113376873806,0.0016641532543218568,0.04078266600448825,769,399,,*
group,arc_challenge_qwen7b,1165,0.7322923351158646,0.7159019607843138,0.016390374331550772,0.00011065946029278841,1.5580973841526922,0.11921016471058599,-0.0042274276811513425,0.03700817634425289,825,340,,ns
group,gpqa_diamond_llama8b,189,0.6856086856086856,0.7019519519519519,-0.016343266343266327,0.0008964438451617928,-0.5458550260493789,0.5851655952062272,-0.07502590531130973,0.042339372624777084,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7797279508556385,0.7944273804300129,-0.014699429574374423,0.00041639200729321965,-0.7203595026708374,0.47130367750698154,-0.05469383854966835,0.0252949794009195,86,106,,ns
group,gsm8k_llama8b,1319,0.7702830472888733,0.7532258214025834,0.017057225886289884,5.185282064038249e-05,2.3687662571341437,0.01784752889511547,0.002943740305935621,0.031170711466644147,601,718,,*
group,gsm8k_qwen7b,1318,0.8474876862753304,0.8363628278537367,0.01112485842159372,4.076643160897398e-05,1.7423810682055545,0.08144178639190454,-0.0013892363635881842,0.02363895320677562,887,431,,ns
group,math500_llama8b,494,0.867676592797784,0.8430574792243767,0.024619113573407292,0.00012961779093109569,2.1624202719435015,0.03058579640679908,0.002304960972621742,0.04693326617419284,304,190,,*
group,math500_qwen7b,499,0.9262515556626119,0.9200489782809427,0.006202577381669183,0.00010919940982665166,0.593556472984847,0.5528088009674433,-0.014278756463888428,0.026683911227226794,361,138,,ns
model_family,llama8b,3170,0.7697119069240231,0.7438671741664575,0.025844732757565603,2.786662491198046e-05,4.895869800748856,9.78718530082738e-07,0.0154983086375567,0.0361911568775745,1752,1418,,***
model_family,qwen7b,3174,0.8278107224426562,0.8211749646912798,0.00663575775137637,2.054965713164758e-05,1.4638218754153236,0.14324262377032213,-0.0022490979959392584,0.015520613498691998,2159,1015,,ns
dataset_family,arc_challenge,2333,0.7008377151802344,0.6811958070097099,0.01964190817052447,5.130379323779109e-05,2.7422619518651445,0.006101765941331221,0.005603339544472161,0.03368047679657678,1594,739,,**
dataset_family,gpqa_diamond,381,0.7372428908620884,0.750323142632348,-0.013080251770259621,0.0003072718419062249,-0.7461991011112653,0.45554715105666643,-0.04743679594224523,0.021276292401725988,164,217,,ns
dataset_family,gsm8k,2637,0.8194888963755299,0.79636716593204,0.023121730443489863,2.3240817881044196e-05,4.796170682699238,1.6172749057320492e-06,0.013672992705078294,0.03257046818190143,1488,1149,,***
dataset_family,math500,993,0.9023519163763067,0.8863973959288466,0.015954520447460152,5.301007576824585e-05,2.1913136420510946,0.028429103525994124,0.001684411017410502,0.030224629877509804,665,328,,*
