slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.797176658666005,0.8032865032421439,-0.006109844576138945,1.1041675111006247e-05,-1.838707639552642,0.06595819915749529,-0.01262261205628237,0.0004029229040044789,3911,2433,,ns
group,arc_challenge_llama8b,1168,0.6471836287728424,0.6430152103275093,0.004168418445333111,0.00017705324176268798,0.3132704042786648,0.7540752332506624,-0.021911127894696795,0.030247964785363016,769,399,,ns
group,arc_challenge_qwen7b,1165,0.710445632798574,0.7286524064171123,-0.018206773618538286,0.0001571588021057814,-1.4523244116087264,0.1464114228463166,-0.04277746889968522,0.00636392166260865,825,340,,ns
group,gpqa_diamond_llama8b,189,0.6919611919611919,0.7105567105567105,-0.018595518595518667,0.0009197901782794368,-0.613146015927739,0.539779796084882,-0.07803739014697106,0.04084635295593372,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7553751645458534,0.7569109258446688,-0.0015357612988153857,0.00032216500457442083,-0.08556271123142396,0.9318140418382521,-0.03671506769535158,0.03364354509772081,86,106,,ns
group,gsm8k_llama8b,1319,0.7586751885205252,0.7599173151525546,-0.0012421266320293833,5.4549767243604325e-05,-0.16817809256951563,0.8664431750582454,-0.015717992220820792,0.013233738956762027,601,718,,ns
group,gsm8k_qwen7b,1318,0.8377596476038264,0.845361067442329,-0.007601419838502599,3.9363113225904776e-05,-1.2115741543114817,0.2256754330532904,-0.019898239692092125,0.004695400015086925,887,431,,ns
group,math500_llama8b,494,0.8670879501385041,0.8618247922437674,0.0052631578947367474,9.291233886768707e-05,0.5460214484765367,0.5850511937663747,-0.013629140104569695,0.02415545589404319,304,190,,ns
group,math500_qwen7b,499,0.9307479224376731,0.933497932474206,-0.0027500100365328572,7.158620404034848e-05,-0.32502712913321863,0.7451605393798848,-0.019332996949354263,0.013832976876288549,361,138,,ns
model_family,llama8b,3170,0.762328847627696,0.7621875623909166,0.0001412852367794759,2.552963372385717e-05,0.02796240307921844,0.9776921374093903,-0.009761796942905862,0.010044367416464814,1752,1418,,ns
model_family,qwen7b,3174,0.8202976656315527,0.8300275852942318,-0.00972991966267911,2.176079999506368e-05,-2.0857959783758226,0.03699710787411859,-0.018872852293208443,-0.0005869870321497765,2159,1015,,*
dataset_family,arc_challenge,2333,0.6806707494104244,0.6912567934897951,-0.010586044079370693,8.229630270252473e-05,-1.1669265898798051,0.24324001677509194,-0.028366310048335484,0.007194221889594097,1594,739,,ns
dataset_family,gpqa_diamond,381,0.7250758682702034,0.733618073507924,-0.008542205237720535,0.000273296793480135,-0.516716980374413,0.6053537407943332,-0.040943723380882986,0.023859312905441916,164,217,,ns
dataset_family,gsm8k,2637,0.8135902420992542,0.8181705456825477,-0.004580303583293421,1.9342136578448806e-05,-1.0414586735988345,0.297662723661959,-0.013200165599030833,0.004039558432443991,1488,1149,,ns
dataset_family,math500,993,0.9034889051898038,0.9042362002567393,-0.0007472950669354939,3.756393538658036e-05,-0.12192887675342065,0.9029553459035643,-0.012759801505258983,0.011265211371387996,665,328,,ns
