slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7874252676932273,0.7854773855985779,0.0019478820946493558,1.6517512308234746e-05,0.4792811470103649,0.6317386324268365,-0.0060177530559454885,0.0099135172452442,3911,2433,,ns
group,arc_challenge_llama8b,1168,0.6583102750373985,0.6429891373427066,0.0153211376946919,0.00013982995261795897,1.2956595797907056,0.19509279277778757,-0.00785538069961185,0.03849765608899565,769,399,,ns
group,arc_challenge_qwen7b,1165,0.7169875222816399,0.7159019607843138,0.0010855614973260819,0.00015390966516816987,0.08750270620360517,0.9302719344447811,-0.0232298171929256,0.025400940187577763,825,340,,ns
group,gpqa_diamond_llama8b,189,0.6724416724416725,0.7019519519519519,-0.029510279510279402,0.0010518583456906388,-0.909902156757194,0.36287411226701144,-0.09307654823964588,0.03405598921908708,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7718297498903026,0.7944273804300129,-0.02259763053971031,0.0005022816193925356,-1.0082988247158176,0.31331102705642766,-0.06652363829466096,0.021328377215240342,86,106,,ns
group,gsm8k_llama8b,1319,0.751954727265143,0.7532258214025834,-0.0012710941374404205,6.735292729041309e-05,-0.154881475655054,0.876914757697361,-0.017356289089299953,0.014814100814419112,601,718,,ns
group,gsm8k_qwen7b,1318,0.8246494217846334,0.8363628278537367,-0.011713406069103316,5.5446885914044067e-05,-1.5730575786228354,0.11570548643853115,-0.026307820376451366,0.002881008238244732,887,431,,ns
group,math500_llama8b,494,0.8429189750692521,0.8430574792243767,-0.0001385041551246191,0.00018080791332932022,-0.010300399886045013,0.9917816152871087,-0.026493127155847205,0.026216118845597967,304,190,,ns
group,math500_qwen7b,499,0.9025251916977799,0.9200489782809427,-0.01752378658316278,0.00016475342311442947,-1.3652454317220808,0.1721759234811786,-0.04268116105790629,0.00763358789158073,361,138,,ns
model_family,llama8b,3170,0.7555213948515821,0.7438671741664575,0.011654220685124561,3.9205658534564365e-05,1.8612677872651546,0.06270636978531438,-0.0006179805354684341,0.023926421905717556,1752,1418,,ns
model_family,qwen7b,3174,0.8069577002671827,0.8211749646912798,-0.014217264424097098,2.8396964219523687e-05,-2.667964728442025,0.007631226901616708,-0.02466167770019953,-0.003772851147994666,2159,1015,,**
dataset_family,arc_challenge,2333,0.6902788365708348,0.6811958070097099,0.009083029561124834,7.189027383550572e-05,1.0712618985476845,0.28405168654850266,-0.007535139006666247,0.025701198128915914,1594,739,,ns
dataset_family,gpqa_diamond,381,0.7273800157356413,0.750323142632348,-0.022943126896706745,0.00036099962789137873,-1.2075336169094757,0.227226706798633,-0.06018242341034451,0.014296169616931018,164,217,,ns
dataset_family,gsm8k,2637,0.8023883554657159,0.79636716593204,0.006021189533675808,3.16165670008083e-05,1.0708408800686129,0.2842409821524318,-0.004999415721269215,0.01704179478862083,1488,1149,,ns
dataset_family,math500,993,0.8784293049697414,0.8863973959288466,-0.007968090959105223,7.919924509919971e-05,-0.8953519051879839,0.3705990017632672,-0.025410586155568276,0.00947440423735783,665,328,,ns
