slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7882559156606462,0.8042374291193188,-0.015981513458672603,1.0822746857097047e-05,-4.857906532888028,1.1863338372098581e-06,-0.022429391898774825,-0.00953363501857038,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6432172759597302,0.6527860613823245,-0.009568785422594317,0.00016233432181310436,-0.7510202380270726,0.4526404761682244,-0.03454078198735358,0.015403211142164946,769,399,,ns
group,arc_challenge_qwen7b,1165,0.6956720142602496,0.7338752228163994,-0.03820320855614978,0.00014221928289549627,-3.2034695268300255,0.0013578240898243995,-0.06157690143407768,-0.014829515678221886,825,340,,**
group,gpqa_diamond_llama8b,189,0.6687456687456689,0.6873411873411873,-0.018595518595518445,0.0012787052981093185,-0.5200236105063105,0.6030471190256103,-0.08868184926341939,0.0514908120723825,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7472575691092586,0.7741333918385258,-0.02687582272926725,0.00034895342646133667,-1.4387258086667654,0.1502282240204291,-0.0634885284212991,0.009736882962764586,86,106,,ns
group,gsm8k_llama8b,1319,0.7560310346265973,0.7770220477477185,-0.020991013121121282,5.402357418327167e-05,-2.855891759401905,0.0042916141407317145,-0.03539689162858317,-0.0065851346136593936,601,718,,**
group,gsm8k_qwen7b,1318,0.8244872442106529,0.8491800877328359,-0.02469284352218304,3.839902285943975e-05,-3.984841189021727,6.752527080062232e-05,-0.0368381415864312,-0.012547545457934876,887,431,,***
group,math500_llama8b,494,0.856873268698061,0.8517659279778393,0.005107340720221676,9.241573443472922e-05,0.5312780482851771,0.5952261149018553,-0.013734401190101168,0.02394908263054452,304,190,,ns
group,math500_qwen7b,499,0.9231402304387971,0.9333975671444058,-0.010257336705608688,5.782907356348174e-05,-1.3488432855866246,0.1773873080534795,-0.025161967017461657,0.004647293606244281,361,138,,ns
model_family,llama8b,3170,0.7561899839635218,0.7652841644608458,-0.009094180497324023,2.5718334377913555e-05,-1.7932554127596476,0.07293209329806621,-0.01903379429513312,0.0008454333004850757,1752,1418,,ns
model_family,qwen7b,3174,0.8085954772894768,0.8316995872473345,-0.02310410995785772,2.0507683727516226e-05,-5.101888197468306,3.3628139987250374e-07,-0.03197988725041484,-0.014228332665300603,2159,1015,,***
dataset_family,arc_challenge,2333,0.6711849068648841,0.6967824198661082,-0.025597513001224148,7.62331067504144e-05,-2.9317434444793204,0.0033706507153959007,-0.0427102667350712,-0.008484759267377094,1594,739,,**
dataset_family,gpqa_diamond,381,0.7111947847589075,0.7289254804990445,-0.01773069574013697,0.0003604212589747186,-0.9339434436521031,0.35033306747884274,-0.05494014916872303,0.01947875768844909,164,217,,ns
dataset_family,gsm8k,2637,0.8052280150107152,0.8260917628232123,-0.020863747812497113,1.916955273325106e-05,-4.765257072794646,1.886130176191833e-06,-0.029445067491655354,-0.012282428133338874,1488,1149,,***
dataset_family,math500,993,0.8951540436456996,0.8985695947185035,-0.0034155510728038907,3.570419513586723e-05,-0.5716117664516202,0.5675850221852341,-0.015126921417065977,0.008295819271458196,665,328,,ns
