slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.6562282360826793,0.7968637469348575,-0.14063551085217818,5.710272126202561e-05,-18.61086643982503,2.6234067907154947e-77,-0.15544624183608463,-0.12582477986827173,3911,2433,,***
group,arc_challenge_llama8b,1168,0.5658424344345909,0.6731588398825411,-0.10731640544795018,0.000360985401138562,-5.648346076561655,1.6199880635968216e-08,-0.1445549681665291,-0.07007784272937126,769,399,,***
group,arc_challenge_qwen7b,1165,0.6356613190730839,0.7344313725490196,-0.0987700534759357,0.0003737377907651119,-5.1090691626818705,3.2374983577154617e-07,-0.13666066356552617,-0.060879443386345246,825,340,,***
group,gpqa_diamond_llama8b,189,0.6237006237006236,0.6889581889581889,-0.06525756525756532,0.002153801703351252,-1.4061382051495839,0.15968308947205823,-0.15621766943167398,0.025702538916543338,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.6869240895129444,0.7806055287406758,-0.09368143922773142,0.0015671363992300037,-2.3664653791817467,0.017958853842613844,-0.17127067781178332,-0.016092200643679527,86,106,,*
group,gsm8k_llama8b,1319,0.5996041880060623,0.7516140694015081,-0.1520098813954458,0.00030695200925122965,-8.676340349618936,4.0870781711026164e-18,-0.18634854041800986,-0.11767122237288173,601,718,,***
group,gsm8k_qwen7b,1318,0.6727675079846297,0.8483456579570334,-0.17557814997240373,0.0002477301221783,-11.15529501562744,6.74686565196988e-29,-0.2064268948900412,-0.14472940505476625,887,431,,***
group,math500_llama8b,494,0.6108206371191136,0.8583708448753463,-0.2475502077562327,0.0009428430657117111,-8.062014770328675,7.504713049801673e-16,-0.3077323713207685,-0.1873680441916969,304,190,,***
group,math500_qwen7b,499,0.5990405074471075,0.9292424424906662,-0.33020193504355877,0.001063148760802856,-10.127041631215143,4.191387624254078e-24,-0.39410844633072073,-0.2662954237563968,361,138,,***
model_family,llama8b,3170,0.6298427426885896,0.7553746755672341,-0.1255319328786445,0.00011904480000563108,-11.505327914626934,1.2401708977034475e-30,-0.14691663996196458,-0.10414722579532443,1752,1418,,***
model_family,qwen7b,3174,0.6593889252687228,0.83072166689103,-0.17133274162230716,0.00011901854658381058,-15.704822894420184,1.4016858110769074e-55,-0.19271509054847927,-0.14995039269613505,2159,1015,,***
dataset_family,arc_challenge,2333,0.6042109874138982,0.706185068159862,-0.10197408074596381,0.00017738381793156236,-7.6565443045810495,1.9100288208914015e-14,-0.1280779622972121,-0.07587019919471552,1594,739,,***
dataset_family,gpqa_diamond,381,0.6551365628863661,0.735837922895358,-0.08070136000899186,0.0009194543011208512,-2.6614344816042954,0.007780848213835935,-0.14013237746003207,-0.021270342557951648,164,217,,**
dataset_family,gsm8k,2637,0.6689331302581956,0.8034821069279505,-0.13454897666975496,0.00013048700742019175,-11.778683805087002,5.027192707295812e-32,-0.15693782357262773,-0.1121601297668822,1488,1149,,***
dataset_family,math500,993,0.6181047130020173,0.8984572712268476,-0.2803525582248303,0.0004834923004747498,-12.749987006885876,3.1179722038313757e-37,-0.32344914466037555,-0.23725597178928506,665,328,,***
