slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.6562282360826793,0.8042374291193188,-0.1480091930366395,5.0168676926685365e-05,-20.896443014112318,5.768668286710854e-97,-0.16189158859729724,-0.13412679747598177,3911,2433,,***
group,arc_challenge_llama8b,1168,0.5658424344345909,0.6527860613823245,-0.08694362694773361,0.0003918662460009033,-4.3920656701869625,1.1227877205399833e-05,-0.12574231310116493,-0.04814494079430228,769,399,,***
group,arc_challenge_qwen7b,1165,0.6356613190730839,0.7338752228163994,-0.09821390374331551,0.00034178999633637164,-5.312430968435625,1.0817240891666854e-07,-0.13444886195015449,-0.06197894553647653,825,340,,***
group,gpqa_diamond_llama8b,189,0.6237006237006236,0.6873411873411873,-0.0636405636405637,0.0021691194941368197,-1.3664453864417334,0.17179921148487381,-0.15492354789223825,0.027642420611110857,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.6869240895129444,0.7741333918385258,-0.08720930232558144,0.0016373971791282965,-2.155191141098727,0.031146879870747074,-0.16651878370543963,-0.007899820945723252,86,106,,*
group,gsm8k_llama8b,1319,0.5996041880060623,0.7770220477477185,-0.17741785974165625,0.0002930490604912272,-10.363994389081952,3.615412055007453e-25,-0.2109698477352186,-0.1438658717480939,601,718,,***
group,gsm8k_qwen7b,1318,0.6727675079846297,0.8491800877328359,-0.17641257974820623,0.00021734983722879474,-11.966024596798121,5.353267055251428e-33,-0.2053079158666698,-0.14751724362974267,887,431,,***
group,math500_llama8b,494,0.6108206371191136,0.8517659279778393,-0.24094529085872574,0.0010008276412309047,-7.616208014024005,2.6123657422339024e-14,-0.3029504371806316,-0.1789401445368199,304,190,,***
group,math500_qwen7b,499,0.5990405074471075,0.9333975671444058,-0.33435705969729834,0.0009990182773914153,-10.578492451648206,3.749423263305189e-26,-0.39630613211747184,-0.27240798727712484,361,138,,***
model_family,llama8b,3170,0.6298427426885896,0.7652841644608458,-0.13544142177225615,0.00010827091714146861,-13.016541167138504,9.853402956259564e-39,-0.15583549614884254,-0.11504734739566977,1752,1418,,***
model_family,qwen7b,3174,0.6593889252687228,0.8316995872473345,-0.17231066197861167,0.00010918540580068947,-16.490349285514252,4.304538960292049e-61,-0.19279068249139744,-0.1518306414658259,2159,1015,,***
dataset_family,arc_challenge,2333,0.6042109874138982,0.6967824198661082,-0.09257143245221,0.00017602993766994212,-6.9772408765488585,3.0103333780048245e-12,-0.11857550437889941,-0.06656736052552059,1594,739,,***
dataset_family,gpqa_diamond,381,0.6551365628863661,0.7289254804990445,-0.07378891761267836,0.0009496167557675378,-2.394511655424795,0.016642514491700358,-0.13418687836237708,-0.013390956862979649,164,217,,*
dataset_family,gsm8k,2637,0.6689331302581956,0.8260917628232123,-0.15715863256501672,0.00010447374618179336,-15.375691529004415,2.3828558532162506e-53,-0.177191894750717,-0.13712537037931644,1488,1149,,***
dataset_family,math500,993,0.6181047130020173,0.8985695947185035,-0.2804648817164862,0.0004691938786758683,-12.947988955258264,2.4118988648747047e-38,-0.3229194334613239,-0.23801032997164848,665,328,,***
