slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.6562282360826793,0.8032865032421439,-0.14705826715946457,4.692319508848277e-05,-21.46820115979067,3.0873919028034126e-102,-0.16048411989468417,-0.13363241442424498,3911,2433,,***
group,arc_challenge_llama8b,1168,0.5658424344345909,0.6430152103275093,-0.07717277589291838,0.00036394200570802815,-4.04527480831097,5.226178183266941e-05,-0.11456352646104975,-0.039782025324787,769,399,,***
group,arc_challenge_qwen7b,1165,0.6356613190730839,0.7286524064171123,-0.09299108734402839,0.0003066629257515984,-5.310197678859652,1.0950639375571005e-07,-0.12731357270141977,-0.05866860198663701,825,340,,***
group,gpqa_diamond_llama8b,189,0.6237006237006236,0.7105567105567105,-0.08685608685608692,0.00176970079949983,-2.0646685172755856,0.03895437537908833,-0.16930748312217855,-0.0044046905899952915,78,111,,*
group,gpqa_diamond_qwen7b,192,0.6869240895129444,0.7569109258446688,-0.06998683633172442,0.0014971715284213245,-1.8087584891132462,0.07048853187322521,-0.14582431238378063,0.005850639720331799,86,106,,ns
group,gsm8k_llama8b,1319,0.5996041880060623,0.7599173151525546,-0.16031312714649226,0.0002910964716856182,-9.396164577641919,5.658830116523204e-21,-0.19375314970673668,-0.12687310458624784,601,718,,***
group,gsm8k_qwen7b,1318,0.6727675079846297,0.845361067442329,-0.17259355945769927,0.0002196902262916983,-11.64445635277867,2.448781903069057e-31,-0.20164404925750357,-0.14354306965789498,887,431,,***
group,math500_llama8b,494,0.6108206371191136,0.8618247922437674,-0.2510041551246538,0.0009308810293531305,-8.226854585307409,1.921935453528465e-16,-0.3108033285405582,-0.19120498170874936,304,190,,***
group,math500_qwen7b,499,0.5990405074471075,0.933497932474206,-0.3344574250270985,0.0010035417234898483,-10.557792568546875,4.6752678334633036e-26,-0.3965465883781589,-0.2723682616760381,361,138,,***
model_family,llama8b,3170,0.6298427426885896,0.7621875623909166,-0.13234481970232692,9.920731308751947e-05,-13.287249894869252,2.744822819681295e-40,-0.1518666231010249,-0.11282301630362895,1752,1418,,***
model_family,qwen7b,3174,0.6593889252687228,0.8300275852942318,-0.17063866002550898,0.00010455287898954039,-16.688197620537927,1.5972025957144955e-62,-0.19067950779259046,-0.1505978122584275,2159,1015,,***
dataset_family,arc_challenge,2333,0.6042109874138982,0.6912567934897951,-0.08704580607589685,0.00016051910360450163,-6.870439006708004,6.4004625706551715e-12,-0.11187779203013391,-0.06221382012165978,1594,739,,***
dataset_family,gpqa_diamond,381,0.6551365628863661,0.733618073507924,-0.07848151062155784,0.0008123460347812667,-2.7535744378737124,0.005894836323157676,-0.13434378627128762,-0.02261923497182805,164,217,,**
dataset_family,gsm8k,2637,0.6689331302581956,0.8181705456825477,-0.1492374154243521,0.00010490260573847357,-14.570839723774416,4.305657427519986e-48,-0.16931175327464887,-0.12916307757405532,1488,1149,,***
dataset_family,math500,993,0.6181047130020173,0.9042362002567393,-0.28613148725472204,0.0004520281974499017,-13.458073282190654,2.7601997710174583e-41,-0.327802192867855,-0.24446078164158908,665,328,,***
