slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.6655897879062743,0.7854773855985779,-0.11988759769230362,5.7314471268015294e-05,-15.83587673976685,1.7598896443362905e-56,-0.13472576406170172,-0.10504943132290549,3911,2433,,***
group,arc_challenge_llama8b,1168,0.5857067897311549,0.6429891373427066,-0.05728234761155171,0.0003976740048750436,-2.8724812791119527,0.0040726220808421365,-0.09636748946607226,-0.018197205757031147,769,399,,**
group,arc_challenge_qwen7b,1165,0.6337504456327986,0.7159019607843138,-0.0821515151515152,0.0003789178294654812,-4.220297409052065,2.4398022882765516e-05,-0.12030380523112175,-0.04399922507190864,825,340,,***
group,gpqa_diamond_llama8b,189,0.6481866481866483,0.7019519519519519,-0.05376530376530364,0.001342654738358134,-1.4673034186987615,0.14229353414351006,-0.12558280085210427,0.01805219332149699,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7108380868802106,0.7944273804300129,-0.08358929354980238,0.000891432745819056,-2.7996669026066505,0.005115536353201962,-0.1421076853978547,-0.025070901701750054,86,106,,**
group,gsm8k_llama8b,1319,0.6043293674887258,0.7532258214025834,-0.14889645391385764,0.0003178470902743548,-8.351706712776307,6.728356476433424e-17,-0.1838392143738783,-0.11395369345383699,601,718,,***
group,gsm8k_qwen7b,1318,0.6588529337138403,0.8363628278537367,-0.17750989413989637,0.0002471992893899206,-11.290130347889791,1.468187787766318e-29,-0.20832557019440198,-0.14669421808539077,887,431,,***
group,math500_llama8b,494,0.6164819944598338,0.8430574792243767,-0.22657548476454292,0.0009924967909874123,-7.191978198596625,6.38592290903639e-13,-0.2883220276009577,-0.16482894192812814,304,190,,***
group,math500_qwen7b,499,0.5870167409370107,0.9200489782809427,-0.33303223734393195,0.0011298916024764752,-9.907586770328278,3.858532944001227e-23,-0.39891419286106483,-0.26715028182679906,361,138,,***
model_family,llama8b,3170,0.6462294150227667,0.7438671741664575,-0.09763775914369088,0.00012372950689631056,-8.777708666166442,1.6683877112772332e-18,-0.11943917665831517,-0.07583634162906659,1752,1418,,***
model_family,qwen7b,3174,0.6606203382792161,0.8211749646912798,-0.16055462641206375,0.00011265058068430053,-15.127114946660335,1.0729726149654768e-51,-0.18135709181465537,-0.13975216100947213,2159,1015,,***
dataset_family,arc_challenge,2333,0.6119862542721947,0.6811958070097099,-0.06920955273751528,0.00019056074091713845,-5.0135958971517445,5.342212303486706e-07,-0.09626562856299577,-0.04215347691203479,1594,739,,***
dataset_family,gpqa_diamond,381,0.6823648420816005,0.750323142632348,-0.06795830055074747,0.0005403589651510017,-2.9234880918844635,0.0034613346460404242,-0.11351888343793698,-0.02239771766355797,164,217,,**
dataset_family,gsm8k,2637,0.6674232268358647,0.79636716593204,-0.1289439390961753,0.00013763533643341172,-10.99096839173965,4.223697505432032e-28,-0.15193786171023427,-0.10595001648211631,1488,1149,,***
dataset_family,math500,993,0.6177929580047681,0.8863973959288466,-0.2686044379240785,0.0005045953602721878,-11.957532155639532,5.9298096267483905e-33,-0.3126315011647595,-0.2245773746833975,665,328,,***
