slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.6655897879062743,0.7968637469348575,-0.1312739590285832,5.4357658120997486e-05,-17.805255670002886,6.4337786695691336e-71,-0.14572431214749282,-0.11682360590967356,3911,2433,,***
group,arc_challenge_llama8b,1168,0.5857067897311549,0.6731588398825411,-0.08745205015138624,0.0003511212437658309,-4.667039128723994,3.0557115518203094e-06,-0.12417830505162543,-0.05072579525114705,769,399,,***
group,arc_challenge_qwen7b,1165,0.6337504456327986,0.7344313725490196,-0.10068092691622099,0.0003647981160729439,-5.271338577496453,1.3543237022212177e-07,-0.13811562927594345,-0.06324622455649855,825,340,,***
group,gpqa_diamond_llama8b,189,0.6481866481866483,0.6889581889581889,-0.04077154077154066,0.0015765371967728173,-1.0268452841943359,0.3044933221675174,-0.11859314908629684,0.03705006754321552,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7108380868802106,0.7806055287406758,-0.06976744186046524,0.0009551533914762447,-2.2574401142470935,0.023980587529843923,-0.13034121853653463,-0.009193665184395843,86,106,,*
group,gsm8k_llama8b,1319,0.6043293674887258,0.7516140694015081,-0.1472847019127823,0.00031517292452611583,-8.296275954484752,1.0742583228330967e-16,-0.18208015867030758,-0.11248924515525703,601,718,,***
group,gsm8k_qwen7b,1318,0.6588529337138403,0.8483456579570334,-0.18949272424319308,0.0002400316768688163,-12.23089562099603,2.1258171223577025e-34,-0.21985835946384533,-0.15912708902254083,887,431,,***
group,math500_llama8b,494,0.6164819944598338,0.8583708448753463,-0.24188885041551256,0.0009329292118165648,-7.919385873931056,2.38686532421372e-15,-0.3017537746183875,-0.18202392621263763,304,190,,***
group,math500_qwen7b,499,0.5870167409370107,0.9292424424906662,-0.3422257015536555,0.0010802034043683017,-10.41261597593292,2.171704848581552e-25,-0.40664275594031957,-0.27780864716699144,361,138,,***
model_family,llama8b,3170,0.6462294150227667,0.7553746755672341,-0.10914526054446749,0.0001163196174967119,-10.119950756202876,4.506422906323844e-24,-0.13028378037563143,-0.08800674071330357,1752,1418,,***
model_family,qwen7b,3174,0.6606203382792161,0.83072166689103,-0.17010132861181393,0.00011026687304877556,-16.198887014486296,5.134800890408374e-59,-0.19068252517818435,-0.1495201320454435,2159,1015,,***
dataset_family,arc_challenge,2333,0.6119862542721947,0.706185068159862,-0.09419881388766738,0.0001746357942923119,-7.128182372288143,1.0170296898479025e-12,-0.12009970600344451,-0.06829792177189024,1594,739,,***
dataset_family,gpqa_diamond,381,0.6823648420816005,0.735837922895358,-0.053473080813757456,0.0006015887006770409,-2.180144959434312,0.029246718012639963,-0.10154571565568948,-0.005400445971825436,164,217,,*
dataset_family,gsm8k,2637,0.6674232268358647,0.8034821069279505,-0.13605888009208578,0.00013296456099881433,-11.79937326431521,3.932292183503466e-32,-0.1586592757896973,-0.11345848439447426,1488,1149,,***
dataset_family,math500,993,0.6177929580047681,0.8984572712268476,-0.2806643132220795,0.0004814820964562644,-12.790782783552475,1.8460506058844597e-37,-0.3236712155336645,-0.2376574109104945,665,328,,***
