slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.8128014895334048,0.7968637469348575,0.0159377425985473,6.283994998289904e-06,6.3578297347800055,2.0462409498219422e-10,0.011024524914037635,0.020850960283056965,3911,2433,,***
group,arc_challenge_llama8b,1168,0.6827569574130384,0.6731588398825411,0.00959811753049733,6.695792177611868e-05,1.1729650739163728,0.2408098118722265,-0.00643984054471344,0.0256360756057081,769,399,,ns
group,arc_challenge_qwen7b,1165,0.7538645276292336,0.7344313725490196,0.019433155080214037,8.408926066453068e-05,2.1192053876892696,0.03407311317826847,0.001460246798430341,0.037406063361997734,825,340,,*
group,gpqa_diamond_llama8b,189,0.7194502194502196,0.6889581889581889,0.030492030492030642,0.0008592226887445178,1.0402398265398423,0.2982284925835611,-0.026959414891163595,0.08794347587522489,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.8011189118034227,0.7806055287406758,0.02051338306274686,0.00029397209651413846,1.1964215727080438,0.23153208699721087,-0.013091403846147265,0.054118169971640984,86,106,,ns
group,gsm8k_llama8b,1319,0.7786280062477116,0.7516140694015081,0.027013936846203457,2.953641548598753e-05,4.970601950899788,6.674535327722059e-07,0.016362039184268595,0.03766583450813832,601,718,,***
group,gsm8k_qwen7b,1318,0.8577074892034204,0.8483456579570334,0.009361831246387009,2.3107037133565856e-05,1.9475502736012045,0.05146879870416117,-5.9672434917968156e-05,0.018783334927691984,887,431,,ns
group,math500_llama8b,494,0.8627596952908588,0.8583708448753463,0.004388850415512513,6.401387907118891e-05,0.5485468260973648,0.5833164857619009,-0.011292561523623124,0.02007026235464815,304,190,,ns
group,math500_qwen7b,499,0.9316311373399172,0.9292424424906662,0.002388694849250972,5.445558513696603e-05,0.3236975844797368,0.7461669997888853,-0.012074668793431114,0.01685205849193306,361,138,,ns
model_family,llama8b,3170,0.7754667645600273,0.7553746755672341,0.020092088992793133,1.3653386811518837e-05,5.437570439303955,5.401199984208899e-08,0.012849926111480819,0.027334251874105448,1752,1418,,***
model_family,qwen7b,3174,0.8418632508664612,0.83072166689103,0.01114158397543119,1.2376449037864697e-05,3.167006166630959,0.0015401705237257242,0.004246395847078443,0.01803677210378394,2159,1015,,**
dataset_family,arc_challenge,2333,0.7206600190497858,0.706185068159862,0.014474950889923788,3.756146926859141e-05,2.3618146544850243,0.01818573177017339,0.002462838775892309,0.026487063003955265,1594,739,,*
dataset_family,gpqa_diamond,381,0.7640496796673035,0.735837922895358,0.02821175677194554,0.00024402028481078277,1.8059975884864456,0.07091871624967183,-0.002405131958209166,0.05882864550210025,164,217,,ns
dataset_family,gsm8k,2637,0.8258882197703473,0.8034821069279505,0.022406112842396797,1.244026393245839e-05,6.352603091804073,2.1170145303348312e-10,0.015493171238773541,0.02931905444602005,1488,1149,,***
dataset_family,math500,993,0.901783421969558,0.8984572712268476,0.0033261507427103654,2.903130437290687e-05,0.6173175916880648,0.537025265737867,-0.007234273503481596,0.013886574988902327,665,328,,ns
