slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7945712152945159,0.8042374291193188,-0.009666213824802927,9.807950531849238e-06,-3.086506987520614,0.0020252318659299503,-0.015804359968672743,-0.0035280676809331104,3911,2433,,**
group,arc_challenge_llama8b,1168,0.637093383654194,0.6527860613823245,-0.015692677728130544,0.00013571735099065152,-1.3470365158129225,0.17796847243472935,-0.03852582501632275,0.007140469560061657,769,399,,ns
group,arc_challenge_qwen7b,1165,0.7151122994652407,0.7338752228163994,-0.0187629233511587,0.00010692234954970333,-1.8145387940369286,0.06959481579456674,-0.03902959063532381,0.0015037439330064066,825,340,,ns
group,gpqa_diamond_llama8b,189,0.6957726957726956,0.6873411873411873,0.008431508431508306,0.0007688363890720107,0.3040803198959492,0.7610666998093534,-0.04591417519167649,0.06277719205469309,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7827994734532691,0.7741333918385258,0.008666081614743248,0.00032177409500886854,0.4831113447646916,0.6290166792592259,-0.026491875315981378,0.043824038545467875,86,106,,ns
group,gsm8k_llama8b,1319,0.7616159696698631,0.7770220477477185,-0.015406078077855434,4.146794630337385e-05,-2.392411221488211,0.016738076938477807,-0.02802738577964156,-0.0027847703760693066,601,718,,*
group,gsm8k_qwen7b,1318,0.8425098810610598,0.8491800877328359,-0.006670206671776091,3.540471178840132e-05,-1.1210081208968383,0.2622844056773238,-0.018332356661966046,0.004991943318413862,887,431,,ns
group,math500_llama8b,494,0.8672957063711912,0.8517659279778393,0.0155297783933519,9.266792181687641e-05,1.613245813269676,0.10669111380506442,-0.0033376540143402883,0.03439721080104409,304,190,,ns
group,math500_qwen7b,499,0.9335982978040066,0.9333975671444058,0.00020073065960080072,4.863187045728542e-05,0.02878413778660091,0.9770367518514329,-0.013467382880130756,0.013868844199332358,361,138,,ns
model_family,llama8b,3170,0.7575730497002016,0.7652841644608458,-0.007711114760644233,2.1322486068592274e-05,-1.669929923440615,0.09493322913044325,-0.01676149885124069,0.0013392693299522206,1752,1418,,ns
model_family,qwen7b,3174,0.8231926384455492,0.8316995872473345,-0.008506948801785263,1.7529719562598932e-05,-2.0318251646482555,0.042171358678382384,-0.016713025564650697,-0.0003008720389198298,2159,1015,,*
dataset_family,arc_challenge,2333,0.677449094456037,0.6967824198661082,-0.019333325410071267,6.117170993620905e-05,-2.47190200965843,0.013439634923734841,-0.03466266344898843,-0.004003987371154103,1594,739,,*
dataset_family,gpqa_diamond,381,0.7417387883556256,0.7289254804990445,0.01281330785658108,0.0002559348892970237,0.8009336017124227,0.4231700861345252,-0.01854212768517828,0.04416874339834044,164,217,,ns
dataset_family,gsm8k,2637,0.8103253647397926,0.8260917628232123,-0.01576639808341973,1.9834550629519167e-05,-3.5401470742015997,0.0003999041057990544,-0.0244952931721621,-0.007037502994677362,1488,1149,,***
dataset_family,math500,993,0.9053090042178616,0.8985695947185035,0.00673940949935814,3.233997449298417e-05,1.185091843915552,0.23598113548742694,-0.004406561982621213,0.017885380981337493,665,328,,ns
