slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6344,0.7894070945365455,0.7854773855985779,0.003929708937967513,1.5109090387472491e-05,1.01097688270243,0.3120274942831432,-0.0036887520970198687,0.011548169972954894,3911,2433,,ns
group,arc_challenge_llama8b,1168,0.6231508550309454,0.6429891373427066,-0.019838282311761213,0.00017415124888942686,-1.503283081001106,0.13276606114293066,-0.045703217091906834,0.0060266524683844115,769,399,,ns
group,arc_challenge_qwen7b,1165,0.7108377896613192,0.7159019607843138,-0.005064171122994621,0.00015476595011496778,-0.4070714680013091,0.6839554983655647,-0.029447095972410246,0.019318753726421004,825,340,,ns
group,gpqa_diamond_llama8b,189,0.7103257103257103,0.7019519519519519,0.008373758373758422,0.0008702480289451866,0.2838565375172986,0.7765203250194234,-0.04944511369223024,0.06619263043974707,78,111,,ns
group,gpqa_diamond_qwen7b,192,0.7886134269416412,0.7944273804300129,-0.00581395348837177,0.0005216196363695997,-0.25456259357290584,0.7990609535142883,-0.050577558718282165,0.038949651741538624,86,106,,ns
group,gsm8k_llama8b,1319,0.7555142543300627,0.7532258214025834,0.002288432927479267,7.773611619199747e-05,0.2595534277086832,0.7952082645956653,-0.014992194643076499,0.019569060498035033,601,718,,ns
group,gsm8k_qwen7b,1318,0.8359259947109184,0.8363628278537367,-0.00043683314281828256,6.112811152302072e-05,-0.055872112435238194,0.9554436871681986,-0.015760707431081093,0.01488704114544453,887,431,,ns
group,math500_llama8b,494,0.858483379501385,0.8430574792243767,0.015425900277008298,0.00012218570270506105,1.3955336857054197,0.16285496403034938,-0.006239079423399151,0.037090879977415746,304,190,,ns
group,math500_qwen7b,499,0.9301858765907906,0.9200489782809427,0.010136898309847875,5.7249154611577766e-05,1.3397400825600119,0.18032986143282168,-0.004692810721684981,0.02496660734138073,361,138,,ns
model_family,llama8b,3170,0.7505649396860974,0.7438671741664575,0.006697765519639853,3.585006722080983e-05,1.1186261104249133,0.26329967953674294,-0.005037504266260137,0.018433035305539844,1752,1418,,ns
model_family,qwen7b,3174,0.8203880194488873,0.8211749646912798,-0.0007869452423925338,2.6575908898623108e-05,-0.15265128023750626,0.8786732830822119,-0.01089091771150483,0.009317027226719763,2159,1015,,ns
dataset_family,arc_challenge,2333,0.6686763454972384,0.6811958070097099,-0.01251946151247152,8.096844823944087e-05,-1.3913222849867632,0.16412771906902118,-0.030155701465684786,0.0051167784407417476,1594,739,,ns
dataset_family,gpqa_diamond,381,0.7526132404181186,0.750323142632348,0.002290097785770606,0.0003175652668633844,0.12851017907390422,0.8977452432818475,-0.0326371680038447,0.037217363575385916,164,217,,ns
dataset_family,gsm8k,2637,0.8036631315683577,0.79636716593204,0.007295965636317625,3.275775030929772e-05,1.2747521281950278,0.20239698970920036,-0.003921768041736398,0.01851369931437165,1488,1149,,ns
dataset_family,math500,993,0.8993581514762515,0.8863973959288466,0.012960755547404945,3.920001130276973e-05,2.070080447543199,0.03844481155032555,0.0006894382102021375,0.025232072884607753,665,328,,*
