slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6378,0.8044799854623785,0.8026407937939625,0.0018391916684160625,4.797195270846867e-06,0.839717670803387,0.40106670377681886,-0.00245361954194328,0.006132002878775405,3916,2462,,ns
group,arc_challenge_llama8b,1172,0.6448213478064224,0.654555146346191,-0.009733798539768634,5.203808757296214e-05,-1.3493409158406444,0.17722748916179185,-0.02387247494596765,0.004404877866430382,770,402,,ns
group,arc_challenge_qwen7b,1172,0.7308553703801063,0.7404903352435028,-0.009634964863396545,3.9529246314311565e-05,-1.5324660720294,0.12540746376804773,-0.02195770692551498,0.002687777198721892,827,345,,ns
group,gpqa_diamond_llama8b,198,0.7069915254237288,0.6782838983050847,0.028707627118644052,0.0003217511821449362,1.6004319802029519,0.10950278530286164,-0.006449078027308222,0.06386433226459633,80,118,,ns
group,gpqa_diamond_qwen7b,198,0.7617317275747508,0.7835340531561461,-0.021802325581395277,0.0001783440251840716,-1.6325764919519432,0.10255809872817874,-0.04797676404072898,0.004372112877938424,86,112,,ns
group,gsm8k_llama8b,1319,0.7599173151525546,0.7771077915637356,-0.017190476411180988,1.6832655728033793e-05,-4.189976548647278,2.7898328626220552e-05,-0.025231742096517032,-0.009149210725844946,601,718,,***
group,gsm8k_qwen7b,1319,0.8456694434005595,0.8490933859451333,-0.003423942544573788,1.7215299667949692e-05,-0.8252189168629906,0.4092473155674669,-0.011556092614533022,0.004708207525385446,887,432,,ns
group,math500_llama8b,500,0.8656518528464018,0.8590729054779805,0.00657894736842124,3.891445142350342e-05,1.0546320268528218,0.2915936503461721,-0.005647591907812666,0.018805486644655145,304,196,,ns
group,math500_qwen7b,500,0.9339763646146795,0.9299308475657148,0.00404551704896472,3.311979307079753e-05,0.7029593768524781,0.48208106597803285,-0.007234036188259676,0.015325070286189115,361,139,,ns
model_family,llama8b,3189,0.7634302471122555,0.7665339516106602,-0.0031037044984046913,8.970889478728252e-06,-1.0362453925673132,0.30008767480701914,-0.008974079487920502,0.0027666704911111202,1755,1434,,ns
model_family,qwen7b,3189,0.8313330404391971,0.8333168280285284,-0.001983787589331265,7.322192080035907e-06,-0.7331192281752852,0.4634857135328338,-0.007287361794777117,0.0033197866161145872,2161,1028,,ns
dataset_family,arc_challenge,2344,0.6932568512413251,0.6973860794880629,-0.004129228246737782,2.8701492269961538e-05,-0.7707555325321297,0.440851849094985,-0.014629494940852176,0.006371038447376612,1597,747,,ns
dataset_family,gpqa_diamond,396,0.7336563645887898,0.7347564169722368,-0.0011000523834470144,0.00011034133727812385,-0.10472352322484885,0.9165951957595758,-0.02168819711225234,0.01948809234535831,166,230,,ns
dataset_family,gsm8k,2638,0.8182865825151939,0.8200788920056101,-0.0017923094904161996,1.009450231649042e-05,-0.5641187675288574,0.5726733064251965,-0.008019476981675721,0.004434858000843322,1488,1150,,ns
dataset_family,math500,1000,0.9060801256873527,0.8994905173381215,0.00658960834923128,1.595363754611139e-05,1.6497940870579022,0.09898505856526729,-0.0012388807561878861,0.014418097454650445,665,335,,ns
