variant,clf,n_features,n_samples,auroc_pooled,auroc_ci_low,auroc_ci_high,auroc_fold_mean,auroc_fold_std,auprc_pooled,ece_pooled,accuracy_at_80,accuracy_at_90
ULTRA_TEXT_ONLY,lr,5,6344,0.8128014369873542,0.8019642389381625,0.8231764470702105,0.8129945210060864,0.010441400691613313,0.8691016736753782,0.08302894070684695,0.716256157635468,0.6684182869153967
ULTRA_ALL-route_a,lr,36,6344,0.8113237369532098,0.8004001207031444,0.821782641698143,0.8116655864796634,0.010832567235359835,0.8647299000581342,0.08274226946542283,0.7174384236453202,0.6689437729900157
ULTRA_ALL-route_a,rf,36,6344,0.8087532892514006,0.797793669194641,0.8192534743801415,0.808935463052927,0.010351904080829633,0.8644557039462966,0.049117759750836286,0.7160591133004927,0.6677176388159047
ULTRA_HYBRID_ALL,rf,363,6344,0.8038412844440675,0.792737989459694,0.8144889566649619,0.8042904508598088,0.0093991122468144,0.861662947661469,0.05275246013074343,0.7113300492610838,0.6645647223681905
ULTRA_ALL-gnn,rf,361,6344,0.8022232864548998,0.7910771846267463,0.8129153704941328,0.8027082249561076,0.010543602212014435,0.8605357030350486,0.04952966037129643,0.7107389162561576,0.6640392362935715
ULTRA_ALL-shapelet,rf,362,6344,0.800383228856021,0.7891718757150009,0.8111410649401043,0.8008626820455429,0.010337248850773452,0.8587662726129834,0.048565838816943444,0.7119211822660099,0.6633385881940795
ULTRA_ALL-gnn,xgb,361,6344,0.7987267671578356,0.7875408807064433,0.8094662046503617,0.7990312025200662,0.007703527921825608,0.859769004366591,0.06656470062803657,0.713103448275862,0.6657908565423016
ULTRA_HYBRID_ALL,xgb,363,6344,0.7971766586660051,0.7859754861212254,0.8079348601597729,0.7974785452686228,0.008952058474230598,0.8588009666681747,0.0680506203508869,0.7121182266009852,0.6673673147661587
ULTRA_ALL-shapelet,xgb,362,6344,0.7960647842359325,0.7848310750934159,0.8068563298322938,0.7961476353566537,0.008945900804652242,0.8574481642106736,0.06592845323103307,0.7121182266009852,0.6677176388159047
ULTRA_ALL-route_a,xgb,36,6344,0.7954588231807533,0.7841948376667782,0.8062801185631507,0.7959318801948467,0.00872118566459548,0.8556329784357837,0.07670558786752527,0.710935960591133,0.6682431248905237
ULTRA_TEXT_ONLY,rf,5,6344,0.7945712152945159,0.7831947046467282,0.8054990136891832,0.7951507934720686,0.012729509651031055,0.853011077073123,0.061255285610728016,0.7121182266009852,0.6673673147661587
ULTRA_ALL-probe,rf,362,6344,0.7923756311174769,0.7809020270510215,0.8033995594984844,0.7926031851088486,0.007847243955235433,0.8509420979299627,0.05500633964757006,0.7093596059113301,0.6633385881940795
ULTRA_ALL-gnn,lr,361,6344,0.7906076666999808,0.7790184840615416,0.8017437428667926,0.7909599787300076,0.015029191841141407,0.839468994337658,0.08197101762703976,0.7107389162561576,0.6657908565423016
ULTRA_HYBRID_ALL,lr,363,6344,0.7902682192132954,0.7786752739292738,0.8014088970807842,0.7907560528395964,0.014517894751055117,0.839275637145251,0.08207638423204046,0.7101477832512315,0.6659660185671746
ULTRA_TEXT_ONLY,xgb,5,6344,0.7894070945365455,0.7779107763854354,0.8004609594922949,0.7901969050743759,0.007883724402960693,0.8485657032465475,0.08817642474419898,0.710935960591133,0.6666666666666666
ULTRA_ALL-shapelet,lr,362,6344,0.7887837932846777,0.7771539101366854,0.7999630619514608,0.7891832098156808,0.01453233434399985,0.8381240931392111,0.08205379817155581,0.7095566502463054,0.6652653704676826
ULTRA_HYBRID_CORE,xgb,360,6344,0.7882559156606462,0.7768356737150405,0.799242768191348,0.7884986233770046,0.011935915295845687,0.8527475999142056,0.0658501660644193,0.7099507389162562,0.6657908565423016
ULTRA_HYBRID_CORE,rf,360,6344,0.7874252676932273,0.775899714623134,0.798511988219514,0.7882502734845366,0.01005461157412506,0.8492847401396448,0.057925533962502884,0.7046305418719212,0.6587843755473813
ULTRA_ALL-probe,xgb,362,6344,0.7864604696587019,0.7748943668491375,0.7975875295389182,0.7866915828353249,0.007707798162554282,0.8484885896610057,0.07576160631312852,0.7103448275862069,0.6643895603433175
ULTRA_HYBRID_CORE,lr,360,6344,0.7803543558521535,0.7684986079970559,0.791767458734424,0.7809911808049875,0.016993749074589976,0.8295634414509471,0.08589831552162285,0.7069950738916256,0.6629882641443335
ULTRA_ALL-probe,lr,362,6344,0.7801770654775286,0.7682857598489928,0.7916236360844117,0.7807109099473395,0.012647642227270448,0.8296967263373787,0.08472581404188967,0.710935960591133,0.6626379400945875
ULTRA_ALL-text,xgb,359,6344,0.7615835403910456,0.7496034172538304,0.7731639295540991,0.7623830348591645,0.011377736922557015,0.8351837990352928,0.06772288374739614,0.6987192118226601,0.6619372919950954
ULTRA_ALL-text,rf,359,6344,0.7605366128794784,0.7484489992848341,0.7722201582230164,0.7608845771446615,0.00842860415348855,0.8295167180061149,0.05394446035354558,0.6961576354679803,0.6582588894727623
deberta_only,lr,1,6344,0.7601286453428489,0.7479330569621295,0.7719141216226092,0.7630995463467242,0.024058062268031092,0.824905125258884,0.09287259639898711,0.7048275862068966,0.6633385881940795
ROUTE_AB+deberta,xgb,358,6344,0.7541842157339059,0.7418630800043371,0.766102669635223,0.7548212245508438,0.01798570337081856,0.8216195100515142,0.0721716153342042,0.6989162561576354,0.6607111578209844
ULTRA_ALL-text,lr,359,6344,0.7541111767236129,0.741652611431661,0.7661583711332866,0.7545355164746863,0.015392964812485357,0.8050550759491769,0.09275786103878801,0.6955665024630542,0.6579085654230163
ROUTE_AB+deberta+step,xgb,359,6344,0.7521807399177528,0.739784554853732,0.764174640624109,0.7527478119867144,0.018416451011751694,0.818437821329715,0.07740264289547347,0.7008866995073891,0.6615869679453494
ROUTE_AB+deberta,lr,358,6344,0.7476894187912875,0.735077366142297,0.7598970711463666,0.7491558628835656,0.019936569964059795,0.8008461023212456,0.0939991369195717,0.696551724137931,0.6580837274478893
ROUTE_AB+deberta+step,lr,359,6344,0.746751997249109,0.7341202942652989,0.7589807070971882,0.7482780853213611,0.019263856295927945,0.7998988106498123,0.09446525942311094,0.6967487684729065,0.6587843755473813
ROUTE_AB+deberta+step,rf,359,6344,0.7460153016201103,0.7334479972623436,0.7581854378407157,0.7451456001964303,0.0186036807185027,0.8089596737748027,0.057903717166756546,0.6955665024630542,0.6586092135225083
deberta_only,xgb,1,6344,0.7441604260349707,0.731661521386147,0.756271081475412,0.7438436563152203,0.03967113230705726,0.8138131439169414,0.09379680131821601,0.6987192118226601,0.6587843755473813
ROUTE_AB+deberta,rf,358,6344,0.7394263421548695,0.7267529124056922,0.7517128863198834,0.7389473368032273,0.018253892471580064,0.8042549565126302,0.05903077548641302,0.6941871921182265,0.6575582413732702
ROUTE_A_FULL+gnn_h,xgb,356,6344,0.7062588021202962,0.6931621834795,0.7190230161712994,0.7076438843233077,0.008223428417626737,0.7879418526542104,0.07648542871778598,0.6831527093596059,0.6465230338062709
deberta_only,rf,1,6344,0.7060553438124871,0.6928882306588959,0.7188869653485536,0.7056263203407711,0.043264960098404484,0.782622122559698,0.10749619304857798,0.6865024630541872,0.651953056577334
ROUTE_A_FULL+gnn_h,rf,356,6344,0.7058721157341477,0.6927079513232407,0.7187012438364749,0.7060748498765561,0.007091879865466477,0.7795876746388763,0.05529274431147983,0.6845320197044334,0.651953056577334
ROUTE_A_FULL+gnn_h,lr,356,6344,0.7055833226402121,0.6922647124753427,0.7185597528252788,0.7061866015896158,0.013522736348776383,0.766352393574766,0.10155019126927824,0.6866995073891625,0.649500788229112
ROUTE_A_FULL+shapelet,rf,356,6344,0.6741627811489571,0.6605297538620224,0.6875073282254528,0.6740972958030043,0.006304713493484889,0.7516947109687984,0.05539997578874639,0.6725123152709359,0.6475740059555088
C+rec+timing,rf,74,6344,0.6729421363942039,0.6593414287659769,0.6862583260400739,0.6729337247193994,0.006080337536976209,0.7522913480025598,0.06025913719421529,0.6711330049261084,0.6463478717813977
step_only,lr,1,6344,0.672785023702998,0.6588518631929042,0.6864201746089235,0.6799357693371381,0.017860068977066334,0.7383334838665715,0.10653807304167418,0.6801970443349754,0.6479243300052548
ROUTE_AB_TOTAL,rf,357,6344,0.6727815556636603,0.659105221582099,0.6861704609375832,0.6728106594059128,0.009204989395964673,0.7486670525800933,0.05709578464774091,0.6725123152709359,0.6480994920301278
ULTRA_STRUCTURAL,rf,357,6344,0.6727815556636603,0.659105221582099,0.6861704609375832,0.6728106594059128,0.009204989395964673,0.7486670525800933,0.05709578464774091,0.6725123152709359,0.6480994920301278
ROUTE_A_FULL+shapelet,xgb,356,6344,0.6691396939907182,0.6554063805089216,0.6825907497822897,0.6691420799423027,0.0035637509351678217,0.747526100312351,0.0780138999985914,0.674679802955665,0.6463478717813977
ROUTE_A_FULL+gnn_s,rf,356,6344,0.6656132234448288,0.6518999179793847,0.6790523705333369,0.665607890570587,0.009348079063044079,0.7456952130535371,0.058777233551213955,0.6695566502463054,0.6463478717813977
