slice_kind,slice_value,n,auroc_a,auroc_b,diff,var_diff,z,p_two_sided,ci_low,ci_high,n_pos,n_neg,note,sig
overall,OVERALL,6378,0.808291754795465,0.8072831658160111,0.0010085889794538838,1.2361120258523597e-06,0.9071629458700086,0.3643206353106483,-0.001170510248455812,0.0031876882073635796,3916,2462,,ns
group,arc_challenge_llama8b,1172,0.6828713574982233,0.6825741422756348,0.0002972152225884095,1.797967437637256e-05,0.07009388602045846,0.9441189329837858,-0.008013511504137991,0.00860794194931481,770,402,,ns
group,arc_challenge_qwen7b,1172,0.7333263235371432,0.730960517322959,0.0023658062141842517,1.780017472860322e-05,0.560747099051291,0.574969954360286,-0.0059033314809499565,0.01063494390931846,827,345,,ns
group,gpqa_diamond_llama8b,198,0.6972457627118643,0.683156779661017,0.014088983050847381,7.714354732463158e-05,1.6040941094216394,0.108693310130971,-0.0031256549160063145,0.03130362101770108,80,118,,ns
group,gpqa_diamond_qwen7b,198,0.7679609634551495,0.7804194352159469,-0.012458471760797396,4.017845828346422e-05,-1.965477778446254,0.049358965135937384,-0.024881993522959063,-3.494999863572906e-05,86,112,,*
group,gsm8k_llama8b,1319,0.7657896078494988,0.7626587998646638,0.0031308079848350046,7.2598161325336985e-06,1.1619665392042464,0.2452490569215029,-0.00215012798513652,0.008411743954806528,601,718,,ns
group,gsm8k_qwen7b,1319,0.8597227441646832,0.8588093448578229,0.0009133993068602964,4.769641255305496e-06,0.4182325406255284,0.6757771062526666,-0.0033670656762624365,0.005193864289983029,887,432,,ns
group,math500_llama8b,500,0.8687734962406016,0.8685888829215896,0.00018461331901198363,7.830775064854648e-06,0.06597215270577904,0.9473999960624848,-0.005300056219415788,0.005669282857439755,304,196,,ns
group,math500_qwen7b,500,0.9329998604994122,0.9285258773590547,0.004473983140357518,1.0014109951579555e-05,1.4138006123583244,0.15742045373524682,-0.0017283382802797667,0.010676304560994804,361,139,,ns
model_family,llama8b,3189,0.7717483817902229,0.7699034835715449,0.0018448982186779483,2.834104200694738e-06,1.0958837940896375,0.2731296319959862,-0.001454661536884159,0.005144457974240056,1755,1434,,ns
model_family,qwen7b,3189,0.8366384455964146,0.8364914733595378,0.00014697223687687444,2.3503050403309695e-06,0.09586789423908312,0.9236254937861541,-0.0028577906536855846,0.0031517351274393335,2161,1028,,ns
dataset_family,arc_challenge,2344,0.7089975430840457,0.7075968243669732,0.00140071871707248,8.884648878253935e-06,0.46992743165164164,0.6384068649529306,-0.004441371046200483,0.007242808480345443,1597,747,,ns
dataset_family,gpqa_diamond,396,0.7352540597171294,0.7336825563122055,0.0015715034049239573,2.6393343820979164e-05,0.30589199976885006,0.7596868774498278,-0.00849770428131994,0.011640711091167854,166,230,,ns
dataset_family,gsm8k,2638,0.8217169237961665,0.8202509934548856,0.001465930341280841,2.6059108873853823e-06,0.9080997447955037,0.3638255253024386,-0.0016980069786244434,0.004629867661186126,1488,1150,,ns
dataset_family,math500,1000,0.90418583772865,0.9024105038716194,0.0017753338570306587,3.6438588260627214e-06,0.9300349388572068,0.3523529948035048,-0.0019660206608869877,0.0055166883749483055,665,335,,ns
