group,behavior_seq_lm,deberta,gnn_hybrid,gnn_structural,roberta,shapelet,step,step_bge,trace_mlm,trace_mlm_np
OVERALL,0.728612015753047,0.825829322197676,0.7770580822284526,0.7249516298451917,0.8563406315850433,0.7164331244573601,0.7576125472899541,0.7427133695460809,0.7349214326082237,0.7628517264680369
arc_challenge_llama8b,0.7078753756068527,0.7460394398475827,0.717884857814533,0.707950664304306,0.7857916850294928,0.708635707473159,0.7008698511395144,0.7034342372546246,0.6765298126740471,0.6800617752043566
arc_challenge_qwen7b,0.7909085947838926,0.8309671917202017,0.7941248430435633,0.7837219040304992,0.8569548791791639,0.7572602279976238,0.8096340456025993,0.7880069889449834,0.7946596907383228,0.794112084836817
gpqa_diamond_llama8b,0.5710185508999042,0.6320569052536479,0.5369893776128895,0.5427432054269679,0.6450477669286612,0.4544952199699829,0.4606160005560001,0.4668526048237037,0.5522520314570749,0.5291720510118116
gpqa_diamond_qwen7b,0.6962881083276745,0.6862576752646752,0.6933637867161816,0.6374204919711669,0.7717697185386982,0.5797256919231665,0.6665639890160382,0.6197564985990337,0.6755608424317152,0.6449155319814934
gsm8k_llama8b,0.48785173328527587,0.6935036908740995,0.6187270654527941,0.4959276494136996,0.7017987599149345,0.44727888764243884,0.597287317443795,0.5827519596707244,0.581030631210189,0.6294821830951924
gsm8k_qwen7b,0.771022573964933,0.8913915806249721,0.862383882829256,0.7978019703832483,0.912637626614286,0.7499793559748502,0.844355869418935,0.8490019579706173,0.8478197289850598,0.8691141092208752
math500_deepseek_r1,,,0.9378604301681224,0.7333397596555492,,0.602762577054075,,,,
math500_llama8b,0.6756212706099982,0.8746021088787718,0.8110543271991424,0.6864127627317513,0.9013026480747637,0.677609579677217,0.7496669160360859,0.7038913018475004,0.7174915255539742,0.7260517949852439
math500_qwen7b,0.7947520494531464,0.9353318371838137,0.937177524594413,0.7607604486251145,0.9668764874063644,0.7470416175515738,0.8481252829152053,0.8152363180448686,0.7837560821457915,0.8560751037922399
