group,behavior_seq_lm,deberta,gnn_hybrid,gnn_structural,roberta,shapelet,step,step_bge,trace_mlm,trace_mlm_np
OVERALL,0.6468826157595452,0.7625790462424148,0.7125702049779702,0.6433484033782714,0.7980904747047877,0.6398417264083154,0.6751617434856603,0.671972251978801,0.666827608038508,0.691317992629957
arc_challenge_llama8b,0.5781789106415972,0.621582024940234,0.5912644569360987,0.5680461329715061,0.6747011694772889,0.5653291225462878,0.5575838340763715,0.5646798475156685,0.5244750274601021,0.5327712088906119
arc_challenge_qwen7b,0.6344426335804286,0.6896307589856825,0.6436920596533655,0.6355501813784764,0.7364702171284371,0.5970338680926917,0.6502795156230833,0.623412719275187,0.6192716821758407,0.6289627254087587
gpqa_diamond_llama8b,0.6572033898305085,0.6942266949152542,0.6002648305084746,0.6446504237288135,0.6829449152542373,0.5221182721182721,0.5483050847457627,0.5674788135593221,0.6760593220338984,0.6189618644067797
gpqa_diamond_qwen7b,0.7451204318936877,0.7196843853820598,0.7401370431893688,0.6977782392026578,0.7879983388704318,0.6518758227292671,0.6970514950166112,0.6992317275747508,0.740967607973422,0.6998546511627908
gsm8k_llama8b,0.5294970314100454,0.7410108037208182,0.6881265671420428,0.5418487757173513,0.7516140694015081,0.493222762434012,0.6491281939571466,0.6428712127883426,0.6390764695794845,0.6842124778108909
gsm8k_qwen7b,0.6133502442690718,0.8188716125934278,0.7573672178379056,0.631915737609086,0.8485818823332916,0.5958783354303068,0.7327785084972234,0.7380944924631508,0.741173952983423,0.7811730134869932
math500_deepseek_r1,,,0.8901098901098901,0.6373626373626373,,0.32967032967032966,,,,
math500_llama8b,0.6017722878625135,0.8277977309344791,0.7664641514500536,0.6129665682062299,0.8611288265306122,0.5812759695290859,0.6678470730397422,0.6477913533834587,0.6415984156820622,0.6502248925886145
math500_qwen7b,0.6302437274557087,0.8718089240518941,0.8520098048984632,0.5968433009824827,0.929552203112856,0.5415512465373961,0.7004623448055959,0.6598377807449333,0.6388529065943922,0.6984196576256999
