group,behavior_seq_lm,deberta,gnn_hybrid,gnn_structural,roberta,shapelet,step,step_bge,trace_mlm,trace_mlm_np
OVERALL,0.34408941454090425,0.5979821099532822,0.4745439085489412,0.33369017146692453,0.6703610988173945,0.3078873928009819,0.4207368304401259,0.38342178120102216,0.36317765868614943,0.43641245615554436
arc_challenge_llama8b,0.1718749716436889,0.29611575517398436,0.20462437410047937,0.17124113157364823,0.4165437992452094,0.16799079122022129,0.14799346816078998,0.1568110979110454,0.06438003450770088,0.07696882862742585
arc_challenge_qwen7b,0.32080647996430356,0.46244889213539847,0.33277296838796333,0.29484004627482174,0.5489014180996812,0.18800715881459137,0.3843412130698296,0.30788133810932866,0.33055506566799286,0.330899678481563
gpqa_diamond_llama8b,0.34926034243197623,0.46049469103255086,0.270577591440274,0.2976585522031966,0.46620866303961733,0.0760106135927449,0.11736394001285455,0.12659168444984228,0.31718201935356133,0.26027835627797563
gpqa_diamond_qwen7b,0.53255197453598,0.5188492945318477,0.5264261003215427,0.4266958183115419,0.6539535638435997,0.28905289729117795,0.47281960985296884,0.39497437176785216,0.5012108921855141,0.4396382979334766
gsm8k_llama8b,0.07866424227377547,0.5166061016766038,0.37733498538980886,0.09872828081714076,0.5323582226418234,-0.021211375407479912,0.3304130711955987,0.3011891898376032,0.2955337585379024,0.39515428026303234
gsm8k_qwen7b,0.33657784296747517,0.7025162655194283,0.6139554043250937,0.41037690219159234,0.7616017221176046,0.27878904132933485,0.5609996448618529,0.5747186125674675,0.5723699647035163,0.6361273019133508
math500_deepseek_r1,,,0.8268191789986935,0.19272551896702023,,-0.3073013941918973,,,,
math500_llama8b,0.20156954258398113,0.7211579625725622,0.5680044116782533,0.23257429911104072,0.7809702898072072,0.1895220253294209,0.4057414021295641,0.2838121682263325,0.32067415976464214,0.34386246589131847
math500_qwen7b,0.28627791594556107,0.7938879277340318,0.7922043942203844,0.1447679182519543,0.8938365930661193,0.08783235287931909,0.4839916871236963,0.362826837946285,0.23993169901655367,0.5093281100040535
