variant,clf,group,auroc,auprc,ece,accuracy,accuracy_at_80,accuracy_at_90,prr,n_samples
ULTRA_TEXT_ONLY_PLUS_GRAPH,lr,arc_challenge_llama8b,0.6910673903211217,0.7959205729236372,0.07576857191914178,0.6697952218430034,0.7065101387406617,0.6821631878557874,,1172
ULTRA_TEXT_ONLY_PLUS_GRAPH,lr,arc_challenge_qwen7b,0.7478611359374727,0.8563235645429288,0.0811248979318264,0.7397610921501706,0.7812166488794023,0.7476280834914611,,1172
ULTRA_TEXT_ONLY_PLUS_GRAPH,lr,gpqa_diamond_llama8b,0.7166313559322034,0.6591720063294126,0.15147355281644398,0.6565656565656566,0.44936708860759494,0.43258426966292135,,198
ULTRA_TEXT_ONLY_PLUS_GRAPH,lr,gpqa_diamond_qwen7b,0.7927740863787376,0.7730085931838697,0.06722056794196667,0.7474747474747475,0.4873417721518987,0.449438202247191,,198
ULTRA_TEXT_ONLY_PLUS_GRAPH,lr,gsm8k_llama8b,0.7821017894966142,0.7337846956312986,0.046557367480641695,0.7103866565579985,0.5374407582938389,0.4953664700926706,,1319
ULTRA_TEXT_ONLY_PLUS_GRAPH,lr,gsm8k_qwen7b,0.8623637730176625,0.9199911329605515,0.1300013728208213,0.7824109173616376,0.7914691943127962,0.7329401853411963,,1319
ULTRA_TEXT_ONLY_PLUS_GRAPH,lr,math500_llama8b,0.8716937432867883,0.9114141167257674,0.06715701153874395,0.798,0.725,0.6688888888888889,,500
ULTRA_TEXT_ONLY_PLUS_GRAPH,lr,math500_qwen7b,0.9284361984096933,0.9656549968993576,0.11242983649671082,0.892,0.8675,0.8,,500
ULTRA_TEXT_ONLY_PLUS_GRAPH,rf,arc_challenge_llama8b,0.6828713574982233,0.7893993398603752,0.048984656835121085,0.6578498293515358,0.7011739594450374,0.6840607210626186,,1172
ULTRA_TEXT_ONLY_PLUS_GRAPH,rf,arc_challenge_qwen7b,0.7333263235371432,0.8584764326474519,0.05829611181602542,0.7235494880546075,0.7716115261472786,0.7447817836812144,,1172
ULTRA_TEXT_ONLY_PLUS_GRAPH,rf,gpqa_diamond_llama8b,0.6972457627118644,0.6436767575542581,0.096264380754696,0.6767676767676768,0.44936708860759494,0.42134831460674155,,198
ULTRA_TEXT_ONLY_PLUS_GRAPH,rf,gpqa_diamond_qwen7b,0.7679609634551495,0.7455852902244479,0.08629210107028487,0.7474747474747475,0.46835443037974683,0.449438202247191,,198
ULTRA_TEXT_ONLY_PLUS_GRAPH,rf,gsm8k_llama8b,0.7657896078494988,0.7202167135357422,0.023884969196473683,0.6982562547384382,0.5308056872037915,0.493681550126369,,1319
ULTRA_TEXT_ONLY_PLUS_GRAPH,rf,gsm8k_qwen7b,0.8597227441646833,0.919227036801179,0.0885015160969435,0.7869598180439727,0.7867298578199052,0.7270429654591407,,1319
ULTRA_TEXT_ONLY_PLUS_GRAPH,rf,math500_llama8b,0.8687734962406015,0.9044068188161783,0.05229538768529892,0.798,0.7225,0.6644444444444444,,500
ULTRA_TEXT_ONLY_PLUS_GRAPH,rf,math500_qwen7b,0.9329998604994121,0.9643178027667647,0.0615988741852343,0.892,0.8725,0.7955555555555556,,500
ULTRA_TEXT_ONLY_PLUS_GRAPH,xgb,arc_challenge_llama8b,0.6737804484073141,0.7845015938601545,0.08047164615669605,0.6527303754266212,0.7107790821771611,0.6802656546489564,,1172
ULTRA_TEXT_ONLY_PLUS_GRAPH,xgb,arc_challenge_qwen7b,0.7263550812260133,0.8612540171619207,0.06195725768537548,0.7005119453924915,0.7630736392742796,0.7409867172675522,,1172
ULTRA_TEXT_ONLY_PLUS_GRAPH,xgb,gpqa_diamond_llama8b,0.6953389830508474,0.6414561845181106,0.14400483038737388,0.6767676767676768,0.4430379746835443,0.42134831460674155,,198
ULTRA_TEXT_ONLY_PLUS_GRAPH,xgb,gpqa_diamond_qwen7b,0.7747093023255813,0.7542703781070557,0.10954182652399093,0.7373737373737373,0.4873417721518987,0.4438202247191011,,198
ULTRA_TEXT_ONLY_PLUS_GRAPH,xgb,gsm8k_llama8b,0.7556046329469455,0.7048581557216602,0.06526588676871564,0.690674753601213,0.5308056872037915,0.4903117101937658,,1319
ULTRA_TEXT_ONLY_PLUS_GRAPH,xgb,gsm8k_qwen7b,0.8522185164307488,0.9162550485904896,0.0936276805604765,0.7846853677028052,0.7772511848341233,0.7278854254422915,,1319
ULTRA_TEXT_ONLY_PLUS_GRAPH,xgb,math500_llama8b,0.8547596670247046,0.8841528690360505,0.058371226647868764,0.784,0.7175,0.6688888888888889,,500
ULTRA_TEXT_ONLY_PLUS_GRAPH,xgb,math500_qwen7b,0.9253073995097552,0.9606584930097328,0.03630039991904052,0.88,0.8725,0.7955555555555556,,500
