variant,clf,group,auroc,auprc,ece,accuracy,accuracy_at_80,accuracy_at_90,prr,n_samples
baselineC,lr,arc_challenge_llama8b,0.563147139630611,0.6991890908946138,0.11871858270940915,0.601027397260274,0.6766595289079229,0.6669838249286394,,1168
baselineC,lr,arc_challenge_qwen7b,0.6356007130124778,0.7963936446121382,0.12003411784580234,0.7021459227467811,0.7532188841201717,0.732824427480916,,1165
baselineC,lr,gpqa_diamond_llama8b,0.7029337029337029,0.572940743054807,0.09599163361563882,0.6666666666666666,0.45695364238410596,0.4470588235294118,,189
baselineC,lr,gpqa_diamond_qwen7b,0.7121544537077666,0.6422210644471338,0.0922255100934611,0.6770833333333334,0.49019607843137253,0.47093023255813954,,192
baselineC,lr,gsm8k_llama8b,0.5409716396535023,0.4990522607520018,0.01460978055515465,0.5564821834723275,0.4663507109004739,0.4625105307497894,,1319
baselineC,lr,gsm8k_qwen7b,0.6134497524176229,0.785700703088555,0.19980609269985117,0.5424886191198786,0.683111954459203,0.6795952782462057,,1318
baselineC,lr,math500_llama8b,0.6325831024930748,0.7198622469991887,0.09187820053429374,0.6093117408906883,0.6506329113924051,0.6441441441441441,,494
baselineC,lr,math500_qwen7b,0.602774097715685,0.789105698912127,0.12889353737780054,0.6753507014028056,0.7468671679197995,0.7483296213808464,,499
baselineC,rf,arc_challenge_llama8b,0.5972082351522499,0.7281447791080224,0.06452573951946136,0.634417808219178,0.683083511777302,0.6764985727878211,,1168
baselineC,rf,arc_challenge_qwen7b,0.6552263814616756,0.8004145973677683,0.07048940740429792,0.7012875536480687,0.7489270386266095,0.7299618320610687,,1165
baselineC,rf,gpqa_diamond_llama8b,0.671055671055671,0.6015887122415524,0.073926490923715,0.6402116402116402,0.44370860927152317,0.4294117647058823,,189
baselineC,rf,gpqa_diamond_qwen7b,0.7515357612988154,0.6755414551109836,0.08711785631021485,0.703125,0.5163398692810458,0.4883720930232558,,192
baselineC,rf,gsm8k_llama8b,0.5531588485300729,0.5126734654383066,0.046937334788306535,0.555724033358605,0.46824644549763034,0.4675652906486942,,1319
baselineC,rf,gsm8k_qwen7b,0.6523409809650611,0.7972608556617151,0.16963988709883912,0.56752655538695,0.7077798861480076,0.6973018549747049,,1318
baselineC,rf,math500_llama8b,0.624584487534626,0.7081194057963189,0.10908342421296156,0.6295546558704453,0.6658227848101266,0.6486486486486487,,494
baselineC,rf,math500_qwen7b,0.6194347424625637,0.7889130154249057,0.07419203117280783,0.7034068136272545,0.7518796992481203,0.7483296213808464,,499
baselineC,xgb,arc_challenge_llama8b,0.581192904237186,0.7121047877535318,0.09863098105096754,0.6113013698630136,0.6777301927194861,0.6717411988582302,,1168
baselineC,xgb,arc_challenge_qwen7b,0.6107486631016042,0.7868352787184194,0.10445421473662742,0.6592274678111588,0.7414163090128756,0.7242366412213741,,1165
baselineC,xgb,gpqa_diamond_llama8b,0.6455301455301455,0.5602323337588029,0.13840932114710094,0.6507936507936508,0.44370860927152317,0.4235294117647059,,189
baselineC,xgb,gpqa_diamond_qwen7b,0.7155550680122861,0.6483835934252566,0.10076212035589076,0.6614583333333334,0.5294117647058824,0.48255813953488375,,192
baselineC,xgb,gsm8k_llama8b,0.5554391705560371,0.5079833754124811,0.058637340573581276,0.5549658832448825,0.4663507109004739,0.4709351305812974,,1319
baselineC,xgb,gsm8k_qwen7b,0.6401436579413388,0.7796318574718937,0.17569763119557197,0.5515933232169955,0.7106261859582542,0.6905564924114671,,1318
baselineC,xgb,math500_llama8b,0.6187499999999999,0.6987884291015843,0.11158750927912804,0.6174089068825911,0.6481012658227848,0.6441441441441441,,494
baselineC,xgb,math500_qwen7b,0.6143562567746598,0.8024690749778496,0.10745603323191824,0.6793587174348698,0.7518796992481203,0.7461024498886414,,499
baselineC+rec,lr,arc_challenge_llama8b,0.5631503987537112,0.6997095584801828,0.12151367450770861,0.6001712328767124,0.6734475374732334,0.6707897240723121,,1168
baselineC+rec,lr,arc_challenge_qwen7b,0.6309875222816399,0.7958605251861266,0.12208276337828057,0.688412017167382,0.7457081545064378,0.7347328244274809,,1165
baselineC+rec,lr,gpqa_diamond_llama8b,0.7042042042042043,0.5685682282595683,0.10369033040232442,0.6825396825396826,0.4503311258278146,0.4470588235294118,,189
