dataset,n,variant,n_features,auroc_lr,auroc_rf,auroc_xgb,best_clf,best_auroc
math500_qwen7b,500,step_only,1,0.7780396100601581,0.6663377908240923,0.6685171595274335,lr,0.7780396100601581
math500_qwen7b,500,handcrafted+rec,28,0.6263535551206785,0.5938125135899108,0.5959927882873088,lr,0.6263535551206785
math500_qwen7b,500,STRUCTURAL_FULL,29,0.7412018917155903,0.7163980394288614,0.6968797564687975,lr,0.7412018917155903
math500_qwen7b,500,deberta_only,1,0.7990650141335074,0.644687930347177,0.653054105965065,lr,0.7990650141335074
math500_qwen7b,500,deberta+step,2,0.8267322606363703,0.7824180528375735,0.7131964829310722,lr,0.8267322606363703
math500_qwen7b,500,deberta+feats,29,0.7263508371385083,0.7038690476190477,0.6767784663332609,lr,0.7263508371385083
math500_qwen7b,500,FULL_HYBRID,30,0.7763630680582736,0.7636814162499095,0.7324966478219903,lr,0.7763630680582736
math500_llama8b,500,step_only,1,0.665661307271963,0.5311739701555276,0.5312368116855822,lr,0.665661307271963
math500_llama8b,500,handcrafted+rec,28,0.6221008827238335,0.6126969314838167,0.5950417192097521,lr,0.6221008827238335
math500_llama8b,500,STRUCTURAL_FULL,29,0.6239356872635561,0.6187234131988231,0.5843870323665405,lr,0.6239356872635561
math500_llama8b,500,deberta_only,1,0.6476717108028585,0.49869535519125685,0.49720828079024804,lr,0.6476717108028585
math500_llama8b,500,deberta+step,2,0.6616247372845734,0.531047131147541,0.5035569567044977,lr,0.6616247372845734
math500_llama8b,500,deberta+feats,29,0.6440555905842792,0.6147699663724253,0.5515721941992434,lr,0.6440555905842792
math500_llama8b,500,FULL_HYBRID,30,0.6454707860445565,0.6192765868011769,0.558827868852459,lr,0.6454707860445565
gsm8k_qwen7b,1319,step_only,1,0.7941133864634058,0.7331867965798464,0.7520097248398591,lr,0.7941133864634058
gsm8k_qwen7b,1319,handcrafted+rec,28,0.6658714480847264,0.6748682010018567,0.6580487344280838,rf,0.6748682010018567
gsm8k_qwen7b,1319,STRUCTURAL_FULL,29,0.7634493910461814,0.7613880694271004,0.7435037581382181,lr,0.7634493910461814
gsm8k_qwen7b,1319,deberta_only,1,0.8091335479299158,0.7336603476689978,0.7507307573937835,lr,0.8091335479299158
gsm8k_qwen7b,1319,deberta+step,2,0.8133618392515045,0.7585891333555047,0.7546665805673942,lr,0.8133618392515045
